substrate_UniProtAC	canonical_UniProtAC	substrate_genename	accession_is_isoform	needs_sequence_remap	canonical_counting_status	site_count_accession_level	label
P22681	P22681	CBL	False	False	canonical_or_unversioned_accession	3	CBL (P22681)
P45973	P45973	CBX5	False	False	canonical_or_unversioned_accession	3	CBX5 (P45973)
Q6P1N0	Q6P1N0	CC2D1A	False	False	canonical_or_unversioned_accession	3	CC2D1A (Q6P1N0)
Q8IX12	Q8IX12	CCAR1	False	False	canonical_or_unversioned_accession	3	CCAR1 (Q8IX12)
Q8N163	Q8N163	CCAR2	False	False	canonical_or_unversioned_accession	3	CCAR2 (Q8N163)
Q8IWD4	Q8IWD4	CCDC117	False	False	canonical_or_unversioned_accession	3	CCDC117 (Q8IWD4)
Q9Y4B5	Q9Y4B5	CCDC165	False	False	canonical_or_unversioned_accession	3	CCDC165 (Q9Y4B5)
Q9H0W5	Q9H0W5	CCDC8	False	False	canonical_or_unversioned_accession	3	CCDC8 (Q9H0W5)
Q96F63	Q96F63	CCDC97	False	False	canonical_or_unversioned_accession	3	CCDC97 (Q96F63)
Q6ZUT6	Q6ZUT6	CCDC9B	False	False	canonical_or_unversioned_accession	3	CCDC9B (Q6ZUT6)
P40227	P40227	CCT6A	False	False	canonical_or_unversioned_accession	3	CCT6A (P40227)
O15446	O15446	CD3EAP	False	False	canonical_or_unversioned_accession	3	CD3EAP (O15446)
Q99459	Q99459	CDC5L	False	False	canonical_or_unversioned_accession	3	CDC5L (Q99459)
Q6P1J9	Q6P1J9	CDC73	False	False	canonical_or_unversioned_accession	3	CDC73 (Q6P1J9)
Q69YH5	Q69YH5	CDCA2	False	False	canonical_or_unversioned_accession	3	CDCA2 (Q69YH5)
Q14004	Q14004	CDK13	False	False	canonical_or_unversioned_accession	3	CDK13 (Q14004)
F5H3I5	F5H3I5	CDK5RAP3	False	False	canonical_or_unversioned_accession	3	CDK5RAP3 (F5H3I5)
P42771	P42771	CDKN2A	False	False	canonical_or_unversioned_accession	3	CDKN2A (P42771)
Q5SW79	Q5SW79	CEP170	False	False	canonical_or_unversioned_accession	3	CEP170 (Q5SW79)
Q14839	Q14839	CHD3	False	False	canonical_or_unversioned_accession	3	CHD3 (Q14839)
P43681	P43681	CHRNA4	False	False	canonical_or_unversioned_accession	3	CHRNA4 (P43681)
I3L2J0	I3L2J0	CIC	False	False	canonical_or_unversioned_accession	3	CIC (I3L2J0)
P12532	P12532	CKMT1A	False	False	canonical_or_unversioned_accession	3	CKMT1A (P12532)
P12532	P12532	CKMT1B	False	False	canonical_or_unversioned_accession	3	CKMT1B (P12532)
O00299	O00299	CLIC1	False	False	canonical_or_unversioned_accession	3	CLIC1 (O00299)
B7Z6F8	B7Z6F8	CLINT1	False	False	canonical_or_unversioned_accession	3	CLINT1 (B7Z6F8)
A5YKK6	A5YKK6	CNOT1	False	False	canonical_or_unversioned_accession	3	CNOT1 (A5YKK6)
Q9BZ76	Q9BZ76	CNTNAP3	False	False	canonical_or_unversioned_accession	3	CNTNAP3 (Q9BZ76)
Q9UP83	Q9UP83	COG5	False	False	canonical_or_unversioned_accession	3	COG5 (Q9UP83)
P35606	P35606	COPB2	False	False	canonical_or_unversioned_accession	3	COPB2 (P35606)
O14579	O14579	COPE	False	False	canonical_or_unversioned_accession	3	COPE (O14579)
P31327	P31327	CPS1	False	False	canonical_or_unversioned_accession	3	CPS1 (P31327)
P78560	P78560	CRADD	False	False	canonical_or_unversioned_accession	3	CRADD (P78560)
Q5TZA2	Q5TZA2	CROCC	False	False	canonical_or_unversioned_accession	3	CROCC (Q5TZA2)
Q53ET0	Q53ET0	CRTC2	False	False	canonical_or_unversioned_accession	3	CRTC2 (Q53ET0)
P02511	P02511	CRYAB	False	False	canonical_or_unversioned_accession	3	CRYAB (P02511)
O75534	O75534	CSDE1	False	False	canonical_or_unversioned_accession	3	CSDE1 (O75534)
P49674	P49674	CSNK1E	False	False	canonical_or_unversioned_accession	3	CSNK1E (P49674)
P67870	P67870	CSNK2B	False	False	canonical_or_unversioned_accession	3	CSNK2B (P67870)
Q5SRQ6	Q5SRQ6	CSNK2B	False	False	canonical_or_unversioned_accession	3	CSNK2B (Q5SRQ6)
Q16527	Q16527	CSRP2	False	False	canonical_or_unversioned_accession	3	CSRP2 (Q16527)
Q13363	Q13363	CTBP1	False	False	canonical_or_unversioned_accession	3	CTBP1 (Q13363)
P56545	P56545	CTBP2	False	False	canonical_or_unversioned_accession	3	CTBP2 (P56545)
Q9Y5B0	Q9Y5B0	CTDP1	False	False	canonical_or_unversioned_accession	3	CTDP1 (Q9Y5B0)
P32929	P32929	CTH	False	False	canonical_or_unversioned_accession	3	CTH (P32929)
Q9NRF8	Q9NRF8	CTPS2	False	False	canonical_or_unversioned_accession	3	CTPS2 (Q9NRF8)
Q13620	Q13620	CUL4B	False	False	canonical_or_unversioned_accession	3	CUL4B (Q13620)
Q9P013	Q9P013	CWC15	False	False	canonical_or_unversioned_accession	3	CWC15 (Q9P013)
Q14093	Q14093	CYLC2	False	False	canonical_or_unversioned_accession	3	CYLC2 (Q14093)
P98082	P98082	DAB2	False	False	canonical_or_unversioned_accession	3	DAB2 (P98082)
P61962	P61962	DCAF7	False	False	canonical_or_unversioned_accession	3	DCAF7 (P61962)
Q5TDH0	Q5TDH0	DDI2	False	False	canonical_or_unversioned_accession	3	DDI2 (Q5TDH0)
Q96HY6	Q96HY6	DDRGK1	False	False	canonical_or_unversioned_accession	3	DDRGK1 (Q96HY6)
Q92499	Q92499	DDX1	False	False	canonical_or_unversioned_accession	3	DDX1 (Q92499)
Q9BUQ8	Q9BUQ8	DDX23	False	False	canonical_or_unversioned_accession	3	DDX23 (Q9BUQ8)
Q9Y6V7	Q9Y6V7	DDX49	False	False	canonical_or_unversioned_accession	3	DDX49 (Q9Y6V7)
Q8N8A6	Q8N8A6	DDX51	False	False	canonical_or_unversioned_accession	3	DDX51 (Q8N8A6)
Q96DF8	Q96DF8	DGCR14	False	False	canonical_or_unversioned_accession	3	DGCR14 (Q96DF8)
P52824	P52824	DGKQ	False	False	canonical_or_unversioned_accession	3	DGKQ (P52824)
O43143	O43143	DHX15	False	False	canonical_or_unversioned_accession	3	DHX15 (O43143)
Q7Z478	Q7Z478	DHX29	False	False	canonical_or_unversioned_accession	3	DHX29 (Q7Z478)
Q7L2E3	Q7L2E3	DHX30	False	False	canonical_or_unversioned_accession	3	DHX30 (Q7L2E3)
C9JDG0	C9JDG0	DIAPH3	False	False	canonical_or_unversioned_accession	3	DIAPH3 (C9JDG0)
Q09019	Q09019	DMWD	False	False	canonical_or_unversioned_accession	3	DMWD (Q09019)
Q9NYC9	Q9NYC9	DNAH9	False	False	canonical_or_unversioned_accession	3	DNAH9 (Q9NYC9)
O60884	O60884	DNAJA2	False	False	canonical_or_unversioned_accession	3	DNAJA2 (O60884)
Q96EY1	Q96EY1	DNAJA3	False	False	canonical_or_unversioned_accession	3	DNAJA3 (Q96EY1)
Q8WXX5	Q8WXX5	DNAJC9	False	False	canonical_or_unversioned_accession	3	DNAJC9 (Q8WXX5)
Q05193	Q05193	DNM1	False	False	canonical_or_unversioned_accession	3	DNM1 (Q05193)
Q9NYP3	Q9NYP3	DONSON	False	False	canonical_or_unversioned_accession	3	DONSON (Q9NYP3)
Q16555	Q16555	DPYSL2	False	False	canonical_or_unversioned_accession	3	DPYSL2 (Q16555)
Q9NRR4	Q9NRR4	DROSHA	False	False	canonical_or_unversioned_accession	3	DROSHA (Q9NRR4)
Q14126	Q14126	DSG2	False	False	canonical_or_unversioned_accession	3	DSG2 (Q14126)
P23919	P23919	DTYMK	False	False	canonical_or_unversioned_accession	3	DTYMK (P23919)
O95147	O95147	DUSP14	False	False	canonical_or_unversioned_accession	3	DUSP14 (O95147)
O43237	O43237	DYNC1LI2	False	False	canonical_or_unversioned_accession	3	DYNC1LI2 (O43237)
Q8NCM8	Q8NCM8	DYNC2H1	False	False	canonical_or_unversioned_accession	3	DYNC2H1 (Q8NCM8)
Q01094	Q01094	E2F1	False	False	canonical_or_unversioned_accession	3	E2F1 (Q01094)
Q5VYK3	Q5VYK3	ECPAS	False	False	canonical_or_unversioned_accession	3	ECPAS (Q5VYK3)
Q96F86	Q96F86	EDC3	False	False	canonical_or_unversioned_accession	3	EDC3 (Q96F86)
P24534	P24534	EEF1B2	False	False	canonical_or_unversioned_accession	3	EEF1B2 (P24534)
P57772	P57772	EEFSEC	False	False	canonical_or_unversioned_accession	3	EEFSEC (P57772)
Q8N6I1	Q8N6I1	EID2	False	False	canonical_or_unversioned_accession	3	EID2 (Q8N6I1)
P41567	P41567	EIF1B	False	False	canonical_or_unversioned_accession	3	EIF1B (P41567)
P19525	P19525	EIF2AK2	False	False	canonical_or_unversioned_accession	3	EIF2AK2 (P19525)
Q9P2K8	Q9P2K8	EIF2AK4	False	False	canonical_or_unversioned_accession	3	EIF2AK4 (Q9P2K8)
P05198	P05198	EIF2S1	False	False	canonical_or_unversioned_accession	3	EIF2S1 (P05198)
P20042	P20042	EIF2S2	False	False	canonical_or_unversioned_accession	3	EIF2S2 (P20042)
P55884	P55884	EIF3B	False	False	canonical_or_unversioned_accession	3	EIF3B (P55884)
B9EGQ7	B9EGQ7	EIF4G3	False	False	canonical_or_unversioned_accession	3	EIF4G3 (B9EGQ7)
P56537	P56537	EIF6	False	False	canonical_or_unversioned_accession	3	EIF6 (P56537)
Q9HC35	Q9HC35	EML4	False	False	canonical_or_unversioned_accession	3	EML4 (Q9HC35)
Q96L91	Q96L91	EP400NL	False	False	canonical_or_unversioned_accession	3	EP400NL (Q96L91)
O15083	O15083	ERC2	False	False	canonical_or_unversioned_accession	3	ERC2 (O15083)
Q5RKV6	Q5RKV6	EXOSC6	False	False	canonical_or_unversioned_accession	3	EXOSC6 (Q5RKV6)
Q9NX05	Q9NX05	FAM120C	False	False	canonical_or_unversioned_accession	3	FAM120C (Q9NX05)
Q96BN6	Q96BN6	FAM149B1	False	False	canonical_or_unversioned_accession	3	FAM149B1 (Q96BN6)
Q92567	Q92567	FAM168A	False	False	canonical_or_unversioned_accession	3	FAM168A (Q92567)
Q96PV7	Q96PV7	FAM193B	False	False	canonical_or_unversioned_accession	3	FAM193B (Q96PV7)
Q8N5J2	Q8N5J2	FAM63A	False	False	canonical_or_unversioned_accession	3	FAM63A (Q8N5J2)
Q8NCA5	Q8NCA5	FAM98B	False	False	canonical_or_unversioned_accession	3	FAM98B (Q8NCA5)
Q9HCM7	Q9HCM7	FBRSL1	False	False	canonical_or_unversioned_accession	3	FBRSL1 (Q9HCM7)
Q8TF61	Q8TF61	FBXO41	False	False	canonical_or_unversioned_accession	3	FBXO41 (Q8TF61)
O15552	O15552	FFAR2	False	False	canonical_or_unversioned_accession	3	FFAR2 (O15552)
P11487	P11487	FGF3	False	False	canonical_or_unversioned_accession	3	FGF3 (P11487)
Q9HA64	Q9HA64	FN3KRP	False	False	canonical_or_unversioned_accession	3	FN3KRP (Q9HA64)
P15407	P15407	FOSL1	False	False	canonical_or_unversioned_accession	3	FOSL1 (P15407)
Q01167	Q01167	FOXK2	False	False	canonical_or_unversioned_accession	3	FOXK2 (Q01167)
Q96CU9	Q96CU9	FOXRED1	False	False	canonical_or_unversioned_accession	3	FOXRED1 (Q96CU9)
Q9BZ67	Q9BZ67	FRMD8	False	False	canonical_or_unversioned_accession	3	FRMD8 (Q9BZ67)
Q9BTV5	Q9BTV5	FSD1	False	False	canonical_or_unversioned_accession	3	FSD1 (Q9BTV5)
Q8N1G2	Q8N1G2	FTSJD2	False	False	canonical_or_unversioned_accession	3	FTSJD2 (Q8N1G2)
P10253	P10253	GAA	False	False	canonical_or_unversioned_accession	3	GAA (P10253)
P0DTW1	P0DTW1	GAGE1	False	False	canonical_or_unversioned_accession	3	GAGE1 (P0DTW1)
A1L429	A1L429	GAGE12E	False	False	canonical_or_unversioned_accession	3	GAGE12E (A1L429)
P0CL80	P0CL80	GAGE12F	False	False	canonical_or_unversioned_accession	3	GAGE12F (P0CL80)
P0CL81	P0CL81	GAGE12G	False	False	canonical_or_unversioned_accession	3	GAGE12G (P0CL81)
A6NDE8	A6NDE8	GAGE12H	False	False	canonical_or_unversioned_accession	3	GAGE12H (A6NDE8)
P0CL82	P0CL82	GAGE12I	False	False	canonical_or_unversioned_accession	3	GAGE12I (P0CL82)
Q13069	Q13069	GAGE5	False	False	canonical_or_unversioned_accession	3	GAGE5 (Q13069)
Q13070	Q13070	GAGE6	False	False	canonical_or_unversioned_accession	3	GAGE6 (Q13070)
O76087	O76087	GAGE7	False	False	canonical_or_unversioned_accession	3	GAGE7 (O76087)
O60755	O60755	GALR3	False	False	canonical_or_unversioned_accession	3	GALR3 (O60755)
P41250	P41250	GARS	False	False	canonical_or_unversioned_accession	3	GARS (P41250)
Q99501	Q99501	GAS2L1	False	False	canonical_or_unversioned_accession	3	GAS2L1 (Q99501)
P48506	P48506	GCLC	False	False	canonical_or_unversioned_accession	3	GCLC (P48506)
Q9NZC3	Q9NZC3	GDE1	False	False	canonical_or_unversioned_accession	3	GDE1 (Q9NZC3)
E7EU23	E7EU23	GDI2	False	False	canonical_or_unversioned_accession	3	GDI2 (E7EU23)
P50395	P50395	GDI2	False	False	canonical_or_unversioned_accession	3	GDI2 (P50395)
Q9H840	Q9H840	GEMIN7	False	False	canonical_or_unversioned_accession	3	GEMIN7 (Q9H840)
Q86VQ1	Q86VQ1	GLCCI1	False	False	canonical_or_unversioned_accession	3	GLCCI1 (Q86VQ1)
Q92896	Q92896	GLG1	False	False	canonical_or_unversioned_accession	3	GLG1 (Q92896)
P08151	P08151	GLI1	False	False	canonical_or_unversioned_accession	3	GLI1 (P08151)
P10071	P10071	GLI3	False	False	canonical_or_unversioned_accession	3	GLI3 (P10071)
Q13823	Q13823	GNL2	False	False	canonical_or_unversioned_accession	3	GNL2 (Q13823)
O95249	O95249	GOSR1	False	False	canonical_or_unversioned_accession	3	GOSR1 (O95249)
Q5T3I0	Q5T3I0	GPATCH4	False	False	canonical_or_unversioned_accession	3	GPATCH4 (Q5T3I0)
Q9NPB8	Q9NPB8	GPCPD1	False	False	canonical_or_unversioned_accession	3	GPCPD1 (Q9NPB8)
P06744	P06744	GPI	False	False	canonical_or_unversioned_accession	3	GPI (P06744)
O60269	O60269	GPRIN2	False	False	canonical_or_unversioned_accession	3	GPRIN2 (O60269)
P62993	P62993	GRB2	False	False	canonical_or_unversioned_accession	3	GRB2 (P62993)
Q9BQ67	Q9BQ67	GRWD1	False	False	canonical_or_unversioned_accession	3	GRWD1 (Q9BQ67)
P48637	P48637	GSS	False	False	canonical_or_unversioned_accession	3	GSS (P48637)
P78417	P78417	GSTO1	False	False	canonical_or_unversioned_accession	3	GSTO1 (P78417)
Q12789	Q12789	GTF3C1	False	False	canonical_or_unversioned_accession	3	GTF3C1 (Q12789)
Q8WUA4	Q8WUA4	GTF3C2	False	False	canonical_or_unversioned_accession	3	GTF3C2 (Q8WUA4)
Q9NYZ3	Q9NYZ3	GTSE1	False	False	canonical_or_unversioned_accession	3	GTSE1 (Q9NYZ3)
Q99878	Q99878	H2AC14	False	False	canonical_or_unversioned_accession	3	H2AC14 (Q99878)
P0C0S5	P0C0S5	H2AFZ	False	False	canonical_or_unversioned_accession	3	H2AFZ (P0C0S5)
Q71UI9	Q71UI9	H2AZ2	False	False	canonical_or_unversioned_accession	3	H2AZ2 (Q71UI9)
Q96A08	Q96A08	H2BC1	False	False	canonical_or_unversioned_accession	3	H2BC1 (Q96A08)
P57053	P57053	H2BS1	False	False	canonical_or_unversioned_accession	3	H2BS1 (P57053)
P84243	P84243	H3F3A	False	False	canonical_or_unversioned_accession	3	H3F3A (P84243)
Q9BT25	Q9BT25	HAUS8	False	False	canonical_or_unversioned_accession	3	HAUS8 (Q9BT25)
Q00341	Q00341	HDLBP	False	False	canonical_or_unversioned_accession	3	HDLBP (Q00341)
Q96MH2	Q96MH2	HEXIM2	False	False	canonical_or_unversioned_accession	3	HEXIM2 (Q96MH2)
Q9BW71	Q9BW71	HIRIP3	False	False	canonical_or_unversioned_accession	3	HIRIP3 (Q9BW71)
Q8IUE6	Q8IUE6	HIST2H2AB	False	False	canonical_or_unversioned_accession	3	HIST2H2AB (Q8IUE6)
P10321	P10321	HLA-C	False	False	canonical_or_unversioned_accession	3	HLA-C (P10321)
P26583	P26583	HMGB2	False	False	canonical_or_unversioned_accession	3	HMGB2 (P26583)
F8VZ49	F8VZ49	HNRNPA1	False	False	canonical_or_unversioned_accession	3	HNRNPA1 (F8VZ49)
Q86VS8	Q86VS8	HOOK3	False	False	canonical_or_unversioned_accession	3	HOOK3 (Q86VS8)
P17482	P17482	HOXB9	False	False	canonical_or_unversioned_accession	3	HOXB9 (P17482)
P00492	P00492	HPRT1	False	False	canonical_or_unversioned_accession	3	HPRT1 (P00492)
Q86YZ3	Q86YZ3	HRNR	False	False	canonical_or_unversioned_accession	3	HRNR (Q86YZ3)
O95757	O95757	HSPA4L	False	False	canonical_or_unversioned_accession	3	HSPA4L (O95757)
P61604	P61604	HSPE1	False	False	canonical_or_unversioned_accession	3	HSPE1 (P61604)
P41252	P41252	IARS	False	False	canonical_or_unversioned_accession	3	IARS (P41252)
Q9NZI8	Q9NZI8	IGF2BP1	False	False	canonical_or_unversioned_accession	3	IGF2BP1 (Q9NZI8)
P11717	P11717	IGF2R	False	False	canonical_or_unversioned_accession	3	IGF2R (P11717)
Q13123	Q13123	IK	False	False	canonical_or_unversioned_accession	3	IK (Q13123)
Q16891	Q16891	IMMT	False	False	canonical_or_unversioned_accession	3	IMMT (Q16891)
P20839	P20839	IMPDH1	False	False	canonical_or_unversioned_accession	3	IMPDH1 (P20839)
Q9C086	Q9C086	INO80B	False	False	canonical_or_unversioned_accession	3	INO80B (Q9C086)
Q9H0B3	Q9H0B3	IQCN	False	False	canonical_or_unversioned_accession	3	IQCN (Q9H0B3)
Q9H1B7	Q9H1B7	IRF2BPL	False	False	canonical_or_unversioned_accession	3	IRF2BPL (Q9H1B7)
P35568	P35568	IRS1	False	False	canonical_or_unversioned_accession	3	IRS1 (P35568)
Q96AA8	Q96AA8	JAKMIP2	False	False	canonical_or_unversioned_accession	3	JAKMIP2 (Q96AA8)
Q9P2N6	Q9P2N6	KANSL3	False	False	canonical_or_unversioned_accession	3	KANSL3 (Q9P2N6)
Q15046	Q15046	KARS	False	False	canonical_or_unversioned_accession	3	KARS (Q15046)
Q92794	Q92794	KAT6A	False	False	canonical_or_unversioned_accession	3	KAT6A (Q92794)
Q96AT1	Q96AT1	KIAA1143	False	False	canonical_or_unversioned_accession	3	KIAA1143 (Q96AT1)
Q5T5P2	Q5T5P2	KIAA1217	False	False	canonical_or_unversioned_accession	3	KIAA1217 (Q5T5P2)
Q9P206	Q9P206	KIAA1522	False	False	canonical_or_unversioned_accession	3	KIAA1522 (Q9P206)
Q9ULH0	Q9ULH0	KIDINS220	False	False	canonical_or_unversioned_accession	3	KIDINS220 (Q9ULH0)
Q15058	Q15058	KIF14	False	False	canonical_or_unversioned_accession	3	KIF14 (Q15058)
Q99661	Q99661	KIF2C	False	False	canonical_or_unversioned_accession	3	KIF2C (Q99661)
O60282	O60282	KIF5C	False	False	canonical_or_unversioned_accession	3	KIF5C (O60282)
Q9BVG8	Q9BVG8	KIFC3	False	False	canonical_or_unversioned_accession	3	KIFC3 (Q9BVG8)
O00629	O00629	KPNA4	False	False	canonical_or_unversioned_accession	3	KPNA4 (O00629)
P12035	P12035	KRT3	False	False	canonical_or_unversioned_accession	3	KRT3 (P12035)
O95678	O95678	KRT75	False	False	canonical_or_unversioned_accession	3	KRT75 (O95678)
Q7Z794	Q7Z794	KRT77	False	False	canonical_or_unversioned_accession	3	KRT77 (Q7Z794)
P35527	P35527	KRT9	False	False	canonical_or_unversioned_accession	3	KRT9 (P35527)
P55268	P55268	LAMB2	False	False	canonical_or_unversioned_accession	3	LAMB2 (P55268)
O95835	O95835	LATS1	False	False	canonical_or_unversioned_accession	3	LATS1 (O95835)
P07195	P07195	LDHB	False	False	canonical_or_unversioned_accession	3	LDHB (P07195)
Q9UJU2	Q9UJU2	LEF1	False	False	canonical_or_unversioned_accession	3	LEF1 (Q9UJU2)
Q9Y2U8	Q9Y2U8	LEMD3	False	False	canonical_or_unversioned_accession	3	LEMD3 (Q9Y2U8)
Q96B70	Q96B70	LENG9	False	False	canonical_or_unversioned_accession	3	LENG9 (Q96B70)
Q9UBR4	Q9UBR4	LHX3	False	False	canonical_or_unversioned_accession	3	LHX3 (Q9UBR4)
Q9NUP9	Q9NUP9	LIN7C	False	False	canonical_or_unversioned_accession	3	LIN7C (Q9NUP9)
Q8NF37	Q8NF37	LPCAT1	False	False	canonical_or_unversioned_accession	3	LPCAT1 (Q8NF37)
Q5VUJ6	Q5VUJ6	LRCH2	False	False	canonical_or_unversioned_accession	3	LRCH2 (Q5VUJ6)
Q07954	Q07954	LRP1	False	False	canonical_or_unversioned_accession	3	LRP1 (Q07954)
Q9NZR2	Q9NZR2	LRP1B	False	False	canonical_or_unversioned_accession	3	LRP1B (Q9NZR2)
P30533	P30533	LRPAP1	False	False	canonical_or_unversioned_accession	3	LRPAP1 (P30533)
Q9H089	Q9H089	LSG1	False	False	canonical_or_unversioned_accession	3	LSG1 (Q9H089)
Q9BRK4	Q9BRK4	LZTS2	False	False	canonical_or_unversioned_accession	3	LZTS2 (Q9BRK4)
Q9Y5V3	Q9Y5V3	MAGED1	False	False	canonical_or_unversioned_accession	3	MAGED1 (Q9Y5V3)
Q9UNF1	Q9UNF1	MAGED2	False	False	canonical_or_unversioned_accession	3	MAGED2 (Q9UNF1)
P61326	P61326	MAGOH	False	False	canonical_or_unversioned_accession	3	MAGOH (P61326)
Q96JK9	Q96JK9	MAML3	False	False	canonical_or_unversioned_accession	3	MAML3 (Q96JK9)
Q99683	Q99683	MAP3K5	False	False	canonical_or_unversioned_accession	3	MAP3K5 (Q99683)
O95382	O95382	MAP3K6	False	False	canonical_or_unversioned_accession	3	MAP3K6 (O95382)
Q3KQU3	Q3KQU3	MAP7D1	False	False	canonical_or_unversioned_accession	3	MAP7D1 (Q3KQU3)
Q9H992	Q9H992	MARCHF7	False	False	canonical_or_unversioned_accession	3	MARCHF7 (Q9H992)
Q6P0Q8	Q6P0Q8	MAST2	False	False	canonical_or_unversioned_accession	3	MAST2 (Q6P0Q8)
P42679	P42679	MATK	False	False	canonical_or_unversioned_accession	3	MATK (P42679)
Q7Z434	Q7Z434	MAVS	False	False	canonical_or_unversioned_accession	3	MAVS (Q7Z434)
Q8IVS2	Q8IVS2	MCAT	False	False	canonical_or_unversioned_accession	3	MCAT (Q8IVS2)
Q96RN5	Q96RN5	MED15	False	False	canonical_or_unversioned_accession	3	MED15 (Q96RN5)
P50579	P50579	METAP2	False	False	canonical_or_unversioned_accession	3	METAP2 (P50579)
H3BU53	H3BU53	MGA	False	False	canonical_or_unversioned_accession	3	MGA (H3BU53)
Q7RTP6	Q7RTP6	MICAL3	False	False	canonical_or_unversioned_accession	3	MICAL3 (Q7RTP6)
Q8N4C8	Q8N4C8	MINK1	False	False	canonical_or_unversioned_accession	3	MINK1 (Q8N4C8)
Q9H000	Q9H000	MKRN2	False	False	canonical_or_unversioned_accession	3	MKRN2 (Q9H000)
P55196	P55196	MLLT4	False	False	canonical_or_unversioned_accession	3	MLLT4 (P55196)
Q9UH92	Q9UH92	MLX	False	False	canonical_or_unversioned_accession	3	MLX (Q9UH92)
Q15014	Q15014	MORF4L2	False	False	canonical_or_unversioned_accession	3	MORF4L2 (Q15014)
Q9HCE1	Q9HCE1	MOV10	False	False	canonical_or_unversioned_accession	3	MOV10 (Q9HCE1)
Q9BXT6	Q9BXT6	MOV10L1	False	False	canonical_or_unversioned_accession	3	MOV10L1 (Q9BXT6)
F5H1U9	F5H1U9	MPDZ	False	False	canonical_or_unversioned_accession	3	MPDZ (F5H1U9)
Q16540	Q16540	MRPL23	False	False	canonical_or_unversioned_accession	3	MRPL23 (Q16540)
Q9Y3D3	Q9Y3D3	MRPS16	False	False	canonical_or_unversioned_accession	3	MRPS16 (Q9Y3D3)
Q9Y3D9	Q9Y3D9	MRPS23	False	False	canonical_or_unversioned_accession	3	MRPS23 (Q9Y3D9)
O43347	O43347	MSI1	False	False	canonical_or_unversioned_accession	3	MSI1 (O43347)
Q13330	Q13330	MTA1	False	False	canonical_or_unversioned_accession	3	MTA1 (Q13330)
Q9BQG0	Q9BQG0	MYBBP1A	False	False	canonical_or_unversioned_accession	3	MYBBP1A (Q9BQG0)
P04198	P04198	MYCN	False	False	canonical_or_unversioned_accession	3	MYCN (P04198)
P35749	P35749	MYH11	False	False	canonical_or_unversioned_accession	3	MYH11 (P35749)
G8JLL9	G8JLL9	MYH14	False	False	canonical_or_unversioned_accession	3	MYH14 (G8JLL9)
Q86TC9	Q86TC9	MYPN	False	False	canonical_or_unversioned_accession	3	MYPN (Q86TC9)
Q6NZ67	Q6NZ67	MZT2B	False	False	canonical_or_unversioned_accession	3	MZT2B (Q6NZ67)
O95544	O95544	NADK	False	False	canonical_or_unversioned_accession	3	NADK (O95544)
Q5QPS4	Q5QPS4	NADK	False	False	canonical_or_unversioned_accession	3	NADK (Q5QPS4)
P60323	P60323	NANOS3	False	False	canonical_or_unversioned_accession	3	NANOS3 (P60323)
O43776	O43776	NARS	False	False	canonical_or_unversioned_accession	3	NARS (O43776)
P49321	P49321	NASP	False	False	canonical_or_unversioned_accession	3	NASP (P49321)
Q8NEY1	Q8NEY1	NAV1	False	False	canonical_or_unversioned_accession	3	NAV1 (Q8NEY1)
Q15021	Q15021	NCAPD2	False	False	canonical_or_unversioned_accession	3	NCAPD2 (Q15021)
Q9BPX3	Q9BPX3	NCAPG	False	False	canonical_or_unversioned_accession	3	NCAPG (Q9BPX3)
Q9HCD5	Q9HCD5	NCOA5	False	False	canonical_or_unversioned_accession	3	NCOA5 (Q9HCD5)
O96000	O96000	NDUFB10	False	False	canonical_or_unversioned_accession	3	NDUFB10 (O96000)
O75306	O75306	NDUFS2	False	False	canonical_or_unversioned_accession	3	NDUFS2 (O75306)
P49821	P49821	NDUFV1	False	False	canonical_or_unversioned_accession	3	NDUFV1 (P49821)
Q8TD19	Q8TD19	NEK9	False	False	canonical_or_unversioned_accession	3	NEK9 (Q8TD19)
P35240	P35240	NF2	False	False	canonical_or_unversioned_accession	3	NF2 (P35240)
Q8NBF2	Q8NBF2	NHLRC2	False	False	canonical_or_unversioned_accession	3	NHLRC2 (Q8NBF2)
Q9ULX3	Q9ULX3	NOB1	False	False	canonical_or_unversioned_accession	3	NOB1 (Q9ULX3)
Q5C9Z4	Q5C9Z4	NOM1	False	False	canonical_or_unversioned_accession	3	NOM1 (Q5C9Z4)
P78316	P78316	NOP14	False	False	canonical_or_unversioned_accession	3	NOP14 (P78316)
Q9Y314	Q9Y314	NOSIP	False	False	canonical_or_unversioned_accession	3	NOSIP (Q9Y314)
Q04721	Q04721	NOTCH2	False	False	canonical_or_unversioned_accession	3	NOTCH2 (Q04721)
Q8IVD9	Q8IVD9	NUDCD3	False	False	canonical_or_unversioned_accession	3	NUDCD3 (Q8IVD9)
P57740	P57740	NUP107	False	False	canonical_or_unversioned_accession	3	NUP107 (P57740)
P49790	P49790	NUP153	False	False	canonical_or_unversioned_accession	3	NUP153 (P49790)
Q5SRE5	Q5SRE5	NUP188	False	False	canonical_or_unversioned_accession	3	NUP188 (Q5SRE5)
Q8N1F7	Q8N1F7	NUP93	False	False	canonical_or_unversioned_accession	3	NUP93 (Q8N1F7)
Q5VST9	Q5VST9	OBSCN	False	False	canonical_or_unversioned_accession	3	OBSCN (Q5VST9)
Q9NX40	Q9NX40	OCIAD1	False	False	canonical_or_unversioned_accession	3	OCIAD1 (Q9NX40)
