substrate_UniProtAC	substrate_UniProtAC_original	canonical_UniProtAC	accession_is_isoform	canonical_counting_status	substrate_genename	unique_sites_accession_level	source_accessions_original	source_families	needs_sequence_remap
O14967	O14967	O14967	False	canonical_or_unversioned_accession	CLGN	1	O14967	Maron2021	False
O14976	O14976	O14976	False	canonical_or_unversioned_accession	GAK	2	O14976	Maron2021	False
O14979	O14979	O14979	False	canonical_or_unversioned_accession	HNRNPDL	11	O14979	Maron2021;ProMetheusDB;human_ptm_master	False
O14980	O14980	O14980	False	canonical_or_unversioned_accession	XPO1	2	O14980	Maron2021	False
O15014	O15014	O15014	False	canonical_or_unversioned_accession	ZNF609	2	O15014	Maron2021	False
O15015	O15015	O15015	False	canonical_or_unversioned_accession	ZNF646	1	O15015	Maron2021	False
O15018	O15018	O15018	False	canonical_or_unversioned_accession	PDZD2	2	O15018	Maron2021	False
O15020	O15020	O15020	False	canonical_or_unversioned_accession	SPTBN2	1	O15020	Maron2021	False
O15021	O15021	O15021	False	canonical_or_unversioned_accession	MAST4	4	O15021	Maron2021	False
O15027	O15027	O15027	False	canonical_or_unversioned_accession	SEC16A	10	O15027	Maron2021	False
O15031	O15031	O15031	False	canonical_or_unversioned_accession	PLXNB2	2	O15031	Maron2021	False
O15037	O15037	O15037	False	canonical_or_unversioned_accession	KHNYN	6	O15037	Maron2021	False
O15042	O15042	O15042	False	canonical_or_unversioned_accession	U2SURP	3	O15042	Maron2021	False
O15047	O15047	O15047	False	canonical_or_unversioned_accession	SETD1A	7	O15047	Maron2021;ProMetheusDB	False
O15050	O15050	O15050	False	canonical_or_unversioned_accession	TRANK1	1	O15050	Maron2021	False
O15061	O15061	O15061	False	canonical_or_unversioned_accession	SYNM	2	O15061	Maron2021	False
O15062	O15062	O15062	False	canonical_or_unversioned_accession	ZBTB5	1	O15062	Maron2021	False
O15066	O15066	O15066	False	canonical_or_unversioned_accession	KIF3B	1	O15066	Maron2021	False
O15067	O15067	O15067	False	canonical_or_unversioned_accession	PFAS	6	O15067	Maron2021	False
O15069	O15069	O15069	False	canonical_or_unversioned_accession	NACAD	1	O15069	Maron2021	False
O15083	O15083	O15083	False	canonical_or_unversioned_accession	ERC2	3	O15083	Maron2021	False
O15119	O15119	O15119	False	canonical_or_unversioned_accession	TBX3	1	O15119	Maron2021	False
O15156	O15156	O15156	False	canonical_or_unversioned_accession	ZBTB7B	2	O15156	Maron2021	False
O15160	O15160	O15160	False	canonical_or_unversioned_accession	POLR1C	2	O15160	Maron2021	False
O15164	O15164	O15164	False	canonical_or_unversioned_accession	TRIM24	5	O15164	Maron2021;ProMetheusDB	False
O15165	O15165	O15165	False	canonical_or_unversioned_accession	LDLRAD4	1	O15165	Maron2021	False
O15169	O15169	O15169	False	canonical_or_unversioned_accession	AXIN1	1	O15169	Maron2021	False
O15173	O15173	O15173	False	canonical_or_unversioned_accession	PGRMC2	3	O15173	Maron2021	False
O15182	O15182	O15182	False	canonical_or_unversioned_accession	CETN3	1	O15182	Maron2021	False
O15209	O15209	O15209	False	canonical_or_unversioned_accession	ZBTB22	1	O15209	Maron2021	False
O15226	O15226	O15226	False	canonical_or_unversioned_accession	NKRF	1	O15226	Maron2021	False
O15230	O15230	O15230	False	canonical_or_unversioned_accession	LAMA5	1	O15230	Maron2021	False
O15231	O15231	O15231	False	canonical_or_unversioned_accession	ZNF185	1	O15231	Maron2021;ProMetheusDB	False
O15234	O15234	O15234	False	canonical_or_unversioned_accession	CASC3	9	O15234	Maron2021	False
O15235	O15235	O15235	False	canonical_or_unversioned_accession	MRPS12	1	O15235	ProMetheusDB	False
O15239	O15239	O15239	False	canonical_or_unversioned_accession	NDUFA1	1	O15239	Maron2021	False
O15265	O15265	O15265	False	canonical_or_unversioned_accession	ATXN7	1	O15265	Maron2021	False
O15270	O15270	O15270	False	canonical_or_unversioned_accession	SPTLC2	1	O15270	Maron2021	False
O15318	O15318	O15318	False	canonical_or_unversioned_accession	POLR3G	2	O15318	Maron2021	False
O15320	O15320	O15320	False	canonical_or_unversioned_accession	MIA2	8	O15320	Maron2021	False
O15344	O15344	O15344	False	canonical_or_unversioned_accession	MID1	2	O15344	Maron2021	False
O15347	O15347	O15347	False	canonical_or_unversioned_accession	HMGB3	1	O15347	Maron2021	False
O15355	O15355	O15355	False	canonical_or_unversioned_accession	PPM1G	1	O15355	Maron2021;human_ptm_master	False
O15357	O15357	O15357	False	canonical_or_unversioned_accession	INPPL1	7	O15357	Maron2021	False
O15360	O15360	O15360	False	canonical_or_unversioned_accession	FANCA	1	O15360	Maron2021	False
O15370	O15370	O15370	False	canonical_or_unversioned_accession	SOX12	2	O15370	Maron2021	False
O15371	O15371	O15371	False	canonical_or_unversioned_accession	EIF3D	6	O15371	Maron2021;ProMetheusDB	False
O15372	O15372	O15372	False	canonical_or_unversioned_accession	EIF3H	1	O15372	Maron2021	False
O15397	O15397	O15397	False	canonical_or_unversioned_accession	IPO8	2	O15397	Maron2021	False
O15417	O15417	O15417	False	canonical_or_unversioned_accession	TNRC18	3	O15417	Maron2021	False
O15439	O15439	O15439	False	canonical_or_unversioned_accession	ABCC4	2	O15439	Maron2021	False
O15446	O15446	O15446	False	canonical_or_unversioned_accession	CD3EAP	3	O15446	Maron2021	False
O15481	O15481	O15481	False	canonical_or_unversioned_accession	MAGEB4	1	O15481	Maron2021	False
O15488	O15488	O15488	False	canonical_or_unversioned_accession	GYG2	2	O15488	Maron2021	False
O15498	O15498	O15498	False	canonical_or_unversioned_accession	YKT6	1	O15498	Maron2021	False
O15504	O15504	O15504	False	canonical_or_unversioned_accession	NUPL2	2	O15504	Maron2021	False
O15511	O15511	O15511	False	canonical_or_unversioned_accession	ARPC5	2	O15511	Maron2021	False
O15516	O15516	O15516	False	canonical_or_unversioned_accession	CLOCK	1	O15516	Maron2021	False
O15519	O15519	O15519	False	canonical_or_unversioned_accession	CFLAR	1	O15519	Maron2021	False
O15523	O15523	O15523	False	canonical_or_unversioned_accession	DDX3Y	13	O15523	Maron2021	False
O15534	O15534	O15534	False	canonical_or_unversioned_accession	PER1	5	O15534	Maron2021	False
O15552	O15552	O15552	False	canonical_or_unversioned_accession	FFAR2	3	O15552	Maron2021	False
O15553	O15553	O15553	False	canonical_or_unversioned_accession	MEFV	1	O15553	Maron2021	False
O43143	O43143	O43143	False	canonical_or_unversioned_accession	DHX15	3	O43143	Maron2021	False
O43147	O43147	O43147	False	canonical_or_unversioned_accession	SGSM2	2	O43147	Maron2021	False
O43149	O43149	O43149	False	canonical_or_unversioned_accession	ZZEF1	1	O43149	Maron2021	False
O43157	O43157	O43157	False	canonical_or_unversioned_accession	PLXNB1	1	O43157	Maron2021	False
O43159	O43159	O43159	False	canonical_or_unversioned_accession	RRP8	1	O43159	Maron2021	False
O43172	O43172	O43172	False	canonical_or_unversioned_accession	PRPF4	1	O43172	Maron2021	False
O43175	O43175	O43175	False	canonical_or_unversioned_accession	PHGDH	6	O43175	Maron2021	False
O43182	O43182	O43182	False	canonical_or_unversioned_accession	ARHGAP6	3	O43182	Maron2021	False
O43184	O43184	O43184	False	canonical_or_unversioned_accession	ADAM12	2	O43184	Maron2021	False
O43189	O43189	O43189	False	canonical_or_unversioned_accession	PHF1	1	O43189	Maron2021	False
O43193	O43193	O43193	False	canonical_or_unversioned_accession	MLNR	1	O43193	Maron2021	False
O43237	O43237	O43237	False	canonical_or_unversioned_accession	DYNC1LI2	3	O43237	Maron2021;ProMetheusDB;human_ptm_master	False
O43251	O43251	O43251	False	canonical_or_unversioned_accession	RBFOX2	10	O43251	Maron2021;ProMetheusDB;human_ptm_master	False
O43252	O43252	O43252	False	canonical_or_unversioned_accession	PAPSS2	4	O43252	Maron2021	False
O43290	O43290	O43290	False	canonical_or_unversioned_accession	SART1	3	O43290	Maron2021	False
O43293	O43293	O43293	False	canonical_or_unversioned_accession	DAPK3	2	O43293	Maron2021	False
O43299	O43299	O43299	False	canonical_or_unversioned_accession	AP5Z1	3	O43299	Maron2021	False
O43307	O43307	O43307	False	canonical_or_unversioned_accession	ARHGEF9	1	O43307	Maron2021	False
O43314	O43314	O43314	False	canonical_or_unversioned_accession	PPIP5K2	1	O43314	Maron2021	False
O43324	O43324	O43324	False	canonical_or_unversioned_accession	EEF1E1	1	O43324	Maron2021	False
O43347	O43347	O43347	False	canonical_or_unversioned_accession	MSI1	3	O43347	Maron2021	False
O43353	O43353	O43353	False	canonical_or_unversioned_accession	RIPK2	1	O43353	Maron2021	False
O43379	O43379	O43379	False	canonical_or_unversioned_accession	WDR62	1	O43379	Maron2021	False
O43390	O43390	O43390	False	canonical_or_unversioned_accession	HNRNPR	18	O43390	Maron2021;ProMetheusDB	False
O43395	O43395	O43395	False	canonical_or_unversioned_accession	PRPF3	1	O43395	Maron2021	False
O43399	O43399	O43399	False	canonical_or_unversioned_accession	TPD52L2	1	O43399	Maron2021	False
O43402	O43402	O43402	False	canonical_or_unversioned_accession	COX4NB	1	O43402	Maron2021	False
O43414	O43414	O43414	False	canonical_or_unversioned_accession	ERI3	2	O43414	Maron2021	False
O43424	O43424	O43424	False	canonical_or_unversioned_accession	GRID2	2	O43424	Maron2021	False
O43426	O43426	O43426	False	canonical_or_unversioned_accession	SYNJ1	2	O43426	Maron2021	False
O43427	O43427	O43427	False	canonical_or_unversioned_accession	FIBP	1	O43427	Maron2021	False
O43432	O43432	O43432	False	canonical_or_unversioned_accession	EIF4G3	4	O43432	Maron2021;ProMetheusDB	False
O43447	O43447	O43447	False	canonical_or_unversioned_accession	PPIH	2	O43447	Maron2021	False
O43464	O43464	O43464	False	canonical_or_unversioned_accession	HTRA2	5	O43464	Maron2021	False
O43482	O43482	O43482	False	canonical_or_unversioned_accession	OIP5	2	O43482	Maron2021	False
O43488	O43488	O43488	False	canonical_or_unversioned_accession	AKR7A2	4	O43488	Maron2021	False
O43491	O43491	O43491	False	canonical_or_unversioned_accession	EPB41L2	4	O43491	Maron2021	False
O43497	O43497	O43497	False	canonical_or_unversioned_accession	CACNA1G	5	O43497	Maron2021	False
O43516	O43516	O43516	False	canonical_or_unversioned_accession	WIPF1	13	O43516	Maron2021;ProMetheusDB	False
O43520	O43520	O43520	False	canonical_or_unversioned_accession	ATP8B1	1	O43520	Maron2021	False
O43541	O43541	O43541	False	canonical_or_unversioned_accession	SMAD6	1	O43541	Maron2021	False
O43566	O43566	O43566	False	canonical_or_unversioned_accession	RGS14	1	O43566	Maron2021	False
O43572	O43572	O43572	False	canonical_or_unversioned_accession	AKAP10	2	O43572	Maron2021	False
O43593	O43593	O43593	False	canonical_or_unversioned_accession	HR	1	O43593	Maron2021	False
O43598	O43598	O43598	False	canonical_or_unversioned_accession	RCL	7	O43598	Maron2021	False
O43638	O43638	O43638	False	canonical_or_unversioned_accession	FOXS1	2	O43638	Maron2021	False
O43657	O43657	O43657	False	canonical_or_unversioned_accession	TSPAN6	1	O43657	Maron2021	False
O43663	O43663	O43663	False	canonical_or_unversioned_accession	PRC1	5	O43663	Maron2021	False
O43665	O43665	O43665	False	canonical_or_unversioned_accession	RGS10	2	O43665	Maron2021	False
O43670	O43670	O43670	False	canonical_or_unversioned_accession	ZNF207	2	O43670	Maron2021	False
O43678	O43678	O43678	False	canonical_or_unversioned_accession	NDUFA2	1	O43678	Maron2021	False
O43679	O43679	O43679	False	canonical_or_unversioned_accession	LDB2	1	O43679	Maron2021	False
O43681	O43681	O43681	False	canonical_or_unversioned_accession	ASNA1	1	O43681	Maron2021	False
O43684	O43684	O43684	False	canonical_or_unversioned_accession	BUB3	4	O43684	Maron2021	False
O43707	O43707	O43707	False	canonical_or_unversioned_accession	ACTN4	8	O43707	Maron2021	False
O43709	O43709	O43709	False	canonical_or_unversioned_accession	WBSCR22	5	O43709	Maron2021	False
O43715	O43715	O43715	False	canonical_or_unversioned_accession	TRIAP1	1	O43715	Maron2021	False
O43716	O43716	O43716	False	canonical_or_unversioned_accession	GATC	1	O43716	Maron2021	False
O43719	O43719	O43719	False	canonical_or_unversioned_accession	HTATSF1	9	O43719	Maron2021	False
O43734	O43734	O43734	False	canonical_or_unversioned_accession	TRAF3IP2	1	O43734	Maron2021	False
O43760	O43760	O43760	False	canonical_or_unversioned_accession	SYNGR2	1	O43760	Maron2021	False
O43765	O43765	O43765	False	canonical_or_unversioned_accession	SGTA	2	O43765	Maron2021	False
O43772	O43772	O43772	False	canonical_or_unversioned_accession	SLC25A20	1	O43772	Maron2021	False
O43776	O43776	O43776	False	canonical_or_unversioned_accession	NARS	3	O43776	Maron2021	False
O43809	O43809	O43809	False	canonical_or_unversioned_accession	NUDT21	2	O43809	Maron2021;ProMetheusDB;human_ptm_master	False
O43815	O43815	O43815	False	canonical_or_unversioned_accession	STRN	1	O43815	Maron2021	False
O43818	O43818	O43818	False	canonical_or_unversioned_accession	RRP9	3	O43818	Maron2021;human_ptm_master	False
O43819	O43819	O43819	False	canonical_or_unversioned_accession	SCO2	1	O43819	Maron2021	False
O43823	O43823	O43823	False	canonical_or_unversioned_accession	AKAP8	9	O43823	Maron2021;ProMetheusDB;human_ptm_master	False
O43824	O43824	O43824	False	canonical_or_unversioned_accession	GTPBP6	6	O43824	Maron2021	False
O43852	O43852	O43852	False	canonical_or_unversioned_accession	CALU	1	O43852	Maron2021	False
O43865	O43865	O43865	False	canonical_or_unversioned_accession	AHCYL1	3	O43865	Maron2021	False
O43896	O43896	O43896	False	canonical_or_unversioned_accession	KIF1C	8	O43896	Maron2021;ProMetheusDB;human_ptm_master	False
O43900	O43900	O43900	False	canonical_or_unversioned_accession	PRICKLE3	2	O43900	Maron2021	False
O43924	O43924	O43924	False	canonical_or_unversioned_accession	PDE6D	1	O43924	Maron2021	False
O43929	O43929	O43929	False	canonical_or_unversioned_accession	ORC4	1	O43929	Maron2021	False
O60216	O60216	O60216	False	canonical_or_unversioned_accession	RAD21	3	O60216	Maron2021	False
O60218	O60218	O60218	False	canonical_or_unversioned_accession	AKR1B10	2	O60218	Maron2021	False
O60229	O60229	O60229	False	canonical_or_unversioned_accession	KALRN	2	O60229	Maron2021	False
O60231	O60231	O60231	False	canonical_or_unversioned_accession	DHX16	1	O60231	Maron2021	False
O60232	O60232	O60232	False	canonical_or_unversioned_accession	SSSCA1	1	O60232	Maron2021	False
O60237	O60237	O60237	False	canonical_or_unversioned_accession	PPP1R12B	1	O60237	Maron2021	False
O60241	O60241	O60241	False	canonical_or_unversioned_accession	ADGRB2	3	O60241	Maron2021	False
O60244	O60244	O60244	False	canonical_or_unversioned_accession	MED14	2	O60244	Maron2021	False
O60264	O60264	O60264	False	canonical_or_unversioned_accession	SMARCA5	3	O60264	Maron2021;ProMetheusDB	False
O60269	O60269	O60269	False	canonical_or_unversioned_accession	GPRIN2	3	O60269	Maron2021	False
O60271	O60271	O60271	False	canonical_or_unversioned_accession	SPAG9	2	O60271	Maron2021	False
O60279	O60279	O60279	False	canonical_or_unversioned_accession	SUSD5	1	O60279	Maron2021	False
O60282	O60282	O60282	False	canonical_or_unversioned_accession	KIF5C	3	O60282	Maron2021	False
O60285	O60285	O60285	False	canonical_or_unversioned_accession	NUAK1	1	O60285	Maron2021	False
O60293	O60293	O60293	False	canonical_or_unversioned_accession	ZFC3H1	11	O60293	Maron2021;ProMetheusDB	False
O60294	O60294	O60294	False	canonical_or_unversioned_accession	LCMT2	1	O60294	Maron2021	False
O60299	O60299	O60299	False	canonical_or_unversioned_accession	PROSAPIP1	1	O60299	Maron2021	False
O60307	O60307	O60307	False	canonical_or_unversioned_accession	MAST3	2	O60307	Maron2021	False
O60313	O60313	O60313	False	canonical_or_unversioned_accession	OPA1	2	O60313	Maron2021	False
O60318	O60318	O60318	False	canonical_or_unversioned_accession	MCM3AP	2	O60318	Maron2021	False
O60331	O60331	O60331	False	canonical_or_unversioned_accession	PIP5K1C	1	O60331	Maron2021	False
O60333	O60333	O60333	False	canonical_or_unversioned_accession	KIF1B	2	O60333	Maron2021	False
O60341	O60341	O60341	False	canonical_or_unversioned_accession	KDM1A	2	O60341	Maron2021	False
O60343	O60343	O60343	False	canonical_or_unversioned_accession	TBC1D4	1	O60343	Maron2021	False
O60346	O60346	O60346	False	canonical_or_unversioned_accession	PHLPP1	1	O60346	Maron2021	False
O60347	O60347	O60347	False	canonical_or_unversioned_accession	TBC1D12	1	O60347	Maron2021	False
O60462	O60462	O60462	False	canonical_or_unversioned_accession	NRP2	2	O60462	Maron2021	False
O60469	O60469	O60469	False	canonical_or_unversioned_accession	DSCAM	1	O60469	Maron2021	False
O60477	O60477	O60477	False	canonical_or_unversioned_accession	BRINP1	1	O60477	Maron2021	False
O60486	O60486	O60486	False	canonical_or_unversioned_accession	PLXNC1	2	O60486	Maron2021	False
O60493	O60493	O60493	False	canonical_or_unversioned_accession	SNX3	3	O60493	Maron2021;ProMetheusDB;human_ptm_master	False
O60494	O60494	O60494	False	canonical_or_unversioned_accession	CUBN	1	O60494	Maron2021	False
O60504	O60504	O60504	False	canonical_or_unversioned_accession	SORBS3	1	O60504	Maron2021	False
O60506	O60506	O60506	False	canonical_or_unversioned_accession	SYNCRIP	24	O60506	Maron2021;ProMetheusDB;human_ptm_master	False
O60508	O60508	O60508	False	canonical_or_unversioned_accession	CDC40	2	O60508	Maron2021	False
O60518	O60518	O60518	False	canonical_or_unversioned_accession	RANBP6	1	O60518	Maron2021	False
O60519	O60519	O60519	False	canonical_or_unversioned_accession	CREBL2	1	O60519	Maron2021	False
O60547	O60547	O60547	False	canonical_or_unversioned_accession	GMDS	1	O60547	Maron2021	False
O60566	O60566	O60566	False	canonical_or_unversioned_accession	BUB1B	1	O60566	Maron2021	False
O60568	O60568	O60568	False	canonical_or_unversioned_accession	PLOD3	2	O60568	Maron2021	False
O60573	O60573	O60573	False	canonical_or_unversioned_accession	EIF4E2	2	O60573	Maron2021;ProMetheusDB	False
O60610	O60610	O60610	False	canonical_or_unversioned_accession	DIAPH1	2	O60610	Maron2021;ProMetheusDB	False
O60613	O60613	O60613	False	canonical_or_unversioned_accession	SELENOF	1	O60613	Maron2021	False
O60664	O60664	O60664	False	canonical_or_unversioned_accession	PLIN3	1	O60664	Maron2021	False
O60678	O60678	O60678	False	canonical_or_unversioned_accession	PRMT3	2	O60678	Maron2021	False
O60683	O60683	O60683	False	canonical_or_unversioned_accession	PEX10	2	O60683	Maron2021	False
O60684	O60684	O60684	False	canonical_or_unversioned_accession	KPNA6	2	O60684	Maron2021	False
O60716	O60716	O60716	False	canonical_or_unversioned_accession	CTNND1	7	O60716	Maron2021	False
O60749	O60749	O60749	False	canonical_or_unversioned_accession	SNX2	2	O60749	Maron2021	False
O60755	O60755	O60755	False	canonical_or_unversioned_accession	GALR3	3	O60755	Maron2021	False
O60760	O60760	O60760	False	canonical_or_unversioned_accession	HPGDS	1	O60760	Maron2021	False
O60762	O60762	O60762	False	canonical_or_unversioned_accession	DPM1	1	O60762	Maron2021	False
O60763	O60763	O60763	False	canonical_or_unversioned_accession	USO1	5	O60763	Maron2021	False
O60765	O60765	O60765	False	canonical_or_unversioned_accession	ZNF354A	1	O60765	ProMetheusDB	False
O60813	O60813	O60813	False	canonical_or_unversioned_accession	PRAMEF11	1	O60813	Maron2021	False
O60814	O60814	O60814	False	canonical_or_unversioned_accession	H2BC12	5	O60814	Maron2021;ProMetheusDB	False
O60828	O60828	O60828	False	canonical_or_unversioned_accession	PQBP1	2	O60828	Maron2021	False
O60829	O60829	O60829	False	canonical_or_unversioned_accession	PAGE4	1	O60829	Maron2021	False
O60830	O60830	O60830	False	canonical_or_unversioned_accession	TIMM17B	1	O60830	Maron2021	False
O60841	O60841	O60841	False	canonical_or_unversioned_accession	EIF5B	1	O60841	Maron2021	False
O60869	O60869	O60869	False	canonical_or_unversioned_accession	EDF1	2	O60869	Maron2021	False
O60870	O60870	O60870	False	canonical_or_unversioned_accession	KIN	1	O60870	Maron2021	False
O60880	O60880	O60880	False	canonical_or_unversioned_accession	SH2D1A	1	O60880	Maron2021	False
O60884	O60884	O60884	False	canonical_or_unversioned_accession	DNAJA2	3	O60884	Maron2021	False
O60885	O60885	O60885	False	canonical_or_unversioned_accession	BRD4	4	O60885	Maron2021	False
O60907	O60907	O60907	False	canonical_or_unversioned_accession	TBL1X	2	O60907	Maron2021	False
O60930	O60930	O60930	False	canonical_or_unversioned_accession	RNASEH1	3	O60930	Maron2021	False
O60942	O60942	O60942	False	canonical_or_unversioned_accession	RNGTT	1	O60942	Maron2021	False
O75023	O75023	O75023	False	canonical_or_unversioned_accession	LILRB5	1	O75023	Maron2021	False
O75027	O75027	O75027	False	canonical_or_unversioned_accession	ABCB7	1	O75027	Maron2021	False
O75030	O75030	O75030	False	canonical_or_unversioned_accession	MITF	1	O75030	Maron2021	False
O75037	O75037	O75037	False	canonical_or_unversioned_accession	KIF21B	1	O75037	Maron2021	False
O75052	O75052	O75052	False	canonical_or_unversioned_accession	NOS1AP	1	O75052	Maron2021	False
O75061	O75061	O75061	False	canonical_or_unversioned_accession	DNAJC6	1	O75061	Maron2021	False
O75064	O75064	O75064	False	canonical_or_unversioned_accession	DENND4B	4	O75064	Maron2021	False
O75083	O75083	O75083	False	canonical_or_unversioned_accession	WDR1	3	O75083	Maron2021	False
O75096	O75096	O75096	False	canonical_or_unversioned_accession	LRP4	1	O75096	Maron2021	False
O75112	O75112	O75112	False	canonical_or_unversioned_accession	LDB3	1	O75112	Maron2021	False
O75113	O75113	O75113	False	canonical_or_unversioned_accession	N4BP1	2	O75113	Maron2021	False
O75122	O75122	O75122	False	canonical_or_unversioned_accession	CLASP2	4	O75122	Maron2021	False
O75123	O75123	O75123	False	canonical_or_unversioned_accession	ZNF623	1	O75123	Maron2021	False
O75127	O75127	O75127	False	canonical_or_unversioned_accession	PTCD1	1	O75127	Maron2021;ProMetheusDB	False
O75128	O75128	O75128	False	canonical_or_unversioned_accession	COBL	2	O75128	Maron2021	False
O75145	O75145	O75145	False	canonical_or_unversioned_accession	PPFIA3	2	O75145	Maron2021	False
O75150	O75150	O75150	False	canonical_or_unversioned_accession	RNF40	1	O75150	Maron2021	False
O75152	O75152	O75152	False	canonical_or_unversioned_accession	ZC3H11A	3	O75152	Maron2021	False
O75155	O75155	O75155	False	canonical_or_unversioned_accession	CAND2	1	O75155	Maron2021	False
O75175	O75175	O75175	False	canonical_or_unversioned_accession	CNOT3	2	O75175	Maron2021	False
O75179	O75179	O75179	False	canonical_or_unversioned_accession	ANKRD17	9	O75179	Maron2021;ProMetheusDB	False
O75182	O75182	O75182	False	canonical_or_unversioned_accession	SIN3B	2	O75182	Maron2021	False
O75190	O75190	O75190	False	canonical_or_unversioned_accession	DNAJB6	1	O75190	Maron2021	False
O75208	O75208	O75208	False	canonical_or_unversioned_accession	COQ9	2	O75208	Maron2021	False
O75251	O75251	O75251	False	canonical_or_unversioned_accession	NDUFS7	1	O75251	Maron2021	False
O75306	O75306	O75306	False	canonical_or_unversioned_accession	NDUFS2	3	O75306	Maron2021;ProMetheusDB	False
O75319	O75319	O75319	False	canonical_or_unversioned_accession	DUSP11	6	O75319	Maron2021	False
O75323	O75323	O75323	False	canonical_or_unversioned_accession	GBAS	3	O75323	Maron2021	False
O75326	O75326	O75326	False	canonical_or_unversioned_accession	SEMA7A	1	O75326	Maron2021	False
O75335	O75335	O75335	False	canonical_or_unversioned_accession	PPFIA4	1	O75335	Maron2021	False
O75340	O75340	O75340	False	canonical_or_unversioned_accession	PDCD6	2	O75340	Maron2021	False
O75342	O75342	O75342	False	canonical_or_unversioned_accession	ALOX12B	1	O75342	Maron2021	False
O75347	O75347	O75347	False	canonical_or_unversioned_accession	TBCA	1	O75347	Maron2021	False
O75348	O75348	O75348	False	canonical_or_unversioned_accession	ATP6V1G1	1	O75348	Maron2021	False
O75367	O75367	O75367	False	canonical_or_unversioned_accession	H2AFY	2	O75367	Maron2021	False
O75369	O75369	O75369	False	canonical_or_unversioned_accession	FLNB	9	O75369	Maron2021	False
O75376	O75376	O75376	False	canonical_or_unversioned_accession	NCOR1	19	O75376	Maron2021;ProMetheusDB	False
O75381	O75381	O75381	False	canonical_or_unversioned_accession	PEX14	1	O75381	Maron2021	False
O75382	O75382	O75382	False	canonical_or_unversioned_accession	TRIM3	2	O75382	Maron2021	False
O75385	O75385	O75385	False	canonical_or_unversioned_accession	ULK1	3	O75385	Maron2021	False
O75390	O75390	O75390	False	canonical_or_unversioned_accession	CS	1	O75390	Maron2021	False
O75400	O75400	O75400	False	canonical_or_unversioned_accession	PRPF40A	6	O75400	Maron2021;ProMetheusDB	False
O75419	O75419	O75419	False	canonical_or_unversioned_accession	CDC45	1	O75419	Maron2021	False
O75420	O75420	O75420	False	canonical_or_unversioned_accession	GIGYF1	2	O75420	Maron2021	False
O75431	O75431	O75431	False	canonical_or_unversioned_accession	MTX2	1	O75431	Maron2021	False
O75445	O75445	O75445	False	canonical_or_unversioned_accession	USH2A	1	O75445	Maron2021	False
O75449	O75449	O75449	False	canonical_or_unversioned_accession	KATNA1	1	O75449	Maron2021	False
O75467	O75467	O75467	False	canonical_or_unversioned_accession	ZNF324	3	O75467	Maron2021	False
O75475	O75475	O75475	False	canonical_or_unversioned_accession	PSIP1	1	O75475	Maron2021	False
O75493	O75493	O75493	False	canonical_or_unversioned_accession	CA11	1	O75493	Maron2021	False
O75494	O75494	O75494	False	canonical_or_unversioned_accession	FUSIP1	6	O75494	Maron2021;ProMetheusDB	False
O75525	O75525	O75525	False	canonical_or_unversioned_accession	KHDRBS3	14	O75525	Maron2021;ProMetheusDB	False
O75526	O75526	O75526	False	canonical_or_unversioned_accession	RBMXL2	3	O75526	Maron2021	False
O75528	O75528	O75528	False	canonical_or_unversioned_accession	TADA3	1	O75528	Maron2021	False
O75531	O75531	O75531	False	canonical_or_unversioned_accession	BANF1	4	O75531	Maron2021	False
O75533	O75533	O75533	False	canonical_or_unversioned_accession	SF3B1	9	O75533	Maron2021	False
O75534	O75534	O75534	False	canonical_or_unversioned_accession	CSDE1	3	O75534	Maron2021	False
O75581	O75581	O75581	False	canonical_or_unversioned_accession	LRP6	1	O75581	Maron2021	False
O75592	O75592	O75592	False	canonical_or_unversioned_accession	MYCBP2	2	O75592	Maron2021	False
O75607	O75607	O75607	False	canonical_or_unversioned_accession	NPM3	2	O75607	Maron2021;human_ptm_master	False
O75626	O75626	O75626	False	canonical_or_unversioned_accession	PRDM1	1	O75626	Maron2021	False
O75638	O75638	O75638	False	canonical_or_unversioned_accession	CTAG2	1	O75638	Maron2021	False
O75643	O75643	O75643	False	canonical_or_unversioned_accession	SNRNP200	2	O75643	Maron2021	False
O75676	O75676	O75676	False	canonical_or_unversioned_accession	RPS6KA4	1	O75676	Maron2021	False
O75694	O75694	O75694	False	canonical_or_unversioned_accession	NUP155	1	O75694	Maron2021	False
O75781	O75781	O75781	False	canonical_or_unversioned_accession	PALM	2	O75781	Maron2021	False
O75787	O75787	O75787	False	canonical_or_unversioned_accession	ATP6AP2	1	O75787	Maron2021	False
O75791	O75791	O75791	False	canonical_or_unversioned_accession	GRAP2	2	O75791	Maron2021	False
O75792	O75792	O75792	False	canonical_or_unversioned_accession	RNASEH2A	3	O75792	Maron2021	False
O75815	O75815	O75815	False	canonical_or_unversioned_accession	BCAR3	1	O75815	Maron2021;human_ptm_master	False
O75817	O75817	O75817	False	canonical_or_unversioned_accession	POP7	1	O75817	Maron2021	False
O75821	O75821	O75821	False	canonical_or_unversioned_accession	EIF3G	1	O75821	Maron2021	False
O75822	O75822	O75822	False	canonical_or_unversioned_accession	EIF3J	1	O75822	Maron2021	False
O75865	O75865	O75865	False	canonical_or_unversioned_accession	TRAPPC6A	1	O75865	Maron2021	False
O75882	O75882	O75882	False	canonical_or_unversioned_accession	ATRN	3	O75882	Maron2021	False
