canonical_UniProtAC	outside_domain_idr_segment_id	outside_domain_idr_start	outside_domain_idr_end	outside_domain_idr_length	arginines_in_segment
P53992	P53992:1:1-351	1	351	351	9
P54098	P54098:7:716-736	716	736	21	1
P54253	P54253:1:1-67	1	67	67	6
P55042	P55042:1:1-88	1	88	88	9
P55196	P55196:2:134-196	134	196	63	4
P55196	P55196:6:225-245	225	245	21	5
P55196	P55196:12:1105-1196	1105	1196	92	7
P55198	P55198:9:590-595	590	595	6	2
P55201	P55201:10:797-1062	797	1062	266	25
P55212	P55212:1:1-21	1	21	21	2
P55265	P55265:1:1-12	1	12	12	1
P55265	P55265:2:26-36	26	36	11	1
P55265	P55265:5:91-96	91	96	6	2
P55265	P55265:6:100-121	100	121	22	5
P55789	P55789:1:1-22	1	22	22	2
P55789	P55789:2:26-69	26	69	44	7
P55795	P55795:3:195-218	195	218	24	4
P55884	P55884:1:1-177	1	177	177	9
P58107	P58107:12:2578-2638	2578	2638	61	8
P58107	P58107:18:3114-3179	3114	3179	66	9
P58107	P58107:22:3645-3707	3645	3707	63	9
P58107	P58107:28:4179-4241	4179	4241	63	9
P58107	P58107:32:4715-4779	4715	4779	65	9
P60323	P60323:4:123-173	123	173	51	5
P60900	P60900:1:1-8	1	8	8	1
P60900	P60900:2:244-246	244	246	3	1
P61073	P61073:3:328-352	328	352	25	1
P61254	P61254:1:1-21	1	21	21	3
P61978	P61978:3:247-329	247	329	83	19
P62304	P62304:1:1-8	1	8	8	1
P62314	P62314:1:94-119	94	119	26	11
P62316	P62316:1:1-28	1	28	28	1
P62318	P62318:2:85-98	85	98	14	1
P62318	P62318:3:110-126	110	126	17	6
P62633	P62633:2:22-33	22	33	12	4
P62714	P62714:2:294-309	294	309	16	4
P62805	P62805:1:1-20	1	20	20	3
P62888	P62888:2:106-115	106	115	10	1
P62995	P62995:2:197-238	197	238	42	9
P62995	P62995:3:240-288	240	288	49	13
P63162	P63162:7:134-147	134	147	14	1
P63162	P63162:8:161-240	161	240	80	8
P67775	P67775:2:294-309	294	309	16	4
P67809	P67809:2:129-324	129	324	196	35
P68371	P68371:1:1-2	1	2	2	1
P68431	P68431:1:1-43	1	43	43	6
P78317	P78317:1:1-34	1	34	34	6
P78332	P78332:1:1-203	1	203	203	28
P78332	P78332:2:206-398	206	398	193	24
P78344	P78344:1:1-72	1	72	72	5
P78344	P78344:5:385-427	385	427	43	3
P78344	P78344:6:450-466	450	466	17	1
P78344	P78344:7:494-542	494	542	49	1
P78345	P78345:1:1-18	1	18	18	3
P78347	P78347:3:206-206	206	206	1	1
P78368	P78368:1:1-37	1	37	37	4
P78524	P78524:14:261-282	261	282	22	3
P78549	P78549:1:1-85	1	85	85	13
P78559	P78559:23:2339-2687	2339	2687	349	28
P79522	P79522:1:1-154	1	154	154	13
P83369	P83369:2:66-151	66	151	86	19
P84103	P84103:2:84-164	84	164	81	31
P84243	P84243:1:1-43	1	43	43	6
P98082	P98082:5:282-488	282	488	207	7
P98153	P98153:2:69-94	69	94	26	4
P98170	P98170:3:243-257	243	257	15	1
P98174	P98174:1:1-88	1	88	88	5
P98174	P98174:2:90-217	90	217	128	11
P98175	P98175:1:1-128	1	128	128	21
P98179	P98179:2:86-157	86	157	72	12
Q00341	Q00341:6:1226-1268	1226	1268	43	2
Q00536	Q00536:1:1-114	1	114	114	11
Q00587	Q00587:1:1-18	1	18	18	1
Q00587	Q00587:3:73-82	73	82	10	2
Q00587	Q00587:4:93-114	93	114	22	2
Q00587	Q00587:5:221-339	221	339	119	3
Q00722	Q00722:2:856-877	856	877	22	2
Q00839	Q00839:2:43-267	43	267	225	9
Q00839	Q00839:3:484-492	484	492	9	2
Q00839	Q00839:5:670-755	670	755	86	10
Q00839	Q00839:6:760-801	760	801	42	7
Q01081	Q01081:3:183-240	183	240	58	23
Q01082	Q01082:2:2129-2196	2129	2196	68	4
Q01094	Q01094:2:40-126	40	126	87	8
Q01130	Q01130:1:1-13	1	13	13	1
Q01130	Q01130:2:93-221	93	221	129	40
Q01196	Q01196:2:180-254	180	254	75	7
Q01201	Q01201:1:1-17	1	17	17	2
Q01484	Q01484:5:898-907	898	907	10	2
Q01543	Q01543:10:430-452	430	452	23	1
Q01804	Q01804:6:316-450	316	450	135	10
Q01804	Q01804:23:907-1114	907	1114	208	23
Q01826	Q01826:1:1-58	1	58	58	3
Q01844	Q01844:6:121-360	121	360	240	11
Q01844	Q01844:7:448-517	448	517	70	10
Q01844	Q01844:8:550-656	550	656	107	20
Q02080	Q02080:2:94-365	94	365	272	21
Q02388	Q02388:4:1310-1488	1310	1488	179	11
Q02447	Q02447:22:611-611	611	611	1	1
Q02641	Q02641:5:591-596	591	596	6	1
Q02779	Q02779:13:756-900	756	900	145	17
Q02833	Q02833:3:122-150	122	150	29	2
Q02878	Q02878:5:123-123	123	123	1	1
Q02952	Q02952:3:419-604	419	604	186	4
Q02952	Q02952:12:938-1091	938	1091	154	7
Q03001	Q03001:53:7395-7468	7395	7468	74	8
Q03164	Q03164:1:1-110	1	110	110	8
Q03164	Q03164:19:698-703	698	703	6	2
Q03164	Q03164:20:712-782	712	782	71	9
Q03252	Q03252:1:1-40	1	40	40	8
Q04206	Q04206:2:292-306	292	306	15	4
Q04637	Q04637:1:1-79	1	79	79	4
Q04637	Q04637:4:159-602	159	602	444	14
Q04637	Q04637:7:666-715	666	715	50	8
Q04637	Q04637:12:1022-1230	1022	1230	209	30
Q04721	Q04721:5:1753-1798	1753	1798	46	2
Q04724	Q04724:1:1-17	1	17	17	1
Q04724	Q04724:4:174-349	174	349	176	11
Q04726	Q04726:1:1-17	1	17	17	1
Q04864	Q04864:10:397-439	397	439	43	2
Q05195	Q05195:4:172-204	172	204	33	1
Q06587	Q06587:4:142-268	142	268	127	9
Q06787	Q06787:1:543-548	543	548	6	2
Q07002	Q07002:4:458-474	458	474	17	3
Q07666	Q07666:1:1-96	1	96	96	11
Q07666	Q07666:4:280-321	280	321	42	9
Q07666	Q07666:5:323-365	323	365	43	6
Q07666	Q07666:6:416-443	416	443	28	4
Q07812	Q07812:1:1-18	1	18	18	1
Q07866	Q07866:11:505-508	505	508	4	1
Q07866	Q07866:14:551-573	551	573	23	5
Q07890	Q07890:12:1140-1332	1140	1332	193	13
Q07912	Q07912:11:838-845	838	845	8	1
Q07912	Q07912:12:878-957	878	957	80	6
Q07955	Q07955:2:92-112	92	112	21	4
Q08117	Q08117:1:1-17	1	17	17	1
Q08170	Q08170:2:73-97	73	97	25	6
Q08170	Q08170:4:178-494	178	494	317	75
Q08211	Q08211:4:126-141	126	141	16	1
Q08211	Q08211:9:1154-1155	1154	1155	2	1
Q08211	Q08211:11:1159-1172	1159	1172	14	2
Q08211	Q08211:14:1225-1255	1225	1255	31	5
Q08211	Q08211:17:1265-1270	1265	1270	6	1
Q08379	Q08379:1:1-115	1	115	115	5
Q08945	Q08945:3:617-656	617	656	40	4
Q08AD1	Q08AD1:20:925-1020	925	1020	96	10
Q09019	Q09019:3:454-518	454	518	65	5
Q09019	Q09019:4:521-574	521	574	54	8
Q09472	Q09472:8:191-262	191	262	72	3
Q09472	Q09472:19:652-716	652	716	65	2
Q09472	Q09472:20:722-1047	722	1047	326	6
Q09472	Q09472:25:2099-2169	2099	2169	71	1
Q09472	Q09472:27:2186-2243	2186	2243	58	1
Q09472	Q09472:31:2266-2414	2266	2414	149	3
Q09666	Q09666:10:313-348	313	348	36	2
Q09666	Q09666:25:545-566	545	566	22	1
Q12766	Q12766:12:524-532	524	532	9	1
Q12774	Q12774:1:479-1072	479	1072	594	48
Q12789	Q12789:24:1538-1549	1538	1549	12	1
Q12791	Q12791:10:1186-1236	1186	1236	51	6
Q12792	Q12792:1:316-350	316	350	35	4
Q12830	Q12830:1:1-233	1	233	233	26
Q12830	Q12830:17:1464-1538	1464	1538	75	4
Q12830	Q12830:27:2160-2186	2160	2186	27	2
Q12830	Q12830:28:2229-2272	2229	2272	44	1
Q12873	Q12873:16:1520-1709	1520	1709	190	19
Q12888	Q12888:20:1267-1479	1267	1479	213	19
Q12905	Q12905:1:1-21	1	21	21	6
Q12906	Q12906:5:600-663	600	663	64	9
Q12906	Q12906:6:686-894	686	894	209	3
Q12923	Q12923:2:191-221	191	221	31	5
Q12965	Q12965:2:926-1050	926	1050	125	13
Q12979	Q12979:1:1-10	1	10	10	1
Q13029	Q13029:5:508-550	508	550	43	3
Q13064	Q13064:2:69-89	69	89	21	2
Q13094	Q13094:2:79-419	79	419	341	22
Q13112	Q13112:1:384-409	384	409	26	2
Q13123	Q13123:1:1-75	1	75	75	8
Q13151	Q13151:4:176-214	176	214	39	6
Q13151	Q13151:6:259-305	259	305	47	2
Q13163	Q13163:1:115-146	115	146	32	2
Q13191	Q13191:1:1-20	1	20	20	3
Q13191	Q13191:13:768-857	768	857	90	5
Q13200	Q13200:1:1-55	1	55	55	3
Q13206	Q13206:6:561-632	561	632	72	3
Q13242	Q13242:1:1-13	1	13	13	1
Q13242	Q13242:2:93-103	93	103	11	3
Q13242	Q13242:3:188-221	188	221	34	6
Q13243	Q13243:2:75-107	75	107	33	12
Q13247	Q13247:1:74-104	74	104	31	7
Q13263	Q13263:3:408-481	408	481	74	4
Q13283	Q13283:2:141-333	141	333	193	13
Q13283	Q13283:3:417-466	417	466	50	10
Q13303	Q13303:1:1-19	1	19	19	2
Q13310	Q13310:2:420-480	420	480	61	7
Q13356	Q13356:5:454-520	454	520	67	3
Q13387	Q13387:4:40-356	40	356	317	18
Q13435	Q13435:3:61-140	61	140	80	3
Q13435	Q13435:8:189-375	189	375	187	18
Q13435	Q13435:18:844-895	844	895	52	3
Q13442	Q13442:1:1-84	1	84	84	5
Q13459	Q13459:9:1978-2157	1978	2157	180	19
Q13492	Q13492:1:1-10	1	10	10	1
Q13492	Q13492:12:635-637	635	637	3	1
Q13546	Q13546:3:466-493	466	493	28	3
Q13555	Q13555:4:375-423	375	423	49	4
Q13563	Q13563:3:54-181	54	181	128	16
Q13595	Q13595:2:201-282	201	282	82	18
Q13610	Q13610:3:36-113	36	113	78	4
Q13613	Q13613:3:641-665	641	665	25	2
Q13625	Q13625:10:353-362	353	362	10	2
Q13635	Q13635:7:1262-1361	1262	1361	100	14
Q13635	Q13635:8:1382-1404	1382	1404	23	2
Q13761	Q13761:3:207-266	207	266	60	5
Q13796	Q13796:8:246-481	246	481	236	16
Q13796	Q13796:11:877-1101	877	1101	225	27
Q13823	Q13823:1:1-36	1	36	36	4
Q13823	Q13823:9:622-731	622	731	110	16
Q13950	Q13950:4:231-305	231	305	75	6
Q13950	Q13950:5:308-344	308	344	37	3
Q14004	Q14004:18:1438-1512	1438	1512	75	4
Q14005	Q14005:18:729-972	729	972	244	17
Q14011	Q14011:2:86-172	86	172	87	16
Q14031	Q14031:11:548-659	548	659	112	3
Q14103	Q14103:1:79-94	79	94	16	2
Q14103	Q14103:2:267-288	267	288	22	4
Q14103	Q14103:4:337-355	337	355	19	2
Q14134	Q14134:7:482-496	482	496	15	2
Q14137	Q14137:1:1-133	1	133	133	8
Q14147	Q14147:3:116-121	116	121	6	1
Q14151	Q14151:12:524-953	524	953	430	80
Q14152	Q14152:6:784-1382	784	1382	599	161
Q14157	Q14157:1:1-34	1	34	34	3
Q14157	Q14157:2:101-235	101	235	135	22
Q14160	Q14160:2:454-488	454	488	35	4
Q14160	Q14160:13:1275-1630	1275	1630	356	32
Q14185	Q14185:4:1731-1865	1731	1865	135	7
Q14191	Q14191:17:1413-1432	1413	1432	20	1
Q14194	Q14194:3:509-572	509	572	64	5
Q14195	Q14195:2:503-570	503	570	68	6
Q14203	Q14203:1:1-26	1	26	26	4
Q14204	Q14204:10:2390-2411	2390	2411	22	3
Q14247	Q14247:4:335-423	335	423	89	10
Q14320	Q14320:1:1-41	1	41	41	4
Q14320	Q14320:5:121-175	121	175	55	4
Q14444	Q14444:4:81-83	81	83	3	1
Q14444	Q14444:11:686-709	686	709	24	4
Q14493	Q14493:1:1-88	1	88	88	18
Q14498	Q14498:1:1-147	1	147	147	33
Q14566	Q14566:4:314-316	314	316	3	1
Q14671	Q14671:10:228-288	228	288	61	2
Q14674	Q14674:9:1299-1356	1299	1356	58	7
Q14676	Q14676:5:261-335	261	335	75	6
Q14676	Q14676:10:427-432	427	432	6	1
Q14676	Q14676:20:771-1882	771	1882	1112	93
Q14677	Q14677:22:537-541	537	541	5	1
Q14680	Q14680:3:461-493	461	493	33	2
Q14686	Q14686:5:191-624	191	624	434	10
Q14686	Q14686:7:660-698	660	698	39	1
Q14686	Q14686:14:898-1279	898	1279	382	16
Q14686	Q14686:31:1705-1820	1705	1820	116	4
Q14687	Q14687:2:130-178	130	178	49	5
Q14687	Q14687:4:201-205	201	205	5	1
Q14687	Q14687:5:232-235	232	235	4	1
Q14687	Q14687:9:323-394	323	394	72	23
Q14687	Q14687:12:415-470	415	470	56	3
Q14687	Q14687:18:685-693	685	693	9	1
Q14690	Q14690:1:1-68	1	68	68	4
Q14692	Q14692:2:394-565	394	565	172	7
Q14697	Q14697:5:943-944	943	944	2	1
Q14746	Q14746:1:1-9	1	9	9	1
Q14781	Q14781:4:239-248	239	248	10	1
Q14807	Q14807:1:1-18	1	18	18	3
Q14938	Q14938:8:342-343	342	343	2	1
Q14966	Q14966:1:1-49	1	49	49	10
Q14966	Q14966:20:354-376	354	376	23	1
Q14966	Q14966:36:1384-1471	1384	1471	88	4
Q14980	Q14980:55:1802-1805	1802	1805	4	2
Q14980	Q14980:58:1826-1856	1826	1856	31	2
Q14980	Q14980:59:1858-1869	1858	1869	12	1
Q14980	Q14980:64:1953-2115	1953	2115	163	18
Q14999	Q14999:5:315-359	315	359	45	8
Q149N8	Q149N8:1:1-49	1	49	49	7
Q14C86	Q14C86:21:887-1030	887	1030	144	18
Q14CM0	Q14CM0:18:1101-1149	1101	1149	49	3
Q15014	Q15014:1:1-100	1	100	100	10
Q15020	Q15020:6:880-911	880	911	32	4
Q15021	Q15021:7:575-611	575	611	37	2
Q15021	Q15021:11:1303-1401	1303	1401	99	11
Q15025	Q15025:17:601-636	601	636	36	3
Q15032	Q15032:24:900-907	900	907	8	1
Q15032	Q15032:27:924-937	924	937	14	1
Q15047	Q15047:5:404-554	404	554	151	6
Q15056	Q15056:1:1-36	1	36	36	4
Q15056	Q15056:2:121-248	121	248	128	20
Q15058	Q15058:27:1187-1189	1187	1189	3	3
Q15061	Q15061:3:410-445	410	445	36	2
Q15070	Q15070:4:393-435	393	435	43	2
Q15084	Q15084:1:139-153	139	153	15	2
Q15084	Q15084:3:407-427	407	427	21	2
Q15149	Q15149:13:1603-1650	1603	1650	48	10
Q15149	Q15149:20:1790-1843	1790	1843	54	7
Q15149	Q15149:40:2216-2309	2216	2309	94	13
Q15149	Q15149:66:4611-4684	4611	4684	74	7
Q15233	Q15233:3:330-375	330	375	46	10
Q15233	Q15233:4:393-471	393	471	79	6
Q15269	Q15269:4:235-269	235	269	35	3
Q15287	Q15287:1:1-160	1	160	160	24
Q15291	Q15291:6:400-538	400	538	139	3
Q15424	Q15424:1:1-30	1	30	30	2
Q15424	Q15424:9:220-404	220	404	185	7
Q15424	Q15424:10:485-641	485	641	157	20
Q15424	Q15424:11:663-720	663	720	58	20
Q15424	Q15424:12:730-915	730	915	186	32
Q15427	Q15427:2:182-424	182	424	243	12
Q15428	Q15428:1:1-28	1	28	28	4
Q15435	Q15435:1:1-69	1	69	69	4
Q15459	Q15459:6:527-585	527	585	59	1
Q15459	Q15459:7:663-699	663	699	37	1
Q15532	Q15532:1:1-13	1	13	13	2
Q15554	Q15554:1:1-86	1	86	86	15
Q15569	Q15569:1:1-42	1	42	42	5
Q15569	Q15569:2:324-376	324	376	53	6
Q15596	Q15596:9:419-531	419	531	113	4
Q15596	Q15596:16:868-883	868	883	16	2
Q15596	Q15596:26:1169-1182	1169	1182	14	3
Q15596	Q15596:27:1248-1261	1248	1261	14	3
Q15637	Q15637:7:324-639	324	639	316	4
Q15654	Q15654:1:1-93	1	93	93	7
Q15654	Q15654:2:102-171	102	171	70	5
Q15654	Q15654:3:175-255	175	255	81	8
Q15723	Q15723:6:338-349	338	349	12	1
Q15735	Q15735:1:1-58	1	58	58	5
Q15735	Q15735:2:60-419	60	419	360	19
Q15746	Q15746:6:284-395	284	395	112	9
Q16181	Q16181:3:372-437	372	437	66	6
Q16236	Q16236:10:333-449	333	449	117	2
Q16555	Q16555:2:511-572	511	572	62	5
Q16629	Q16629:2:89-104	89	104	16	4
Q16629	Q16629:3:120-238	120	238	119	42
Q16630	Q16630:6:166-411	166	411	246	15
Q16637	Q16637:1:1-26	1	26	26	2
Q16637	Q16637:3:152-228	152	228	77	2
Q16695	Q16695:1:1-43	1	43	43	6
Q16832	Q16832:1:446-475	446	475	30	2
Q17RY0	Q17RY0:4:16-64	16	64	49	1
Q17RY0	Q17RY0:7:216-329	216	329	114	6
Q1ED39	Q1ED39:9:336-357	336	357	22	2
Q1KMD3	Q1KMD3:2:38-225	38	225	188	10
Q1KMD3	Q1KMD3:4:626-668	626	668	43	11
Q1KMD3	Q1KMD3:8:745-747	745	747	3	1
Q1MSJ5	Q1MSJ5:21:618-655	618	655	38	5
Q1W6H9	Q1W6H9:2:51-95	51	95	45	6
Q27J81	Q27J81:3:991-1078	991	1078	88	8
Q2KHR3	Q2KHR3:30:1170-1291	1170	1291	122	5
Q2M1P5	Q2M1P5:8:586-663	586	663	78	11
Q2M1P5	Q2M1P5:21:1218-1238	1218	1238	21	3
Q2M2I8	Q2M2I8:2:325-497	325	497	173	5
Q2M3V2	Q2M3V2:7:512-549	512	549	38	4
Q2QGD7	Q2QGD7:1:1-128	1	128	128	10
Q2TAC6	Q2TAC6:12:792-919	792	919	128	14
Q2TBE0	Q2TBE0:1:1-148	1	148	148	10
Q32P44	Q32P44:1:1-20	1	20	20	1
Q32P44	Q32P44:2:46-209	46	209	164	12
Q32P51	Q32P51:3:183-216	183	216	34	4
Q3B7T1	Q3B7T1:3:619-648	619	648	30	1
Q3B8N2	Q3B8N2:4:169-190	169	190	22	5
Q3KP66	Q3KP66:1:1-69	1	69	69	9
Q3KP66	Q3KP66:5:378-427	378	427	50	10
Q3KP66	Q3KP66:9:444-494	444	494	51	2
Q3KP66	Q3KP66:13:566-579	566	579	14	2
Q3KR16	Q3KR16:4:59-94	59	94	36	5
Q3MIN7	Q3MIN7:6:596-609	596	609	14	1
Q3SX64	Q3SX64:9:267-289	267	289	23	4
Q49A26	Q49A26:2:91-192	91	192	102	13
Q49AM3	Q49AM3:6:249-297	249	297	49	5
Q49AM3	Q49AM3:11:457-458	457	458	2	1
Q4G0J3	Q4G0J3:2:206-368	206	368	163	13
Q4G0P3	Q4G0P3:20:2476-2567	2476	2567	92	15
Q4KMQ1	Q4KMQ1:3:132-310	132	310	179	19
Q4VCS5	Q4VCS5:1:1-104	1	104	104	6
Q4VCS5	Q4VCS5:4:182-424	182	424	243	11
Q52LW3	Q52LW3:12:979-1019	979	1019	41	4
Q53EL6	Q53EL6:3:57-128	57	128	72	11
Q53ET0	Q53ET0:2:85-117	85	117	33	6
Q53GA4	Q53GA4:2:111-152	111	152	42	5
Q53GS9	Q53GS9:1:1-67	1	67	67	15
Q53TS8	Q53TS8:44:1750-1787	1750	1787	38	4
Q58WW2	Q58WW2:1:1-7	1	7	7	1
Q58WW2	Q58WW2:2:288-347	288	347	60	12
Q58WW2	Q58WW2:3:352-492	352	492	141	6
Q5BKZ1	Q5BKZ1:13:122-137	122	137	16	1
Q5BKZ1	Q5BKZ1:14:141-150	141	150	10	2
Q5BKZ1	Q5BKZ1:15:152-210	152	210	59	6
Q5C9Z4	Q5C9Z4:2:52-186	52	186	135	22
Q5CZC0	Q5CZC0:1:238-243	238	243	6	3
Q5EBM0	Q5EBM0:2:9-10	9	10	2	1
Q5H9F3	Q5H9F3:32:1027-1043	1027	1043	17	3
Q5JRA6	Q5JRA6:26:1638-1843	1638	1843	206	17
Q5JRA6	Q5JRA6:27:1846-1907	1846	1907	62	4
Q5JSZ5	Q5JSZ5:3:289-306	289	306	18	1
Q5JSZ5	Q5JSZ5:14:779-791	779	791	13	1
Q5JSZ5	Q5JSZ5:17:1058-1067	1058	1067	10	3
Q5JSZ5	Q5JSZ5:19:1073-1089	1073	1089	17	2
Q5JSZ5	Q5JSZ5:20:1103-1530	1103	1530	428	56
Q5JSZ5	Q5JSZ5:43:2090-2229	2090	2229	140	7
Q5JT82	Q5JT82:19:366-389	366	389	24	1
Q5JTH9	Q5JTH9:5:1046-1265	1046	1265	220	18
Q5JU85	Q5JU85:3:100-294	100	294	195	21
Q5JVS0	Q5JVS0:2:163-210	163	210	48	10
Q5PRF9	Q5PRF9:4:576-645	576	645	70	6
Q5QGS0	Q5QGS0:29:1239-1253	1239	1253	15	1
Q5SQI0	Q5SQI0:4:293-294	293	294	2	1
Q5SQI0	Q5SQI0:6:305-421	305	421	117	12
Q5SSJ5	Q5SSJ5:2:21-154	21	154	134	4
Q5SW79	Q5SW79:17:368-449	368	449	82	6
Q5T0F9	Q5T0F9:1:1-20	1	20	20	3
Q5T1R4	Q5T1R4:44:2042-2113	2042	2113	72	7
Q5T1R4	Q5T1R4:48:2263-2406	2263	2406	144	16
Q5T200	Q5T200:2:65-158	65	158	94	14
Q5T200	Q5T200:3:179-1113	179	1113	935	185
Q5T200	Q5T200:4:1125-1493	1125	1493	369	61
Q5T2E6	Q5T2E6:1:1-10	1	10	10	1
Q5T3I0	Q5T3I0:6:182-446	182	446	265	30
Q5T440	Q5T440:2:11-15	11	15	5	1
Q5T5P2	Q5T5P2:1:1-87	1	87	87	10
Q5T5P2	Q5T5P2:35:1606-1943	1606	1943	338	16
Q5T5U3	Q5T5U3:16:566-583	566	583	18	3
Q5T5U3	Q5T5U3:17:600-644	600	644	45	3
Q5T5X7	Q5T5X7:4:88-126	88	126	39	3
Q5T6F2	Q5T6F2:2:104-203	104	203	100	16
Q5T8P6	Q5T8P6:22:852-885	852	885	34	9
Q5TC82	Q5TC82:11:593-611	593	611	19	1
Q5TC82	Q5TC82:19:729-752	729	752	24	3
Q5TDH0	Q5TDH0:2:96-132	96	132	37	2
Q5TGY3	Q5TGY3:3:145-170	145	170	26	2
Q5TGY3	Q5TGY3:20:669-684	669	684	16	1
Q5TGY3	Q5TGY3:42:1251-1296	1251	1296	46	5
Q5TH69	Q5TH69:16:1089-1106	1089	1106	18	4
Q5TH74	Q5TH74:1:1-60	1	60	60	4
Q5TZA2	Q5TZA2:12:460-520	460	520	61	9
Q5TZA2	Q5TZA2:47:1442-1515	1442	1515	74	6
Q5VT06	Q5VT06:13:293-308	293	308	16	1
Q5VT52	Q5VT52:18:1011-1126	1011	1126	116	9
Q5VT52	Q5VT52:19:1130-1322	1130	1322	193	4
Q5VT52	Q5VT52:21:1332-1461	1332	1461	130	16
Q5VTB9	Q5VTB9:12:193-210	193	210	18	3
Q5VU43	Q5VU43:43:1878-1890	1878	1890	13	2
Q5VUA4	Q5VUA4:1:1-141	1	141	141	31
Q5VUA4	Q5VUA4:26:823-857	823	857	35	4
Q5VUJ6	Q5VUJ6:14:565-636	565	636	72	6
Q5VV67	Q5VV67:6:372-377	372	377	6	1
Q5VWX1	Q5VWX1:2:178-266	178	266	89	14
Q5VWX1	Q5VWX1:3:322-349	322	349	28	5
Q5VZ89	Q5VZ89:15:1026-1047	1026	1047	22	3
Q5XG87	Q5XG87:3:91-191	91	191	101	8
Q5XG87	Q5XG87:13:734-792	734	792	59	7
Q5XUX0	Q5XUX0:2:10-47	10	47	38	7
Q5XXA6	Q5XXA6:2:950-986	950	986	37	1
Q63ZY3	Q63ZY3:6:237-265	237	265	29	3
Q641Q2	Q641Q2:4:200-410	200	410	211	11
Q641Q2	Q641Q2:22:1080-1208	1080	1208	129	5
Q659C4	Q659C4:1:1-173	1	173	173	26
Q659C4	Q659C4:4:300-304	300	304	5	1
Q66K74	Q66K74:5:746-942	746	942	197	16
Q68CQ4	Q68CQ4:1:1-187	1	187	187	6
Q68CZ2	Q68CZ2:11:615-697	615	697	83	5
Q68DC2	Q68DC2:10:563-663	563	663	101	9
Q68DK7	Q68DK7:1:1-129	1	129	129	7
Q68DQ2	Q68DQ2:1:1-125	1	125	125	11
Q68EM7	Q68EM7:2:511-881	511	881	371	15
Q69YH5	Q69YH5:8:90-98	90	98	9	2
Q69YH5	Q69YH5:30:802-832	802	832	31	6
Q69YN4	Q69YN4:13:1610-1812	1610	1812	203	30
Q6DT37	Q6DT37:14:1451-1551	1451	1551	101	10
Q6F5E8	Q6F5E8:7:1112-1435	1112	1435	324	35
Q6GQQ9	Q6GQQ9:7:642-720	642	720	79	6
Q6GQQ9	Q6GQQ9:8:731-795	731	795	65	6
Q6IBS0	Q6IBS0:2:322-349	322	349	28	3
Q6ICC9	Q6ICC9:3:181-200	181	200	20	6
Q6IN84	Q6IN84:4:310-353	310	353	44	4
Q6IQ22	Q6IQ22:1:1-38	1	38	38	6
Q6IQ23	Q6IQ23:14:997-1032	997	1032	36	3
Q6IQ49	Q6IQ49:2:179-211	179	211	33	5
Q6KC79	Q6KC79:4:127-344	127	344	218	10
Q6N021	Q6N021:25:686-779	686	779	94	2
Q6NTE8	Q6NTE8:3:126-178	126	178	53	5
Q6NTE8	Q6NTE8:7:226-325	226	325	100	11
Q6NUN9	Q6NUN9:10:594-623	594	623	30	1
Q6NV74	Q6NV74:4:241-874	241	874	634	57
Q6NWY9	Q6NWY9:11:690-871	690	871	182	18
Q6NXE6	Q6NXE6:5:494-501	494	501	8	1
Q6NXT4	Q6NXT4:4:444-461	444	461	18	3
Q6NY19	Q6NY19:5:215-334	215	334	120	16
Q6NYC8	Q6NYC8:2:15-28	15	28	14	4
Q6NZ36	Q6NZ36:1:1-29	1	29	29	8
Q6P087	Q6P087:4:349-351	349	351	3	1
Q6P0Q8	Q6P0Q8:10:906-1013	906	1013	108	11
Q6P158	Q6P158:1:1-74	1	74	74	9
Q6P1J9	Q6P1J9:5:322-356	322	356	35	3
Q6P1N0	Q6P1N0:1:1-22	1	22	22	3
Q6P2E9	Q6P2E9:18:1007-1017	1007	1017	11	2
Q6P2H3	Q6P2H3:9:199-217	199	217	19	3
Q6P2H3	Q6P2H3:11:258-279	258	279	22	1
Q6P2Q9	Q6P2Q9:1:1-20	1	20	20	1
Q6P6C2	Q6P6C2:4:293-367	293	367	75	11
Q6P996	Q6P996:4:684-788	684	788	105	6
Q6PCT2	Q6PCT2:2:152-422	152	422	271	29
Q6PGN9	Q6PGN9:3:227-363	227	363	137	15
Q6PID8	Q6PID8:1:1-58	1	58	58	7
Q6PIY7	Q6PIY7:3:72-98	72	98	27	5
Q6PJG2	Q6PJG2:6:167-179	167	179	13	2
Q6PJG2	Q6PJG2:8:223-320	223	320	98	2
Q6PJG2	Q6PJG2:9:327-463	327	463	137	15
Q6PKG0	Q6PKG0:1:1-358	1	358	358	28
Q6R327	Q6R327:1:1-9	1	9	9	2
Q6SPF0	Q6SPF0:2:100-243	100	243	144	12
Q6STE5	Q6STE5:2:26-107	26	107	82	9
Q6UB98	Q6UB98:21:866-1075	866	1075	210	10
Q6UN15	Q6UN15:1:1-116	1	116	116	2
Q6UN15	Q6UN15:4:328-594	328	594	267	43
Q6UUV7	Q6UUV7:5:80-91	80	91	12	2
Q6UUV9	Q6UUV9:6:82-136	82	136	55	9
Q6VN20	Q6VN20:4:477-501	477	501	25	3
Q6W2J9	Q6W2J9:5:169-174	169	174	6	1
Q6W2J9	Q6W2J9:11:300-348	300	348	49	3
Q6XPR3	Q6XPR3:2:90-221	90	221	132	14
Q6XZF7	Q6XZF7:8:483-511	483	511	29	2
Q6Y7W6	Q6Y7W6:3:106-131	106	131	26	7
Q6Y7W6	Q6Y7W6:4:146-196	146	196	51	9
