canonical_UniProtAC	substrate_genename	methyl_site_count	arginine_count	other_methyl	other_arg	odds_ratio	log2_odds_ratio	p_value	q_value	expected_global_rate	posterior_rate	shrinkage_log2_enrichment	binom_p_value	binom_q_value	protein_length	label
Q15435	PPP1R7	4	21	12841	642760	12.613736713000817	3.6569238200956686	0.0007265429873560855	0.006138520768172279	0.01998347804306599	0.03618414302539909	0.8565499034600664	0.0007268171486256936	0.006140837141293492	360	PPP1R7 (Q15435)
Q96L21	RPL10L	4	21	12841	642760	12.613736713000817	3.6569238200956686	0.0007265429873560855	0.006138520768172279	0.01998347804306599	0.03618414302539909	0.8565499034600664	0.0007268171486256936	0.006140837141293492	214	RPL10L (Q96L21)
Q9H8H0	NOL11	4	21	12841	642760	12.613736713000817	3.6569238200956686	0.0007265429873560855	0.006138520768172279	0.01998347804306599	0.03618414302539909	0.8565499034600664	0.0007268171486256936	0.006140837141293492	719	NOL11 (Q9H8H0)
Q9NVS9	PNPO	4	21	12841	642760	12.613736713000817	3.6569238200956686	0.0007265429873560855	0.006138520768172279	0.01998347804306599	0.03618414302539909	0.8565499034600664	0.0007268171486256936	0.006140837141293492	261	PNPO (Q9NVS9)
Q9NWB1	RBFOX1	4	21	12841	642760	12.613736713000817	3.6569238200956686	0.0007265429873560855	0.006138520768172279	0.01998347804306599	0.03618414302539909	0.8565499034600664	0.0007268171486256936	0.006140837141293492	397	RBFOX1 (Q9NWB1)
Q9UKM9	RALY	4	21	12841	642760	12.613736713000817	3.6569238200956686	0.0007265429873560855	0.006138520768172279	0.01998347804306599	0.03618414302539909	0.8565499034600664	0.0007268171486256936	0.006140837141293492	306	RALY (Q9UKM9)
O15164	TRIM24	5	49	12840	642732	6.062994589188264	2.6000305349318373	0.002924761847318048	0.019630674273117918	0.01998347804306599	0.036131307665113244	0.8544417695798674	0.00292624130377907	0.01964060421935071	1050	TRIM24 (O15164)
Q10571	MN1	5	49	12840	642732	6.062994589188264	2.6000305349318373	0.002924761847318048	0.019630674273117918	0.01998347804306599	0.036131307665113244	0.8544417695798674	0.00292624130377907	0.01964060421935071	1320	MN1 (Q10571)
Q14CX7	NAA25	5	49	12840	642732	6.062994589188264	2.6000305349318373	0.002924761847318048	0.019630674273117918	0.01998347804306599	0.036131307665113244	0.8544417695798674	0.00292624130377907	0.01964060421935071	972	NAA25 (Q14CX7)
Q9H307	PNN	6	77	12839	642704	4.459714163324117	2.156951246385556	0.004500760822924921	0.02751484227925694	0.01998347804306599	0.0360891538217083	0.8527576167376121	0.004503688967185438	0.0275327431255069	717	PNN (Q9H307)
O43488	AKR7A2	4	22	12841	642759	11.931894164927689	3.5767511811250916	0.0008739726320106998	0.00709677607617487	0.01998347804306599	0.03602115139014954	0.850036596501392	0.0008742984991547599	0.0070994221614952505	359	AKR7A2 (O43488)
O95628	CNOT4	4	22	12841	642759	11.931894164927689	3.5767511811250916	0.0008739726320106998	0.00709677607617487	0.01998347804306599	0.03602115139014954	0.850036596501392	0.0008742984991547599	0.0070994221614952505	575	CNOT4 (O95628)
P10809	HSPD1	4	22	12841	642759	11.931894164927689	3.5767511811250916	0.0008739726320106998	0.00709677607617487	0.01998347804306599	0.03602115139014954	0.850036596501392	0.0008742984991547599	0.0070994221614952505	573	HSPD1 (P10809)
P26641	EEF1G	4	22	12841	642759	11.931894164927689	3.5767511811250916	0.0008739726320106998	0.00709677607617487	0.01998347804306599	0.03602115139014954	0.850036596501392	0.0008742984991547599	0.0070994221614952505	437	EEF1G (P26641)
P62701	RPS4X	4	22	12841	642759	11.931894164927689	3.5767511811250916	0.0008739726320106998	0.00709677607617487	0.01998347804306599	0.03602115139014954	0.850036596501392	0.0008742984991547599	0.0070994221614952505	263	RPS4X (P62701)
Q13303	KCNAB2	4	22	12841	642759	11.931894164927689	3.5767511811250916	0.0008739726320106998	0.00709677607617487	0.01998347804306599	0.03602115139014954	0.850036596501392	0.0008742984991547599	0.0070994221614952505	367	KCNAB2 (Q13303)
Q15723	ELF2	4	22	12841	642759	11.931894164927689	3.5767511811250916	0.0008739726320106998	0.00709677607617487	0.01998347804306599	0.03602115139014954	0.850036596501392	0.0008742984991547599	0.0070994221614952505	593	ELF2 (Q15723)
Q9BRP4	PAAF1	4	22	12841	642759	11.931894164927689	3.5767511811250916	0.0008739726320106998	0.00709677607617487	0.01998347804306599	0.03602115139014954	0.850036596501392	0.0008742984991547599	0.0070994221614952505	392	PAAF1 (Q9BRP4)
Q9BUF5	TUBB6	4	22	12841	642759	11.931894164927689	3.5767511811250916	0.0008739726320106998	0.00709677607617487	0.01998347804306599	0.03602115139014954	0.850036596501392	0.0008742984991547599	0.0070994221614952505	446	TUBB6 (Q9BUF5)
Q9BXH1	BBC3	4	22	12841	642759	11.931894164927689	3.5767511811250916	0.0008739726320106998	0.00709677607617487	0.01998347804306599	0.03602115139014954	0.850036596501392	0.0008742984991547599	0.0070994221614952505	193	BBC3 (Q9BXH1)
Q9P035	PTPLAD1	4	22	12841	642759	11.931894164927689	3.5767511811250916	0.0008739726320106998	0.00709677607617487	0.01998347804306599	0.03602115139014954	0.850036596501392	0.0008742984991547599	0.0070994221614952505	362	PTPLAD1 (Q9P035)
P53992	SEC24C	5	50	12840	642731	5.929732546959291	2.567967035314773	0.003196873436903048	0.021073895087496877	0.01998347804306599	0.035986782434452795	0.8486594169858616	0.003198473846366548	0.02108444503944102	1094	SEC24C (P53992)
P50502	ST13	4	23	12841	642758	11.319984185887701	3.5008000376015636	0.001041270247379178	0.008356280797947617	0.01998347804306599	0.03585962156328788	0.8435525629311931	0.0010416538425430833	0.008359359181211131	369	ST13 (P50502)
Q8NBJ7	SUMF2	4	23	12841	642758	11.319984185887701	3.5008000376015636	0.001041270247379178	0.008356280797947617	0.01998347804306599	0.03585962156328788	0.8435525629311931	0.0010416538425430833	0.008359359181211131	301	SUMF2 (Q8NBJ7)
O00268	TAF4	5	51	12840	642730	5.802202205471348	2.536600574017036	0.003486738162406779	0.02258145268743608	0.01998347804306599	0.035843408799255766	0.8429001476971762	0.003488465574138361	0.022592640067867736	1085	TAF4 (O00268)
O75494	FUSIP1	5	51	12840	642730	5.802202205471348	2.536600574017036	0.003486738162406779	0.02258145268743608	0.01998347804306599	0.035843408799255766	0.8429001476971762	0.003488465574138361	0.022592640067867736	262	FUSIP1 (O75494)
Q96L91	EP400	9	164	12836	642617	2.9973432871973924	1.5836843258852153	0.0060386630264594255	0.034467659117659796	0.01998347804306599	0.03570520771597033	0.8373268109878209	0.0060456524038239	0.03447373509082334	3159	EP400 (Q96L91)
Q9P2R6	RERE	7	108	12838	642673	3.625000503603789	1.857981195554231	0.0061397515456212874	0.03474607036254311	0.01998347804306599	0.03570355717082207	0.8372601179619898	0.006144612018491468	0.034773576741439334	1566	RERE (Q9P2R6)
Q15569	TESK1	5	52	12840	642729	5.680041562572371	2.5059014864020814	0.0037949886900549112	0.024000632685975465	0.01998347804306599	0.035701173050052375	0.837163778148032	0.003796849210453423	0.02400231724571078	626	TESK1 (Q15569)
P43686	PSMC4	4	24	12841	642757	10.767772741388201	3.428647961551863	0.0012298188983879436	0.009550001445572397	0.01998347804306599	0.0356995339670232	0.8370975407938938	0.001230266494335167	0.009553477194683602	418	PSMC4 (P43686)
Q969G3	SMARCE1	4	24	12841	642757	10.767772741388201	3.428647961551863	0.0012298188983879436	0.009550001445572397	0.01998347804306599	0.0356995339670232	0.8370975407938938	0.001230266494335167	0.009553477194683602	411	SMARCE1 (Q969G3)
Q9BYG3	NIFK	4	24	12841	642757	10.767772741388201	3.428647961551863	0.0012298188983879436	0.009550001445572397	0.01998347804306599	0.0356995339670232	0.8370975407938938	0.001230266494335167	0.009553477194683602	293	NIFK (Q9BYG3)
P33176	KIF5B	5	53	12840	642728	5.562918471957888	2.4758419621502274	0.004122255575174054	0.02559211449580891	0.01998347804306599	0.03556006169412331	0.8314501269536382	0.004124255357367499	0.02560452970246653	963	KIF5B (P33176)
Q13573	SNW1	5	53	12840	642728	5.562918471957888	2.4758419621502274	0.004122255575174054	0.02559211449580891	0.01998347804306599	0.03556006169412331	0.8314501269536382	0.004124255357367499	0.02560452970246653	536	SNW1 (Q13573)
Q9NWB6	ARGLU1	5	53	12840	642728	5.562918471957888	2.4758419621502274	0.004122255575174054	0.02559211449580891	0.01998347804306599	0.03556006169412331	0.8314501269536382	0.004124255357367499	0.02560452970246653	273	ARGLU1 (Q9NWB6)
P48643	CCT5	4	25	12841	642756	10.26692980335377	3.3599329211703473	0.0014409981276765	0.010994197161716254	0.01998347804306599	0.035540869371614214	0.8306712716344609	0.0014415162257709966	0.010998150027782214	541	CCT5 (P48643)
Q06587	RING1	4	25	12841	642756	10.26692980335377	3.3599329211703473	0.0014409981276765	0.010994197161716254	0.01998347804306599	0.035540869371614214	0.8306712716344609	0.0014415162257709966	0.010998150027782214	406	RING1 (Q06587)
Q14320	FAM50A	4	25	12841	642756	10.26692980335377	3.3599329211703473	0.0014409981276765	0.010994197161716254	0.01998347804306599	0.035540869371614214	0.8306712716344609	0.0014415162257709966	0.010998150027782214	339	FAM50A (Q14320)
Q8IVB5	LIX1L	4	25	12841	642756	10.26692980335377	3.3599329211703473	0.0014409981276765	0.010994197161716254	0.01998347804306599	0.035540869371614214	0.8306712716344609	0.0014415162257709966	0.010998150027782214	337	LIX1L (Q8IVB5)
Q8N726	CDKN2A	4	25	12841	642756	10.26692980335377	3.3599329211703473	0.0014409981276765	0.010994197161716254	0.01998347804306599	0.035540869371614214	0.8306712716344609	0.0014415162257709966	0.010998150027782214	132	CDKN2A (Q8N726)
Q9UNE7	STUB1	4	25	12841	642756	10.26692980335377	3.3599329211703473	0.0014409981276765	0.010994197161716254	0.01998347804306599	0.035540869371614214	0.8306712716344609	0.0014415162257709966	0.010998150027782214	303	STUB1 (Q9UNE7)
A6NED2	RCCD1	4	26	12841	642755	9.810606237589067	3.2943422892416327	0.0016761802687477393	0.012337406610000616	0.01998347804306599	0.03538360888766902	0.8242735004363102	0.0016767755747097235	0.012341788317533684	376	RCCD1 (A6NED2)
O00165	HAX1	4	26	12841	642755	9.810606237589067	3.2943422892416327	0.0016761802687477393	0.012337406610000616	0.01998347804306599	0.03538360888766902	0.8242735004363102	0.0016767755747097235	0.012341788317533684	279	HAX1 (O00165)
P36871	PGM1	4	26	12841	642755	9.810606237589067	3.2943422892416327	0.0016761802687477393	0.012337406610000616	0.01998347804306599	0.03538360888766902	0.8242735004363102	0.0016767755747097235	0.012341788317533684	562	PGM1 (P36871)
P50749	RASSF2	4	26	12841	642755	9.810606237589067	3.2943422892416327	0.0016761802687477393	0.012337406610000616	0.01998347804306599	0.03538360888766902	0.8242735004363102	0.0016767755747097235	0.012341788317533684	326	RASSF2 (P50749)
Q96LB3	IFT74	4	26	12841	642755	9.810606237589067	3.2943422892416327	0.0016761802687477393	0.012337406610000616	0.01998347804306599	0.03538360888766902	0.8242735004363102	0.0016767755747097235	0.012341788317533684	600	IFT74 (Q96LB3)
Q9BTV4	TMEM43	4	26	12841	642755	9.810606237589067	3.2943422892416327	0.0016761802687477393	0.012337406610000616	0.01998347804306599	0.03538360888766902	0.8242735004363102	0.0016767755747097235	0.012341788317533684	400	TMEM43 (Q9BTV4)
O95104	SCAF4	6	83	12839	642698	4.114406776467278	2.040684434937483	0.006480082082485427	0.03658578107511479	0.01998347804306599	0.035324012751283385	0.821841539954918	0.00648406973506477	0.036608294892442154	1147	SCAF4 (O95104)
Q96EK7	FAM120B	5	55	12840	642726	5.342587905455395	2.417538740783303	0.0048363454822070604	0.029268123542385477	0.01998347804306599	0.03528115924946352	0.8200902647890903	0.0048386423753614075	0.029282023656190915	910	FAM120B (Q96EK7)
Q9H6K5	PRR36	5	55	12840	642726	5.342587905455395	2.417538740783303	0.0048363454822070604	0.029268123542385477	0.01998347804306599	0.03528115924946352	0.8200902647890903	0.0048386423753614075	0.029282023656190915	1346	PRR36 (Q9H6K5)
O94992	HEXIM1	4	27	12841	642754	9.39311871997455	3.231604243588897	0.0019367270117653208	0.013979981216738987	0.01998347804306599	0.03522773395864845	0.817903975560583	0.0019374064126020858	0.013982710906940725	359	HEXIM1 (O94992)
P02768	ALB	4	27	12841	642754	9.39311871997455	3.231604243588897	0.0019367270117653208	0.013979981216738987	0.01998347804306599	0.03522773395864845	0.817903975560583	0.0019374064126020858	0.013982710906940725	609	ALB (P02768)
P17987	TCP1	4	27	12841	642754	9.39311871997455	3.231604243588897	0.0019367270117653208	0.013979981216738987	0.01998347804306599	0.03522773395864845	0.817903975560583	0.0019374064126020858	0.013982710906940725	556	TCP1 (P17987)
P18124	RPL7	4	27	12841	642754	9.39311871997455	3.231604243588897	0.0019367270117653208	0.013979981216738987	0.01998347804306599	0.03522773395864845	0.817903975560583	0.0019374064126020858	0.013982710906940725	248	RPL7 (P18124)
Q14240	EIF4A2	4	27	12841	642754	9.39311871997455	3.231604243588897	0.0019367270117653208	0.013979981216738987	0.01998347804306599	0.03522773395864845	0.817903975560583	0.0019374064126020858	0.013982710906940725	407	EIF4A2 (Q14240)
Q96PV6	LENG8	5	56	12840	642725	5.238840017344998	2.3892474059452966	0.005224412223936493	0.030687826514897466	0.01998347804306599	0.035143342221145304	0.8144437016479483	0.005226867000867194	0.030702245700320274	800	LENG8 (Q96PV6)
Q7Z460	CLASP1	7	113	12838	642668	3.4547852602235682	1.7885960395169738	0.00780999023154598	0.04243611046442559	0.01998347804306599	0.03513321280707092	0.814027811724273	0.00781591870216426	0.042438920800910905	1538	CLASP1 (Q7Z460)
Q6U949	IGF2	4	28	12841	642753	9.009711816042852	3.171480960842917	0.002223986216857244	0.01562651516061188	0.01998347804306599	0.03507322635356666	0.8115624486867564	0.0022247567557763313	0.015631929240074106	168	IGF2 (Q6U949)
Q99615	DNAJC7	4	28	12841	642753	9.009711816042852	3.171480960842917	0.002223986216857244	0.01562651516061188	0.01998347804306599	0.03507322635356666	0.8115624486867564	0.0022247567557763313	0.015631929240074106	494	DNAJC7 (Q99615)
Q9BY77	POLDIP3	4	28	12841	642753	9.009711816042852	3.171480960842917	0.002223986216857244	0.01562651516061188	0.01998347804306599	0.03507322635356666	0.8115624486867564	0.0022247567557763313	0.015631929240074106	421	POLDIP3 (Q9BY77)
Q9P2K3	RCOR3	4	28	12841	642753	9.009711816042852	3.171480960842917	0.002223986216857244	0.01562651516061188	0.01998347804306599	0.03507322635356666	0.8115624486867564	0.0022247567557763313	0.015631929240074106	495	RCOR3 (Q9P2K3)
P22083	FUT4	5	57	12840	642724	5.139044429734045	2.361500125052173	0.005633981320925681	0.032670005028803684	0.01998347804306599	0.03500659769888404	0.8088191524540703	0.005636600205572373	0.03267223297377839	530	FUT4 (P22083)
P52701	MSH6	6	86	12839	642695	3.9610559804407934	1.9858850905718988	0.007677002355897904	0.04229843203898283	0.01998347804306599	0.0349534811489972	0.806628446008411	0.007681594249655327	0.042323732266470626	1360	MSH6 (P52701)
Q9H3S7	PTPN23	6	86	12839	642695	3.9610559804407934	1.9858850905718988	0.007677002355897904	0.04229843203898283	0.01998347804306599	0.0349534811489972	0.806628446008411	0.007681594249655327	0.042323732266470626	1636	PTPN23 (Q9H3S7)
Q15008	PSMD6	4	29	12841	642752	8.656376041831287	3.113763172674585	0.0025392889581014847	0.017309726860694638	0.01998347804306599	0.03492006815988296	0.8052486747545539	0.0025401578097451775	0.017315649615010094	389	PSMD6 (Q15008)
Q9BPU6	DPYSL5	4	29	12841	642752	8.656376041831287	3.113763172674585	0.0025392889581014847	0.017309726860694638	0.01998347804306599	0.03492006815988296	0.8052486747545539	0.0025401578097451775	0.017315649615010094	564	DPYSL5 (Q9BPU6)
Q14807	KIF22	5	58	12840	642723	5.042979518295463	2.3342763659032935	0.006065661617274081	0.034467659117659796	0.01998347804306599	0.03487091321167906	0.8032164462246942	0.006068450822208397	0.03447373509082334	665	KIF22 (Q14807)
Q16629	SRSF7	5	58	12840	642723	5.042979518295463	2.3342763659032935	0.006065661617274081	0.034467659117659796	0.01998347804306599	0.03487091321167906	0.8032164462246942	0.006068450822208397	0.03447373509082334	238	SRSF7 (Q16629)
O15067	PFAS	6	87	12839	642694	3.912447854910926	1.968071523939763	0.008109143556889643	0.04352995517842662	0.01998347804306599	0.03483169201607386	0.8015928561111128	0.008113947792527878	0.043555744358323586	1338	PFAS (O15067)
P01889	HLA-B	4	30	12841	642751	8.329707118503613	3.0582657697672	0.002883946790388902	0.019438287425669016	0.01998347804306599	0.03476824177657912	0.7989624119071226	0.0028849212356694427	0.01944485535109221	362	HLA-B (P01889)
P13646	KRT13	4	30	12841	642751	8.329707118503613	3.0582657697672	0.002883946790388902	0.019438287425669016	0.01998347804306599	0.03476824177657912	0.7989624119071226	0.0028849212356694427	0.01944485535109221	458	KRT13 (P13646)
P29372	MPG	4	30	12841	642751	8.329707118503613	3.0582657697672	0.002883946790388902	0.019438287425669016	0.01998347804306599	0.03476824177657912	0.7989624119071226	0.0028849212356694427	0.01944485535109221	298	MPG (P29372)
Q04724	TLE1	4	30	12841	642751	8.329707118503613	3.0582657697672	0.002883946790388902	0.019438287425669016	0.01998347804306599	0.03476824177657912	0.7989624119071226	0.0028849212356694427	0.01944485535109221	770	TLE1 (Q04724)
Q8NF64	ZMIZ2	4	30	12841	642751	8.329707118503613	3.0582657697672	0.002883946790388902	0.019438287425669016	0.01998347804306599	0.03476824177657912	0.7989624119071226	0.0028849212356694427	0.01944485535109221	920	ZMIZ2 (Q8NF64)
Q969S3	ZNF622	4	30	12841	642751	8.329707118503613	3.0582657697672	0.002883946790388902	0.019438287425669016	0.01998347804306599	0.03476824177657912	0.7989624119071226	0.0028849212356694427	0.01944485535109221	477	ZNF622 (Q969S3)
Q63ZY3	KANK2	5	59	12840	642722	4.9504399247078394	2.3075567371100223	0.006520055530471323	0.03663904741303499	0.01998347804306599	0.03473627648113204	0.7976354139613946	0.006523021245923113	0.03665571306696138	851	KANK2 (Q63ZY3)
Q86XP3	DDX42	5	59	12840	642722	4.9504399247078394	2.3075567371100223	0.006520055530471323	0.03663904741303499	0.01998347804306599	0.03473627648113204	0.7976354139613946	0.006523021245923113	0.03665571306696138	938	DDX42 (Q86XP3)
Q96DN6	MBD6	5	59	12840	642722	4.9504399247078394	2.3075567371100223	0.006520055530471323	0.03663904741303499	0.01998347804306599	0.03473627648113204	0.7976354139613946	0.006523021245923113	0.03665571306696138	1003	MBD6 (Q96DN6)
Q9NTJ3	SMC4	5	59	12840	642722	4.9504399247078394	2.3075567371100223	0.006520055530471323	0.03663904741303499	0.01998347804306599	0.03473627648113204	0.7976354139613946	0.006523021245923113	0.03665571306696138	1288	SMC4 (Q9NTJ3)
Q8IWZ3	ANKHD1	6	88	12839	642693	3.8650181081817827	1.9504751734057135	0.008558475620806952	0.04558504384489741	0.01998347804306599	0.03471074864101805	0.796574781344488	0.008563497603927018	0.045611792454212825	2542	ANKHD1 (Q8IWZ3)
P0DMV8	HSPA1B	4	31	12841	642750	8.026795935054317	3.004824220486423	0.003259249227594303	0.021280458562210964	0.01998347804306599	0.03461772990741644	0.7927034214354404	0.0032603366285275047	0.021287558476603394	641	HSPA1B (P0DMV8)
P34931	HSPA1L	4	31	12841	642750	8.026795935054317	3.004824220486423	0.003259249227594303	0.021280458562210964	0.01998347804306599	0.03461772990741644	0.7927034214354404	0.0032603366285275047	0.021287558476603394	641	HSPA1L (P34931)
P51570	GALK1	4	31	12841	642750	8.026795935054317	3.004824220486423	0.003259249227594303	0.021280458562210964	0.01998347804306599	0.03461772990741644	0.7927034214354404	0.0032603366285275047	0.021287558476603394	392	GALK1 (P51570)
P84098	RPL19	4	31	12841	642750	8.026795935054317	3.004824220486423	0.003259249227594303	0.021280458562210964	0.01998347804306599	0.03461772990741644	0.7927034214354404	0.0032603366285275047	0.021287558476603394	196	RPL19 (P84098)
Q15637	SF1	4	31	12841	642750	8.026795935054317	3.004824220486423	0.003259249227594303	0.021280458562210964	0.01998347804306599	0.03461772990741644	0.7927034214354404	0.0032603366285275047	0.021287558476603394	639	SF1 (Q15637)
Q96PZ0	PUS7	4	31	12841	642750	8.026795935054317	3.004824220486423	0.003259249227594303	0.021280458562210964	0.01998347804306599	0.03461772990741644	0.7927034214354404	0.0032603366285275047	0.021287558476603394	661	PUS7 (Q96PZ0)
P33992	MCM5	5	60	12840	642721	4.861235091249498	2.2813229051157147	0.0069977584110514175	0.03903104126862308	0.01998347804306599	0.03460267541774307	0.7920758886194939	0.0070009067916025555	0.03903780166401288	734	MCM5 (P33992)
Q9Y2H5	PLEKHA6	6	89	12839	642692	3.8187244032904633	1.933090804654529	0.009025358889922902	0.047859334047226525	0.01998347804306599	0.03459064224433633	0.7915741002861216	0.009030603981637995	0.04788714752252015	1048	PLEKHA6 (Q9Y2H5)
Q01804	OTUD4	5	61	12840	642720	4.775187951010922	2.255557518625869	0.0074993579183923	0.04146246388290858	0.01998347804306599	0.034470098117291945	0.7865377050780638	0.0075026950741421405	0.041480914355769734	1114	OTUD4 (Q01804)
P54652	HSPA2	4	32	12841	642749	7.7451416767593555	2.953291629523388	0.0036664614224447543	0.02330487416829641	0.01998347804306599	0.03446851555436723	0.7864714677239257	0.0036676691969394146	0.023309200837053675	639	HSPA2 (P54652)
Q01196	RUNX1	4	32	12841	642749	7.7451416767593555	2.953291629523388	0.0036664614224447543	0.02330487416829641	0.01998347804306599	0.03446851555436723	0.7864714677239257	0.0036676691969394146	0.023309200837053675	453	RUNX1 (Q01196)
Q01546	KRT76	4	32	12841	642749	7.7451416767593555	2.953291629523388	0.0036664614224447543	0.02330487416829641	0.01998347804306599	0.03446851555436723	0.7864714677239257	0.0036676691969394146	0.023309200837053675	638	KRT76 (Q01546)
Q13761	RUNX3	4	32	12841	642749	7.7451416767593555	2.953291629523388	0.0036664614224447543	0.02330487416829641	0.01998347804306599	0.03446851555436723	0.7864714677239257	0.0036676691969394146	0.023309200837053675	415	RUNX3 (Q13761)
Q6PID8	KLHDC10	4	32	12841	642749	7.7451416767593555	2.953291629523388	0.0036664614224447543	0.02330487416829641	0.01998347804306599	0.03446851555436723	0.7864714677239257	0.0036676691969394146	0.023309200837053675	442	KLHDC10 (Q6PID8)
Q8IXS8	FAM126B	4	32	12841	642749	7.7451416767593555	2.953291629523388	0.0036664614224447543	0.02330487416829641	0.01998347804306599	0.03446851555436723	0.7864714677239257	0.0036676691969394146	0.023309200837053675	530	FAM126B (Q8IXS8)
Q96I25	RBM17	4	32	12841	642749	7.7451416767593555	2.953291629523388	0.0036664614224447543	0.02330487416829641	0.01998347804306599	0.03446851555436723	0.7864714677239257	0.0036676691969394146	0.023309200837053675	401	RBM17 (Q96I25)
O15047	SETD1A	7	120	12838	642661	3.2416787748990807	1.6967411381039152	0.010681312501345989	0.0544735586545796	0.01998347804306599	0.034364673776916245	0.7821185637695289	0.010688946328938865	0.054512490364056976	1707	SETD1A (O15047)
O14979	HNRPDL	4	33	12841	642748	7.482582622416595	2.9035363039996995	0.004106822038052093	0.02559211449580891	0.01998347804306599	0.03432058201121544	0.7802663181972176	0.004108157634980598	0.02560395907827518	420	HNRPDL (O14979)
Q9Y230	RUVBL2	4	33	12841	642748	7.482582622416595	2.9035363039996995	0.004106822038052093	0.02559211449580891	0.01998347804306599	0.03432058201121544	0.7802663181972176	0.004108157634980598	0.02560395907827518	463	RUVBL2 (Q9Y230)
P22102	GART	4	34	12841	642747	7.237240555243853	2.85543972546843	0.004581541302771445	0.027796228460177198	0.01998347804306599	0.03417391285732136	0.7740877432680934	0.0045830121766930985	0.027805152257838407	1010	GART (P22102)
P51608	MECP2	4	34	12841	642747	7.237240555243853	2.85543972546843	0.004581541302771445	0.027796228460177198	0.01998347804306599	0.03417391285732136	0.7740877432680934	0.0045830121766930985	0.027805152257838407	486	MECP2 (P51608)
Q8IVW6	ARID3B	4	34	12841	642747	7.237240555243853	2.85543972546843	0.004581541302771445	0.027796228460177198	0.01998347804306599	0.03417391285732136	0.7740877432680934	0.0045830121766930985	0.027805152257838407	561	ARID3B (Q8IVW6)
Q8IWZ8	SUGP1	4	34	12841	642747	7.237240555243853	2.85543972546843	0.004581541302771445	0.027796228460177198	0.01998347804306599	0.03417391285732136	0.7740877432680934	0.0045830121766930985	0.027805152257838407	645	SUGP1 (Q8IWZ8)
Q99933	BAG1	4	34	12841	642747	7.237240555243853	2.85543972546843	0.004581541302771445	0.027796228460177198	0.01998347804306599	0.03417391285732136	0.7740877432680934	0.0045830121766930985	0.027805152257838407	345	BAG1 (Q99933)
Q8TER5	ARHGEF40	7	122	12838	642659	3.185535693422129	1.6715360027037598	0.011626290983492542	0.058901323217198626	0.01998347804306599	0.03415122859817763	0.7731297805422743	0.011634455606664106	0.05893391864373399	1519	ARHGEF40 (Q8TER5)
P21333	FLNA	6	93	12839	642688	3.6441310019860587	1.8655748231680944	0.011075502708973535	0.056244801587686764	0.01998347804306599	0.034118415046461424	0.7717429283645525	0.011081692669489421	0.056276236106751046	2647	FLNA (P21333)
Q15788	NCOA1	5	64	12840	642717	4.534400575385328	2.1809118464370028	0.009153285119018537	0.04848412283241717	0.01998347804306599	0.034078392456868174	0.7700495822894948	0.009157224628141756	0.04850499005568685	1441	NCOA1 (Q15788)
Q9HCD6	TANC2	7	123	12838	642658	3.158187024977347	1.6590966088225751	0.012120762471954236	0.06059118656552956	0.01998347804306599	0.03404549724028854	0.7686563039629666	0.0121291994861881	0.060633362848142386	1990	TANC2 (Q9HCD6)
P07196	NEFL	4	35	12841	642746	7.007475762177315	2.808894849197539	0.005091799236171564	0.030579155602148092	0.01998347804306599	0.034028491951545524	0.7679355162864981	0.005093412824362599	0.030584640894676586	543	NEFL (P07196)
P35368	ADRA1B	4	35	12841	642746	7.007475762177315	2.808894849197539	0.005091799236171564	0.030579155602148092	0.01998347804306599	0.034028491951545524	0.7679355162864981	0.005093412824362599	0.030584640894676586	520	ADRA1B (P35368)
P49915	GMPS	4	35	12841	642746	7.007475762177315	2.808894849197539	0.005091799236171564	0.030579155602148092	0.01998347804306599	0.034028491951545524	0.7679355162864981	0.005093412824362599	0.030584640894676586	693	GMPS (P49915)
P58004	SESN2	4	35	12841	642746	7.007475762177315	2.808894849197539	0.005091799236171564	0.030579155602148092	0.01998347804306599	0.034028491951545524	0.7679355162864981	0.005093412824362599	0.030584640894676586	480	SESN2 (P58004)
Q8ND24	RNF214	4	35	12841	642746	7.007475762177315	2.808894849197539	0.005091799236171564	0.030579155602148092	0.01998347804306599	0.034028491951545524	0.7679355162864981	0.005093412824362599	0.030584640894676586	703	RNF214 (Q8ND24)
Q9Y3T6	R3HCC1	4	35	12841	642746	7.007475762177315	2.808894849197539	0.005091799236171564	0.030579155602148092	0.01998347804306599	0.034028491951545524	0.7679355162864981	0.005093412824362599	0.030584640894676586	440	R3HCC1 (Q9Y3T6)
Q9UPT8	ZC3H4	6	94	12839	642687	3.6029486601529577	1.8491780943762948	0.011635435384435152	0.058901323217198626	0.01998347804306599	0.03400236601569115	0.766827437950436	0.011641874322621343	0.05893391864373399	1303	ZC3H4 (Q9UPT8)
P54259	ATN1	5	65	12840	642716	4.459444725672676	2.1568640820310425	0.009756173581616177	0.05105766305144606	0.01998347804306599	0.033949794749483765	0.7645951521973868	0.0097603256193532	0.05107939219986478	1190	ATN1 (P54259)
P0CG12	DERPC	4	36	12841	642745	6.791850340991797	2.7638046693315044	0.005638744045628343	0.032670005028803684	0.01998347804306599	0.03388430342632711	0.7618094134896566	0.005640507741977495	0.03267223297377839	524	DERPC (P0CG12)
Q6PK04	CCDC137	4	36	12841	642745	6.791850340991797	2.7638046693315044	0.005638744045628343	0.032670005028803684	0.01998347804306599	0.03388430342632711	0.7618094134896566	0.005640507741977495	0.03267223297377839	289	CCDC137 (Q6PK04)
