canonical_UniProtAC	methyl_site_count	nearest_distance_min	nearest_distance_median	max_methyl_sites_in_3aa_window	max_methyl_sites_in_5aa_window	max_methyl_sites_in_10aa_window	max_methyl_sites_in_20aa_window	max_methyl_sites_in_50aa_window	gene
Q8WUM0	6	7.0	8.0	1	1	2	2	4	NUP133
Q8WWI1	6	7.0	102.0	1	1	2	2	2	LMO7
Q9C0K0	6	7.0	26.5	1	1	2	2	3	BCL11B
Q8N3J3	6	8.0	10.0	1	1	2	2	3	HROB
P54136	6	9.0	36.5	1	1	2	3	3	RARS
Q9Y2H5	6	9.0	11.0	1	1	2	2	3	PLEKHA6
Q96GM5	6	10.0	11.5	1	1	2	2	4	SMARCD1
O00567	6	11.0	17.0	1	1	1	2	2	NOP56
P0DMV8	6	11.0	45.5	1	1	1	2	2	HSPA1A
P63261	6	11.0	35.5	1	1	1	2	3	ACTB
Q96JM3	6	11.0	32.0	1	1	1	2	3	CHAMP1
Q9ULL5	6	11.0	179.0	1	1	1	2	2	PRR12
P22392	6	12.0	16.0	1	1	1	2	3	NME2
P55786	6	12.0	36.0	1	1	1	2	2	NPEPPS
P17812	6	13.0	90.5	1	1	1	2	2	CTPS
Q92997	6	13.0	59.0	1	1	1	2	2	DVL3
Q9P270	6	13.0	14.0	1	1	1	2	2	SLAIN2
P12956	6	14.0	17.0	1	1	1	2	3	XRCC6
P54577	6	14.0	30.0	1	1	1	2	3	YARS
Q7Z406	6	21.0	282.0	1	1	1	1	2	MYH14
Q92900	6	21.0	53.5	1	1	1	1	2	UPF1
P21281	6	23.0	41.5	1	1	1	1	2	ATP6V1B2
Q8ND83	6	25.0	54.5	1	1	1	1	2	SLAIN1
Q9NWH9	6	26.0	29.0	1	1	1	1	2	SLTM
P06737	6	27.0	45.0	1	1	1	1	2	PYGL
Q96RK0	6	27.0	71.0	1	1	1	1	2	CIC
Q14839	6	31.0	68.0	1	1	1	1	2	CHD4
Q05639	6	32.0	32.0	1	1	1	1	2	EEF1A2
Q8IWZ3	6	33.0	37.0	1	1	1	1	2	ANKHD1
P35908	6	34.0	49.0	1	1	1	1	2	KRT2
P42166	6	36.0	43.0	1	1	1	1	2	TMPO
Q09028	6	37.0	40.0	1	1	1	1	2	RBBP4
Q14008	6	72.0	305.5	1	1	1	1	1	CKAP5
O00541	5	1.0	24.0	2	2	2	2	2	PES1
O14818	5	1.0	6.0	2	2	2	2	4	PSMA7
O43497	5	1.0	3.0	2	3	4	4	4	CACNA1G
O43663	5	1.0	32.0	2	2	2	2	2	PRC1
O43709	5	1.0	3.0	2	3	4	4	4	WBSCR22
O60763	5	1.0	10.0	2	2	2	3	4	USO1
O95602	5	1.0	2.0	2	2	2	2	2	POLR1A
P08133	5	1.0	139.0	2	2	2	2	2	ANXA6
P23396	5	1.0	2.0	3	3	3	3	5	RPS3
P33992	5	1.0	29.0	2	2	2	2	3	MCM5
P61081	5	1.0	3.0	2	2	3	4	4	UBE2M
P62424	5	1.0	5.0	2	2	3	4	4	RPL7A
P62753	5	1.0	22.0	2	2	2	2	3	RPS6
P62917	5	1.0	15.0	2	2	2	3	3	RPL8
Q13200	5	1.0	57.0	2	2	2	2	2	PSMD2
Q13620	5	1.0	10.0	2	2	2	2	3	CUL4B
Q14807	5	1.0	15.0	2	2	2	2	2	KIF22
Q14974	5	1.0	1.0	2	2	2	2	2	KPNB1
Q14CX7	5	1.0	9.0	2	2	3	3	3	NAA25
Q16513	5	1.0	31.0	2	2	2	2	3	PKN2
Q5PRF9	5	1.0	13.0	2	2	2	2	4	SAMD4B
Q7LBC6	5	1.0	212.0	2	2	2	2	2	KDM3B
Q8TAE8	5	1.0	4.0	2	3	3	3	4	GADD45GIP1
Q92530	5	1.0	5.0	2	2	3	4	5	PSMF1
Q92785	5	1.0	14.0	2	2	2	3	4	DPF2
Q96CT7	5	1.0	4.0	2	3	3	3	3	CCDC124
Q9C073	5	1.0	7.0	2	2	3	4	4	FAM117A
Q9H773	5	1.0	9.0	2	2	3	3	4	DCTPP1
Q9NVW2	5	1.0	4.0	2	3	3	3	3	RLIM
Q9UNZ2	5	1.0	8.0	2	2	3	3	4	NSFL1C
O00401	5	2.0	10.0	2	2	2	2	4	WASL
O15534	5	2.0	15.0	2	2	2	3	3	PER1
O95900	5	2.0	4.0	2	2	2	3	3	TRUB2
P12236	5	2.0	15.0	2	2	2	3	3	SLC25A6
P14174	5	2.0	5.0	2	2	3	4	4	MIF
P14868	5	2.0	4.0	2	2	2	3	4	DARS
P19174	5	2.0	3.0	2	2	2	3	4	PLCG1
P20929	5	2.0	927.0	2	2	2	2	2	NEB
P30041	5	2.0	2.0	2	2	2	2	3	PRDX6
P31150	5	2.0	33.0	2	2	2	2	3	GDI1
P38432	5	2.0	4.0	2	2	2	2	4	COIL
P46783	5	2.0	5.0	2	2	3	3	5	RPS10
P49721	5	2.0	7.0	2	2	3	3	4	PSMB2
P58340	5	2.0	4.0	2	2	2	2	4	MLF1
Q10571	5	2.0	2.0	2	3	3	3	3	MN1
Q15569	5	2.0	5.0	2	2	3	3	3	TESK1
Q63ZY3	5	2.0	6.0	2	2	2	3	3	KANK2
Q8N9B5	5	2.0	22.0	2	2	2	2	3	JMY
Q92734	5	2.0	15.0	2	2	2	3	3	TFG
Q96HR8	5	2.0	3.0	2	3	4	5	5	NAF1
Q96MS0	5	2.0	2.0	2	3	3	3	4	ROBO3
Q96PV6	5	2.0	8.0	2	2	2	4	4	LENG8
Q9BST9	5	2.0	5.0	2	2	2	3	3	RTKN
Q9H3H3	5	2.0	5.0	2	2	3	4	4	C11orf68
Q9UMY4	5	2.0	33.0	2	2	2	2	3	SNX12
O00192	5	3.0	5.0	2	2	3	3	4	ARVCF
O43464	5	3.0	7.0	2	2	3	3	3	HTRA2
P62913	5	3.0	20.0	2	2	2	2	3	RPL11
Q13547	5	3.0	41.0	2	2	2	2	3	HDAC1
Q5T6F2	5	3.0	4.0	2	2	3	4	5	UBAP2
Q5TGY3	5	3.0	213.0	2	2	2	2	2	AHDC1
Q7L014	5	3.0	153.0	2	2	2	2	2	DDX46
Q7Z5L9	5	3.0	7.0	2	2	2	4	4	IRF2BP2
Q96E14	5	3.0	11.0	2	2	2	3	4	RMI2
Q96EK7	5	3.0	7.0	2	2	3	4	5	FAM120B
Q9BZZ5	5	3.0	3.0	2	2	4	4	4	API5
Q9UGP4	5	3.0	13.0	2	2	2	2	2	LIMD1
A5PL33	5	4.0	16.0	1	2	2	2	2	KRBA1
O75937	5	4.0	15.0	1	2	2	3	3	DNAJC8
P11021	5	4.0	37.0	1	2	2	2	3	HSPA5
P19013	5	4.0	14.0	1	2	2	3	5	KRT4
P39748	5	4.0	69.0	1	2	2	2	2	FEN1
P53992	5	4.0	13.0	1	2	2	2	2	SEC24C
Q14690	5	4.0	260.0	1	2	2	2	2	PDCD11
Q15427	5	4.0	6.0	1	2	3	3	5	SF3B4
Q86XP3	5	4.0	57.0	1	2	2	2	2	DDX42
Q8IUD2	5	4.0	14.0	1	2	2	2	2	ERC1
Q8IZ40	5	4.0	7.0	1	2	2	3	5	RCOR2
Q9NTJ3	5	4.0	7.0	1	2	2	3	3	SMC4
Q9NYB9	5	4.0	7.0	1	2	2	2	3	ABI2
Q9P227	5	4.0	10.0	1	2	2	2	3	ARHGAP23
Q9UKN7	5	4.0	9.0	1	2	2	3	4	MYO15A
Q9UNS1	5	4.0	21.0	1	2	2	2	3	TIMELESS
Q9Y5U2	5	4.0	20.0	1	2	2	2	2	TSSC4
P08243	5	5.0	10.0	1	2	2	2	3	ASNS
P22083	5	5.0	12.0	1	2	2	3	3	FUT4
P38117	5	5.0	12.0	1	2	2	3	3	ETFB
P62910	5	5.0	14.0	1	2	2	2	2	RPL32
Q08379	5	5.0	5.0	1	2	2	3	3	GOLGA2
Q15788	5	5.0	17.0	1	2	2	2	4	NCOA1
Q5JTZ9	5	5.0	14.0	1	2	2	3	3	AARS2
Q5TC82	5	5.0	6.0	1	2	2	3	3	RC3H1
Q8IY67	5	5.0	15.0	1	2	2	2	2	RAVER1
Q8TEM1	5	5.0	23.0	1	2	2	2	2	NUP210
Q92917	5	5.0	21.0	1	2	2	2	2	GPKOW
Q9BUT9	5	5.0	8.0	1	2	2	3	5	MCRIP2
Q9NWB6	5	5.0	7.0	1	2	2	3	4	ARGLU1
Q9UHD8	5	5.0	31.0	1	2	2	2	3	SEPTIN9
O60814	5	6.0	7.0	1	1	2	4	5	H2BC12
P06899	5	6.0	7.0	1	1	2	4	5	HIST1H2BK
P23527	5	6.0	7.0	1	1	2	4	5	H2BC17
P33778	5	6.0	7.0	1	1	2	4	5	H2BC3
P56192	5	6.0	12.0	1	1	2	3	3	MARS
P57053	5	6.0	7.0	1	1	2	3	4	H2BS1
P58876	5	6.0	7.0	1	1	2	4	5	H2BC5
P61254	5	6.0	9.0	1	1	2	3	4	RPL26
P62807	5	6.0	7.0	1	1	2	4	5	H2BC4
Q08945	5	6.0	21.0	1	1	2	2	3	SSRP1
Q14315	5	6.0	71.0	1	1	2	2	2	FLNC
Q16778	5	6.0	7.0	1	1	2	4	5	H2BC21
Q5QNW6	5	6.0	7.0	1	1	2	4	5	HIST2H2BF
Q7KZ85	5	6.0	206.0	1	1	2	2	2	SUPT6H
Q96DN6	5	6.0	28.0	1	1	2	2	2	MBD6
Q96PU8	5	6.0	14.0	1	1	2	2	3	QKI
Q99877	5	6.0	7.0	1	1	2	4	5	H2BC15
Q99879	5	6.0	7.0	1	1	2	4	5	HIST1H2BM
Q9H6K5	5	6.0	14.0	1	1	2	3	3	PRR36
Q9UJY1	5	6.0	7.0	1	1	2	3	4	HSPB8
Q9UNX3	5	6.0	9.0	1	1	2	3	4	RPL26L1
P04908	5	7.0	9.0	1	1	2	3	3	H2AC8
P0C0S8	5	7.0	9.0	1	1	2	2	3	H2AC17
P11586	5	7.0	44.0	1	1	2	2	2	MTHFD1
P38606	5	7.0	17.0	1	1	2	2	3	ATP6V1A
P42768	5	7.0	10.0	1	1	2	2	4	WAS
Q01804	5	7.0	11.0	1	1	2	3	4	OTUD4
Q02878	5	7.0	9.0	1	1	2	2	2	RPL6
Q16629	5	7.0	33.0	1	1	2	2	3	SRSF7
Q16777	5	7.0	9.0	1	1	2	3	3	HIST1H2AJ
Q6FI13	5	7.0	9.0	1	1	2	3	3	HIST1H2AG
Q7L7L0	5	7.0	9.0	1	1	2	3	3	HIST3H2A
Q8NDT2	5	7.0	10.0	1	1	2	3	3	RBM15B
Q93077	5	7.0	9.0	1	1	2	3	3	H2AC6
Q9Y4B4	5	7.0	38.0	1	1	2	2	2	RAD54L2
P04259	5	8.0	17.0	1	1	2	2	4	KRT6B
P48668	5	8.0	17.0	1	1	2	2	4	KRT6C
P98174	5	8.0	11.0	1	1	2	3	3	FGD1
Q9H0C8	5	8.0	9.0	1	1	2	2	2	ILKAP
Q9H7P9	5	8.0	18.0	1	1	2	2	2	PLEKHG2
Q9UBB5	5	8.0	11.0	1	1	2	3	4	MBD2
O15164	5	9.0	12.0	1	1	2	2	2	TRIM24
O95954	5	9.0	12.0	1	1	2	2	4	FTCD
P07237	5	9.0	19.0	1	1	2	2	3	P4HB
P08651	5	9.0	11.0	1	1	2	3	4	NFIC
P54259	5	9.0	10.0	1	1	2	2	3	ATN1
P62269	5	9.0	11.0	1	1	2	3	4	RPS18
Q13950	5	9.0	12.0	1	1	2	2	2	RUNX2
O00148	5	10.0	57.0	1	1	2	2	2	DDX39A
O00268	5	10.0	11.0	1	1	2	2	3	TAF4
P07814	5	10.0	126.0	1	1	2	2	2	EPRS1
P49757	5	10.0	68.0	1	1	2	2	2	NUMB
P52948	5	11.0	123.0	1	1	1	2	2	NUP98
P53618	5	11.0	12.0	1	1	1	2	3	COPB1
P62258	5	11.0	15.0	1	1	1	2	3	YWHAE
Q16352	5	11.0	15.0	1	1	1	2	2	INA
Q8IWI9	5	11.0	14.0	1	1	1	2	3	MGA
P00338	5	12.0	46.0	1	1	1	2	2	LDHA
P06576	5	12.0	34.0	1	1	1	2	3	ATP5B
P29692	5	12.0	14.0	1	1	1	2	2	EEF1D
Q15723	5	12.0	15.0	1	1	1	2	2	ELF1
P85037	5	14.0	16.0	1	1	1	2	3	FOXK1
Q8WYB5	5	14.0	146.0	1	1	1	2	2	KAT6B
O95433	5	15.0	16.0	1	1	1	2	3	AHSA1
Q8TDD1	5	18.0	24.0	1	1	1	2	3	DDX54
P27695	5	20.0	55.0	1	1	1	2	2	APEX1
P60842	5	22.0	37.0	1	1	1	1	2	EIF4A1
P26038	5	23.0	97.0	1	1	1	1	2	MSN
Q13573	5	23.0	28.0	1	1	1	1	2	SNW1
Q9P1Y6	5	24.0	81.0	1	1	1	1	2	PHRF1
P35520	5	26.0	53.0	1	1	1	1	2	CBS
P42694	5	26.0	59.0	1	1	1	1	2	HELZ
Q92878	5	26.0	114.0	1	1	1	1	2	RAD50
Q9ULI4	5	26.0	120.0	1	1	1	1	2	KIF26A
P00558	5	27.0	57.0	1	1	1	1	2	PGK1
P11413	5	28.0	75.0	1	1	1	1	2	G6PD
P50995	5	31.0	39.0	1	1	1	1	2	ANXA11
Q16576	5	37.0	46.0	1	1	1	1	2	RBBP7
P04406	5	38.0	67.0	1	1	1	1	2	GAPDH
Q9Y617	5	40.0	52.0	1	1	1	1	2	PSAT1
Q92616	5	46.0	540.0	1	1	1	1	2	GCN1
P33176	5	55.0	127.0	1	1	1	1	1	KIF5B
Q09666	5	60.0	121.0	1	1	1	1	1	AHNAK
P11142	5	65.0	106.0	1	1	1	1	1	HSPA8
P42704	5	69.0	134.0	1	1	1	1	1	LRPPRC
P58107	5	531.0	534.0	1	1	1	1	1	EPPK1
O15021	4	1.0	332.5	2	2	2	2	2	MAST4
O43252	4	1.0	32.5	2	2	2	2	2	PAPSS1
O43488	4	1.0	6.0	2	2	2	3	3	AKR7A2
O95456	4	1.0	3.5	2	2	3	4	4	PSMG1
P26368	4	1.0	80.5	2	2	2	2	2	U2AF2
P43686	4	1.0	28.0	2	2	2	2	2	PSMC4
P51570	4	1.0	5.0	2	2	3	3	3	GALK1
P51608	4	1.0	3.0	2	2	3	3	3	MECP2
Q02818	4	1.0	9.0	2	2	2	2	3	NUCB1
Q14527	4	1.0	5.0	2	2	2	2	2	HLTF
Q15008	4	1.0	79.5	2	2	2	2	2	PSMD6
Q15435	4	1.0	11.5	2	2	2	2	3	PPP1R7
Q15554	4	1.0	1.5	2	2	2	4	4	TERF2
Q4V321	4	1.0	1.5	3	3	3	4	4	GAGE2E
Q5CZC0	4	1.0	1.5	3	3	3	3	4	FSIP2
Q6GQQ9	4	1.0	6.5	2	2	2	3	4	OTUD7B
Q6P6C2	4	1.0	1.0	3	3	3	3	3	ALKBH5
Q6PK04	4	1.0	3.5	2	2	2	2	2	CCDC137
Q8IWZ8	4	1.0	1.5	2	2	3	4	4	SUGP1
Q8N1G2	4	1.0	106.0	2	2	2	2	2	FTSJD2
Q8TAQ2	4	1.0	91.0	2	2	2	2	2	SMARCC2
Q8TEQ6	4	1.0	6.5	2	2	2	3	3	GEMIN5
Q92620	4	1.0	4.0	2	2	3	3	3	DHX38
Q96CW5	4	1.0	31.0	2	2	2	2	2	TUBGCP3
Q96F44	4	1.0	2.0	2	2	2	2	4	TRIM11
Q96L96	4	1.0	1.5	3	3	3	3	3	ALPK3
Q9BUF5	4	1.0	75.0	2	2	2	2	2	TUBB6
Q9BYB0	4	1.0	1.0	3	3	3	3	3	SHANK3
Q9BYG3	4	1.0	20.0	2	2	2	2	3	NIFK
Q9H8H0	4	1.0	19.5	2	2	2	2	3	NOL11
Q9NZM5	4	1.0	84.5	2	2	2	2	2	GLTSCR2
Q9UNE7	4	1.0	25.0	2	2	2	2	3	STUB1
Q9UPT6	4	1.0	9.0	2	2	2	3	3	MAPK8IP3
Q9UQ80	4	1.0	5.0	2	2	3	3	3	PA2G4
Q9Y3U8	4	1.0	21.5	2	2	2	2	3	RPL36
A6NED2	4	2.0	2.5	2	2	2	2	4	RCCD1
C9JLR9	4	2.0	6.5	2	2	2	3	3	C11orf95
O60885	4	2.0	2.0	2	3	3	3	3	BRD4
O75064	4	2.0	119.5	2	2	2	2	2	DENND4B
O95613	4	2.0	134.0	2	2	2	2	2	PCNT
P00533	4	2.0	29.5	2	2	2	2	2	EGFR
P13646	4	2.0	5.0	2	2	2	2	2	KRT13
P18077	4	2.0	4.5	2	2	3	3	3	RPL35A
P50749	4	2.0	4.5	2	2	3	3	4	RASSF2
P62280	4	2.0	4.5	2	2	2	2	4	RPS11
P62701	4	2.0	2.5	2	2	2	2	2	RPS4X
Q06587	4	2.0	3.0	2	2	2	2	2	RING1
Q0VD83	4	2.0	14.0	2	2	2	2	2	APOBR
Q68DN1	4	2.0	2.0	2	2	2	2	2	C2orf16
Q6EEV4	4	2.0	3.5	2	2	3	4	4	POLR2M
Q6U949	4	2.0	3.0	2	2	3	4	4	IGF2
Q6ZTU2	4	2.0	20.5	2	2	2	2	2	EP400NL
Q70EL1	4	2.0	60.0	2	2	2	2	2	USP54
Q7Z7A3	4	2.0	28.5	2	2	2	2	2	CTU1
Q86U28	4	2.0	4.5	2	2	3	3	3	ISCA2
Q8IX01	4	2.0	5.0	2	2	3	3	3	SUGP2
Q8IZL8	4	2.0	8.0	2	2	2	3	3	PELP1
Q8N726	4	2.0	3.5	2	2	3	4	4	CDKN2A
Q8ND04	4	2.0	11.0	2	2	2	2	3	SMG8
Q8ND24	4	2.0	52.5	2	2	2	2	2	RNF214
Q8WWQ0	4	2.0	8.5	2	2	2	2	2	PHIP
Q92934	4	2.0	3.0	2	2	2	2	2	BAD
Q969S3	4	2.0	3.5	2	2	2	2	2	ZNF622
Q96A00	4	2.0	3.0	2	2	2	4	4	PPP1R14A
Q9BRP4	4	2.0	13.0	2	2	2	2	2	PAAF1
Q9BTV4	4	2.0	24.0	2	2	2	2	3	TMEM43
Q9BXH1	4	2.0	2.5	2	3	3	3	3	BBC3
Q9BY77	4	2.0	11.0	2	2	2	2	3	POLDIP3
Q9H0U9	4	2.0	4.5	2	2	2	2	4	TSPYL1
Q9HAU4	4	2.0	2.0	2	3	4	4	4	SMURF2
Q9NXH9	4	2.0	4.5	2	2	2	2	4	TRMT1
Q9P035	4	2.0	4.5	2	2	2	2	2	PTPLAD1
Q9P281	4	2.0	41.0	2	2	2	2	2	BAHCC1
Q9Y2K2	4	2.0	6.0	2	2	2	2	2	SIK3
Q9Y383	4	2.0	3.0	2	2	3	3	3	LUC7L2
Q9Y6R9	4	2.0	3.5	2	2	2	2	2	CCDC61
P20340	4	3.0	26.0	2	2	2	2	2	RAB6A
P20618	4	3.0	5.0	2	2	2	2	4	PSMB1
P29372	4	3.0	3.0	2	2	2	2	2	MPG
P49915	4	3.0	41.0	2	2	2	2	2	GMPS
P50502	4	3.0	4.5	2	2	2	2	4	ST13
P58004	4	3.0	7.5	2	2	2	2	2	SESN2
Q16531	4	3.0	18.0	2	2	2	2	3	DDB1
Q49AM3	4	3.0	4.0	2	2	3	3	3	TTC31
Q68CQ4	4	3.0	7.0	2	2	2	3	3	DIEXF
Q6P996	4	3.0	39.5	2	2	2	2	2	PDXDC1
Q8IVB5	4	3.0	3.5	2	2	2	4	4	LIX1L
Q8TEW0	4	3.0	6.0	2	2	2	2	2	PARD3
Q99933	4	3.0	5.0	2	2	3	3	3	BAG1
Q9NVS9	4	3.0	3.5	2	2	2	2	2	PNPO
Q9NWQ4	4	3.0	4.0	2	2	3	4	4	C14orf118
Q9Y3T6	4	3.0	7.5	2	2	2	3	4	R3HCC1
Q9Y6G9	4	3.0	46.5	2	2	2	2	2	DYNC1LI1
O00165	4	4.0	45.5	1	2	2	2	2	HAX1
O43432	4	4.0	11.5	1	2	2	2	3	EIF4G3
P0DP23	4	4.0	10.0	1	2	2	3	3	CALM3
P35368	4	4.0	4.0	1	2	3	4	4	ADRA1B
P49247	4	4.0	5.0	1	2	3	3	4	RPIA
P84098	4	4.0	24.5	1	2	2	2	2	RPL19
Q01196	4	4.0	8.5	1	2	2	3	3	RUNX1
Q13303	4	4.0	8.0	1	2	2	3	3	KCNAB2
Q14137	4	4.0	38.0	1	2	2	2	2	BOP1
Q7Z736	4	4.0	15.5	1	2	2	2	3	PLEKHH3
Q8IXS8	4	4.0	32.5	1	2	2	2	2	FAM126B
Q8N2M8	4	4.0	22.0	1	2	2	2	3	CLASRP
Q96LB3	4	4.0	4.0	1	2	2	2	4	IFT74
Q9BWW4	4	4.0	5.0	1	2	3	3	4	SSBP3
Q9H6R0	4	4.0	5.0	1	2	2	2	2	DHX33
Q9UBC1	4	4.0	4.5	1	2	3	3	4	NFKBIL1
P08237	4	5.0	7.0	1	2	2	3	3	PFKM
P16615	4	5.0	13.0	1	2	2	2	3	ATP2A2
P42766	4	5.0	16.5	1	2	2	2	3	RPL35
Q13191	4	5.0	5.0	1	2	3	3	3	CBLB
Q13761	4	5.0	20.0	1	2	2	2	3	RUNX3
Q68CZ2	4	5.0	5.0	1	2	3	4	4	TNS3
Q7KZI7	4	5.0	5.0	1	2	3	3	4	MARK2
Q96J01	4	5.0	43.5	1	2	2	2	2	THOC3
Q9NRJ4	4	5.0	13.5	1	2	2	2	3	TULP4
Q9NWB1	4	5.0	12.0	1	2	2	2	3	RBFOX1
Q9P2K3	4	5.0	8.5	1	2	2	3	3	RCOR3
Q9UKM9	4	5.0	7.5	1	2	2	3	4	RALY
A8CG34	4	6.0	7.5	1	1	2	2	3	POM121C
P11831	4	6.0	8.0	1	1	2	3	4	SRF
P46100	4	6.0	258.5	1	1	2	2	2	ATRX
Q14657	4	6.0	11.0	1	1	2	2	3	LAGE3
Q15084	4	6.0	11.5	1	1	2	2	3	PDIA6
Q96T17	4	6.0	8.0	1	1	2	3	3	MAP7D2
Q99880	4	6.0	6.5	1	1	2	3	4	H2BC13
Q9NRN7	4	6.0	45.5	1	1	2	2	2	AASDHPPT
Q9NTG7	4	6.0	43.0	1	1	2	2	2	SIRT3
Q9UBU9	4	6.0	14.5	1	1	2	2	2	NXF1
O75531	4	7.0	11.0	1	1	2	2	4	BANF1
P07196	4	7.0	7.0	1	1	2	3	4	NEFL
P08758	4	7.0	9.5	1	1	2	3	3	ANXA5
P16104	4	7.0	8.0	1	1	2	2	2	H2AX
P18206	4	7.0	55.0	1	1	2	2	2	VCL
P20671	4	7.0	8.0	1	1	2	2	2	HIST1H2AD
P21399	4	7.0	7.5	1	1	2	3	4	ACO1
P32119	4	7.0	12.0	1	1	2	2	4	PRDX2
P54652	4	7.0	27.5	1	1	2	2	2	HSPA2
P62495	4	7.0	53.5	1	1	2	2	2	ETF1
Q03164	4	7.0	13.5	1	1	2	2	2	KMT2A
Q13155	4	7.0	8.0	1	1	2	3	3	AIMP2
Q2KHR3	4	7.0	7.0	1	1	2	3	3	QSER1
Q6NXT2	4	7.0	10.5	1	1	2	2	3	H3-5
Q6PID8	4	7.0	15.5	1	1	2	2	3	KLHDC10
Q7Z3C6	4	7.0	9.5	1	1	2	3	3	ATG9A
Q96FF7	4	7.0	21.0	1	1	2	2	3	MISP3
Q96I25	4	7.0	57.0	1	1	2	2	2	RBM17
Q96KK5	4	7.0	8.0	1	1	2	2	2	HIST1H2AH
Q96QV6	4	7.0	8.0	1	1	2	2	2	H2AC1
Q99878	4	7.0	8.0	1	1	2	2	2	H2AC14
Q9BTM1	4	7.0	8.0	1	1	2	2	2	H2AJ
O00264	4	8.0	16.0	1	1	2	2	3	PGRMC1
O95628	4	8.0	8.0	1	1	2	2	4	CNOT4
O95630	4	8.0	84.5	1	1	2	2	2	STAMBP
P41219	4	8.0	15.0	1	1	2	2	3	PRPH
P55196	4	8.0	32.5	1	1	2	2	2	AFDN
P60900	4	8.0	9.0	1	1	2	3	3	PSMA6
Q01546	4	8.0	16.5	1	1	2	2	3	KRT76
Q8IVW6	4	8.0	11.5	1	1	2	2	4	ARID3B
Q92540	4	8.0	9.0	1	1	2	3	3	SMG7
Q96L21	4	8.0	25.5	1	1	2	2	2	RPL10L
Q9BPU6	4	8.0	99.0	1	1	2	2	2	DPYSL5
Q9NQ92	4	8.0	9.5	1	1	2	2	4	COPR5
Q9Y283	4	8.0	9.5	1	1	2	2	2	INVS
O94776	4	9.0	14.0	1	1	2	2	3	MTA2
P46782	4	9.0	31.0	1	1	2	2	2	RPS5
Q8NBJ7	4	9.0	10.5	1	1	2	2	3	SUMF2
Q9UPS6	4	9.0	11.5	1	1	2	2	2	SETD1B
O95486	4	10.0	14.5	1	1	2	2	2	SEC24A
P36873	4	10.0	13.0	1	1	2	2	2	PPP1CC
P53396	4	10.0	152.5	1	1	2	2	2	ACLY
P62140	4	10.0	13.0	1	1	2	2	2	PPP1CB
Q13619	4	10.0	25.0	1	1	2	2	3	CUL4A
Q5T0W9	4	10.0	11.5	1	1	2	2	3	FAM83B
P06400	4	11.0	11.5	1	1	1	2	3	RB1
P17066	4	11.0	17.5	1	1	1	2	3	HSPA6
P28340	4	11.0	37.5	1	1	1	2	2	POLD1
P34931	4	11.0	26.5	1	1	1	2	2	HSPA1L
P39019	4	11.0	19.0	1	1	1	2	3	RPS19
P48552	4	11.0	154.5	1	1	1	2	2	NRIP1
P51532	4	11.0	174.0	1	1	1	2	2	SMARCA4
Q6KC79	4	11.0	59.5	1	1	1	2	2	NIPBL
O43491	4	12.0	123.0	1	1	1	2	2	EPB41L2
P15531	4	12.0	21.0	1	1	1	2	2	NME1
P26641	4	12.0	26.0	1	1	1	2	2	EEF1G
Q02388	4	12.0	517.0	1	1	1	2	2	COL7A1
P23284	4	13.0	35.5	1	1	1	2	2	PPIB
Q9UKK3	4	13.0	20.0	1	1	1	2	2	PARP4
P04264	4	14.0	49.0	1	1	1	2	2	KRT1
P28702	4	14.0	16.5	1	1	1	2	3	RXRB
P68032	4	14.0	47.0	1	1	1	2	2	ACTA2
Q9BQ52	4	14.0	94.0	1	1	1	2	2	ELAC2
Q9Y2W2	4	14.0	53.0	1	1	1	2	2	WBP11
Q8WYA6	4	15.0	33.5	1	1	1	2	2	CTNNBL1
O94992	4	16.0	37.0	1	1	1	2	2	HEXIM1
Q9H1A4	4	16.0	149.5	1	1	1	2	2	ANAPC1
Q9Y4L1	4	16.0	99.5	1	1	1	2	2	HYOU1
P12268	4	17.0	22.5	1	1	1	2	2	IMPDH1
Q8IVF2	4	17.0	1166.0	1	1	1	2	2	AHNAK2
Q8NCN5	4	17.0	91.0	1	1	1	2	2	PDPR
Q8NF64	4	17.0	32.0	1	1	1	2	2	ZMIZ2
Q99575	4	17.0	62.0	1	1	1	2	2	POP1
Q9Y230	4	17.0	56.5	1	1	1	2	2	RUVBL2
P25054	4	18.0	252.5	1	1	1	2	2	APC
P39687	4	18.0	37.5	1	1	1	2	2	ANP32A
Q86YR5	4	18.0	29.0	1	1	1	2	2	GPSM1
Q9UF83	4	18.0	36.0	1	1	1	2	2	LOC100271840
P18124	4	19.0	28.5	1	1	1	2	2	RPL7
P01889	4	20.0	23.5	1	1	1	2	2	HLA-B
P60891	4	20.0	24.0	1	1	1	2	3	PRPS1
Q15637	4	20.0	51.0	1	1	1	2	2	SF1
Q04724	4	21.0	45.0	1	1	1	1	2	TLE1
Q63HN8	4	21.0	134.5	1	1	1	1	2	RNF213
P48643	4	22.0	52.5	1	1	1	1	2	CCT5
Q14671	4	22.0	119.0	1	1	1	1	2	PUM1
O43684	4	23.0	30.0	1	1	1	1	2	BUB3
Q12931	4	24.0	43.0	1	1	1	1	2	TRAP1
Q9P1Y5	4	24.0	105.5	1	1	1	1	2	CAMSAP3
P17987	4	25.0	99.5	1	1	1	1	2	TCP1
Q99615	4	29.0	85.0	1	1	1	1	2	DNAJC7
P06748	4	32.0	44.0	1	1	1	1	2	NPM1
