term_id	term_name	primary_family	audit_status	assignment_method	secondary_rule_matches	override_reason	genes_in_reviewed_universe
C0266357	Persistent umbilical sinus	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0266360	Streak gonad	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	6
C0266361	True Hermaphroditism (disorder)	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	27
C0266362	Ambiguous Genitalia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	109
C0266368	Congenital absence of ovary	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	5
C0266371	Streak ovary	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	21
C0266383	Uterine Anomalies	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	35
C0266384	Congenital absence of uterus	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	1
C0266387	Bicornuate uterus	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	44
C0266393	Congenital duplication of uterus	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	9
C0266399	Infantile uterus	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	43
C0266411	Septate vagina	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	6
C0266427	Testicular regression syndrome	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	36
C0266429	Monorchism	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0266430	Polyorchism	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0266432	Leydig cell agenesis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	5
C0266435	Congenital hypoplasia of penis	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	237
C0266444	Congenital absence of vas deferens	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	10
C0266445	Congenital atresia of vas deferens	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	1
C0266449	Congenital anomaly of brain	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	102
C0266453	Exencephaly	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	47
C0266456	Meningoencephalocele	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	7
C0266461	Congenital absence of part of brain	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	2
C0266462	Congenital hypoplasia of part of brain	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	2
C0266463	Lissencephaly	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	70
C0266464	Polymicrogyria	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	196
C0266468	Congenital pontocerebellar hypoplasia	Ataxia / cerebellar degeneration	included	precedence_rule	Developmental / congenital syndromes	Primary assignment is the first matching family in precedence order (Ataxia / cerebellar degeneration).	31
C0266470	Cerebellar Hypoplasia	Ataxia / cerebellar degeneration	included	precedence_rule	Developmental / congenital syndromes	Primary assignment is the first matching family in precedence order (Ataxia / cerebellar degeneration).	224
C0266476	Congenital stenosis of aqueduct of Sylvius	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	6
C0266483	Pachygyria	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	127
C0266484	Schizencephaly	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	10
C0266487	Etat Marbre	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	23
C0266491	Neuronal heterotopia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	65
C0266501	Spina bifida of cervical region	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0266507	Myeloschisis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0266508	Rachischisis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	15
C0266521	Marcus Gunn phenomenon	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0266525	Irido-corneal dysgenesis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	22
C0266526	Norrie disease	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	51
C0266537	Congenital lamellar cataract	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	18
C0266539	Congenital total cataract	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	16
C0266541	Microphakia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	6
C0266542	Spherophakia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0266544	Microcornea	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	128
C0266548	Axenfeld anomaly (disorder)	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	7
C0266551	Congenital coloboma of iris	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	148
C0266559	Persistent primary vitreous	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0266564	Congenital anomaly of retina	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	1
C0266566	Optic disc structural anomaly	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0266568	Persistent Hyperplastic Primary Vitreous	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	33
C0266571	Congenital retinal aneurysm	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	1
C0266572	Congenital anomaly of eyelid	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	1
C0266573	Congenital ptosis	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	7
C0266574	Ablepharon	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	18
C0266589	Congenital ear anomaly NOS (disorder)	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	137
C0266604	Congenital aplasia of inner ear	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	2
C0266610	Preauricular dimple	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	39
C0266614	Bat ear	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	5
C0266617	Congenital anomaly of face	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	109
C0266619	Potter's facies	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	9
C0266623	Congenital anomaly of neck	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	26
C0266631	Accessory spleen	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	39
C0266632	Ectopic spleen	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0266642	Situs ambiguus	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	54
C0266647	Congenital anomalies of fetus	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	3
C0266652	Abnormal fetus	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0266667	Cyclocephaly	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	34
C0266677	Synotus	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0266692	Craniopagus	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	1
C0266742	Asymmetrical conjoined twins	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0266752	Twin placenta	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0266757	Chorioallantoic placenta	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0266781	Abnormal amniotic fluid	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	8
C0266782	Abnormal yolk sac	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0266785	Abnormal umbilical cord	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0266786	Short cord	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	4
C0266789	Velamentous insertion of umbilical cord (disorder)	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0266798	Compression of umbilical cord	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	5
C0266807	Acute gastrointestinal hemorrhage	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0266815	Cow milk allergy	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	35
C0266833	Visceral Myopathy, Familial	Myopathy / muscle / cardiomyopathy	included	precedence_rule		Primary assignment is the first matching family in precedence order (Myopathy / muscle / cardiomyopathy).	2
C0266836	Infantile Colic	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	3
C0266853	Enamel caries	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	0
C0266878	External resorption of tooth	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0266893	Subgingival dental calculus	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0266913	Hyperplastic gingivitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	3
C0266928	Rapidly progressive periodontitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0266929	Chronic Periodontitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	263
C0266941	Derangement of temporomandibular joint	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0266981	Torus palatinus	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0266985	Resorption of mandible	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0266999	Vesicular Stomatitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	105
C0267008	Erythroplakia of mouth	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	5
C0267024	Hypertrophy of lip	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0267026	Actinic cheilitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	62
C0267048	Glossoptosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	25
C0267055	Erosive esophagitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	15
C0267066	Chalasia of lower esophageal sphincter	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0267071	Oropharyngeal Dysphagia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	41
C0267072	Esophageal Dysphagia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	4
C0267075	Peptic ulcer of esophagus	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0267095	Leukoplakia of esophagus	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0267111	Gastric dysplasia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	22
C0267154	Eosinophilic gastritis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0267158	Reflux gastritis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0267159	Superficial gastritis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	14
C0267166	Gastroduodenitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0267176	Gastroparesis with diabetes mellitus	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	20
C0267187	Intestinal metaplasia of gastric mucosa	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	33
C0267211	Gastric Antral Vascular Ectasia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	6
C0267356	Duodenal perforation	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0267358	Duodenal fistula	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0267370	Angiodysplasia of colon	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	6
C0267372	Primary intestinal lymphangiectasia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0267373	Intestinal hemorrhage NOS	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	8
C0267375	Chronic colitis	Immune / inflammatory	included	precedence_rule		Primary assignment is the first matching family in precedence order (Immune / inflammatory).	55
C0267380	Crohn's disease of the ileum	Immune / inflammatory	included	precedence_rule		Primary assignment is the first matching family in precedence order (Immune / inflammatory).	54
C0267395	Ischemic enteritis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	3
C0267398	Acute ischemic colitis	Immune / inflammatory	included	precedence_rule		Primary assignment is the first matching family in precedence order (Immune / inflammatory).	2
C0267406	Mesenteric infarction	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0267412	Mesenteric Venous Thrombosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	3
C0267422	Allergic enteritis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0267430	Noninfectious colitis	Immune / inflammatory	included	precedence_rule		Primary assignment is the first matching family in precedence order (Immune / inflammatory).	1
C0267437	Allergic diarrhea	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0267446	Acute gastroenteritis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	34
C0267448	Eosinophilic colitis	Immune / inflammatory	included	precedence_rule		Primary assignment is the first matching family in precedence order (Immune / inflammatory).	1
C0267454	Necrotic enteritis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	12
C0267456	Villous atrophy of intestine	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	19
C0267465	Stenosis of intestine	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	5
C0267468	Intussusception of rectum	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0267471	Volvulus of colon	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	0
C0267491	Ulceration of colon	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0267494	Chilaiditi Syndrome	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	1
C0267509	Chronic idiopathic constipation	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	5
C0267532	Diversion colitis	Immune / inflammatory	included	precedence_rule		Primary assignment is the first matching family in precedence order (Immune / inflammatory).	3
C0267537	Typhlitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	4
C0267541	Typhlocolitis	Immune / inflammatory	included	precedence_rule		Primary assignment is the first matching family in precedence order (Immune / inflammatory).	3
C0267548	Ileocolic intussusception	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0267556	Osmotic diarrhea	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	4
C0267557	Secretory diarrhea	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	18
C0267561	Perianal fistula	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	7
C0267581	Rectal Stenosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0267602	Descending perineum syndrome	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	4
C0267642	Childhood celiac disease	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0267662	Congenital chloride diarrhea	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	3
C0267663	Congenital secretory diarrhea, sodium type (disorder)	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	16
C0267672	Bilateral inguinal hernia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0267716	Incisional hernia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0267725	Paraesophageal hernia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	7
C0267750	Acute peritonitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	8
C0267756	Abscess of peritoneum	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	9
C0267770	Retractile Mesenteritis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	4
C0267771	Retroperitoneal mass	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	5
C0267778	Adhesion of intestine	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	6
C0267785	Leiomyomatosis peritonealis disseminata	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0267792	Hepatobiliary disease	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	12
C0267795	Subacute hepatic necrosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0267797	Acute hepatitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	61
C0267807	Lupus hepatitis	Immune / inflammatory	included	precedence_rule		Primary assignment is the first matching family in precedence order (Immune / inflammatory).	2
C0267809	Cirrhosis, Cryptogenic	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	15
C0267812	Micronodular cirrhosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	18
C0267818	Bile duct proliferation	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	30
C0267827	Acute toxic hepatitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0267830	Liver Abscess, Pyogenic	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0267834	Liver cyst	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	26
C0267839	Hepatic amyloidosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	4
C0267841	Acalculous Cholecystitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0267842	Acute cholecystitis without calculus	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	3
C0267878	Mirizzi Syndrome	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	6
C0267896	Mucocele of gallbladder	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0267917	Acute cholangitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	10
C0267918	Chronic cholangitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0267919	Primary cholangitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0267924	Suppurative cholangitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0267925	Bile Duct Stenosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0267926	Postoperative biliary stricture	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	3
C0267937	Acute recurrent pancreatitis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	18
C0267941	Pancreatitis, Acute Necrotizing	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	61
C0267952	Fibrosis of pancreas	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	68
C0267953	Necrosis of pancreas	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	15
C0267963	Exocrine pancreatic insufficiency	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	80
C0267964	Pancreatic acinar atrophy	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0267971	Storage disease	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	28
C0267988	Hyperproteinemia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	3
C0267990	Adult-onset obesity	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	5
C0268005	Hyposmolality syndrome	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	1
C0268009	Hyperosmolality	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	10
C0268016	Chronic hypokalemia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0268024	Hyperkalemia, diminished renal excretion	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	6
C0268031	Compensated acidosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0268039	Ketoacidosis due to acute alcohol intoxication	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0268059	Neonatal hemochromatosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	11
C0268060	Juvenile hemochromatosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	17
C0268066	Hepatic hemosiderosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0268070	Hypocupremia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	22
C0268072	Hypercupremia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0268074	Indian childhood cirrhosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	63
C0268077	Hypophosphaturia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0268079	Hyperphosphaturia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	25
C0268080	Hypercalcemia, Idiopathic, of Infancy	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	3
C0268090	Manganese deficiency	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0268095	Keshan disease	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	17
C0268104	Disorder of purine metabolism	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	7
C0268108	Chronic gouty arthritis	Immune / inflammatory	included	precedence_rule		Primary assignment is the first matching family in precedence order (Immune / inflammatory).	3
C0268109	Chronic tophaceous gout	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0268113	Familial juvenile gout	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0268117	Gout, HPRT-Related	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	3
C0268118	Xanthinuria, Type I	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	5
C0268119	Combined molybdoflavoprotein enzyme deficiency	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	13
C0268120	Adenine phosphoribosyltransferase deficiency	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	3
C0268121	APRT deficiency, Japanese type	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0268123	Muscle AMP deaminase deficiency	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	4
C0268124	Adenosine deaminase deficiency	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	15
C0268125	Purine-nucleoside phosphorylase deficiency	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	4
C0268126	Adenylosuccinate lyase deficiency (disorder)	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0268128	Orotic aciduria	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	6
C0268130	Hereditary orotic aciduria, type 1	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	3
C0268134	DNA Repair-Deficiency	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0268135	Xeroderma pigmentosum, group A	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	44
C0268136	Xeroderma pigmentosum, group B	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	13
C0268138	Xeroderma Pigmentosum, Complementation Group D	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	67
C0268140	Xeroderma pigmentosum, group F	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	8
C0268141	Xeroderma pigmentosum, group G	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	19
C0268146	Glucose-6-phosphate transport defect	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	8
C0268147	Glycogen storage disease, type IX	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	13
C0268149	Glycogen storage disease type X	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0268151	Classical galactosemia	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	30
C0268152	Classical galactosemia, homozygous Duarte-type	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0268155	Deficiency of galactokinase	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	6
C0268157	Galactosuria	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	4
C0268160	Deficiency of fructokinase	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0268162	Pentosuria	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0268164	Primary hyperoxaluria, type I	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	25
C0268165	Primary hyperoxaluria type 2	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0268179	Lactase Deficiency, Congenital	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	1
C0268181	Lactose Intolerance, Adult Type	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	7
C0268186	Congenital glucose-galactose malabsorption	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	19
C0268187	alpha, alpha-Trehalase deficiency	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0268193	NADH cytochrome B5 reductase deficiency	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	7
C0268194	Phosphoenolpyruvate carboxykinase deficiency	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0268197	Familial lipoprotein deficiency	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0268199	Familial apolipoprotein C-II deficiency	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	3
C0268218	Maroteaux-Lamy syndrome, mild form	Developmental / congenital syndromes	included	precedence_rule		Primary assignment is the first matching family in precedence order (Developmental / congenital syndromes).	1
C0268221	Fucosidosis Type I	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0268222	Fucosidosis Type II	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0268225	Aspartylglucosaminuria	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	9
C0268226	Type I Mucolipidosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	10
C0268228	Neuraminidase 1 deficiency	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	3
C0268233	GALACTOSIALIDOSIS	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	12
C0268237	Cytochrome-c Oxidase Deficiency	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	60
C0268238	Triglyceride storage disease with ichthyosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	39
C0268240	Pancreatic triacylglycerol lipase deficiency	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0268242	Niemann-Pick Disease, Type A	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	6
C0268243	Niemann-Pick Disease, Type B	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	8
C0268247	Niemann-Pick Disease, Type D	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0268248	Niemann-Pick Disease, Type E	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0268250	Gaucher Disease, Type 2 (disorder)	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	5
C0268251	Gaucher Disease, Type 3 (disorder)	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	16
C0268252	Late-Onset Globoid Cell Leukodystrophy	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0268255	Farber Lipogranulomatosis	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	7
C0268262	Metachromatic Leukodystrophy due to Saposin B Deficiency	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	1
C0268263	Multiple Sulfatase Deficiency Disease	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	10
C0268271	Gangliosidosis, Generalized GM1, Type 1 (disorder)	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
C0268272	Gangliosidosis, Generalized GM1, Type 2	Other / unassigned	unassigned	no_match		No overview-family label rule matched.	2
