canonical_UniProtAC	functional_class_broad	functional_class_subclass	substrate_genename	UniProtID	protein_name	genename	interpro_annotation_text	interpro_domain_classes	annotation_text	is_arg_methyl_protein
A6NKX1	Other / unclassified	Other / unclassified	FAM223B	F223B_HUMAN	Protein FAM223B				a6nkx1 fam223b f223b_human protein fam223b   	False
A6NL82	Other / unclassified	Other / unclassified	CFAP144	CF144_HUMAN	Cilia- and flagella-associated protein 144 (Protein FAM183A)				a6nl82 cfap144 cf144_human cilia- and flagella-associated protein 144 (protein fam183a)   	False
A6NLI5	Other / unclassified	Other / unclassified	TRIM64C	TR64C_HUMAN	Tripartite motif-containing protein 64C				a6nli5 trim64c tr64c_human tripartite motif-containing protein 64c   	False
A6NLJ0	Other / unclassified	Other / unclassified	C2CD4B	C2C4B_HUMAN	C2 calcium-dependent domain-containing protein 4B (Nuclear-localized factor 2) (Protein FAM148B)				a6nlj0 c2cd4b c2c4b_human c2 calcium-dependent domain-containing protein 4b (nuclear-localized factor 2) (protein fam148b)   	False
A6NLU0	Other / unclassified	Other / unclassified	RFPL4A	RFPLA_HUMAN	Ret finger protein-like 4A (RING finger protein 210)				a6nlu0 rfpl4a rfpla_human ret finger protein-like 4a (ring finger protein 210)   	False
A6NLX3	Other / unclassified	Other / unclassified	SPDYE4	SPDE4_HUMAN	Speedy protein E4				a6nlx3 spdye4 spde4_human speedy protein e4   	False
A6NM11	Other / unclassified	Other / unclassified	LRRC37A2	L37A2_HUMAN	Leucine-rich repeat-containing protein 37A2				a6nm11 lrrc37a2 l37a2_human leucine-rich repeat-containing protein 37a2   	False
A6NM36	Other / unclassified	Other / unclassified	LRRC30	LRC30_HUMAN	Leucine-rich repeat-containing protein 30				a6nm36 lrrc30 lrc30_human leucine-rich repeat-containing protein 30   	False
A6NM45	Other / unclassified	Other / unclassified	CLDN24	CLD24_HUMAN	Claudin-24 (Claudin-21)				a6nm45 cldn24 cld24_human claudin-24 (claudin-21)   	False
A6NM62	Other / unclassified	Other / unclassified	LRRC53	LRC53_HUMAN	Leucine-rich repeat-containing protein 53				a6nm62 lrrc53 lrc53_human leucine-rich repeat-containing protein 53   	False
A6NMB1	Other / unclassified	Other / unclassified	SIGLEC16	SIG16_HUMAN	Sialic acid-binding Ig-like lectin 16 precursor; ; Sialic acid-binding Ig-like lectin 16 (Siglec-16) (Siglec-P16)	Name: SIGLEC16; Synonyms: SIGLECP16;			a6nmb1 siglec16 sig16_human sialic acid-binding ig-like lectin 16 precursor; ; sialic acid-binding ig-like lectin 16 (siglec-16) (siglec-p16) name: siglec16; synonyms: siglecp16;  	False
A6NMB9	Other / unclassified	Other / unclassified	FIGNL2	FIGL2_HUMAN	Fidgetin-like protein 2 (EC 3.6.4.-)				a6nmb9 fignl2 figl2_human fidgetin-like protein 2 (ec 3.6.4.-)   	False
A6NMK8	Other / unclassified	Other / unclassified	INSYN2B	INY2B_HUMAN	Protein INSYN2B (Inhibitory synaptic factor family member 2B)				a6nmk8 insyn2b iny2b_human protein insyn2b (inhibitory synaptic factor family member 2b)   	False
A6NMN3	Other / unclassified	Other / unclassified	FAM170B	F170B_HUMAN	Protein FAM170B (Acrosome-related protein)				a6nmn3 fam170b f170b_human protein fam170b (acrosome-related protein)   	False
A6NMS7	Other / unclassified	Other / unclassified	LRRC37A	L37A1_HUMAN	Leucine-rich repeat-containing protein 37A				a6nms7 lrrc37a l37a1_human leucine-rich repeat-containing protein 37a   	False
A6NMZ2	Other / unclassified	Other / unclassified	SNTN	SNTAN_HUMAN	Sentan (Protein S100-A1-like) (S100 calcium-binding protein A1-like)				a6nmz2 sntn sntan_human sentan (protein s100-a1-like) (s100 calcium-binding protein a1-like)   	False
A6NNH2	Other / unclassified	Other / unclassified	FAM90A27P	F90AR_HUMAN	Protein FAM90A27P				a6nnh2 fam90a27p f90ar_human protein fam90a27p   	False
A6NNJ1	Other / unclassified	Other / unclassified	FAM90A9	F90A9_HUMAN	Protein FAM90A9				a6nnj1 fam90a9 f90a9_human protein fam90a9   	False
A6NNL0	Other / unclassified	Other / unclassified	NUTM2B	NTM2B_HUMAN	NUT family member 2B				a6nnl0 nutm2b ntm2b_human nut family member 2b   	False
A6NNW6	Other / unclassified	Other / unclassified	ENO4	ENO4_HUMAN	Enolase 4 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase)				a6nnw6 eno4 eno4_human enolase 4 (ec 4.2.1.11) (2-phospho-d-glycerate hydro-lyase)   	False
A6NNX1	Other / unclassified	Other / unclassified	RIIAD1	RIAD1_HUMAN	RIIa domain-containing protein 1				a6nnx1 riiad1 riad1_human riia domain-containing protein 1   	False
A6NNZ2	Other / unclassified	Other / unclassified	TUBB8B	TBB8B_HUMAN	Tubulin beta 8B; ; Tubulin beta 8B	Name: TUBB8B;			a6nnz2 tubb8b tbb8b_human tubulin beta 8b; ; tubulin beta 8b name: tubb8b;  	False
A6NP61	Other / unclassified	Other / unclassified	ZAR1L	ZAR1L_HUMAN	Protein ZAR1-like (Zygote arrest protein 1-like)				a6np61 zar1l zar1l_human protein zar1-like (zygote arrest protein 1-like)   	False
A6PVC2	Other / unclassified	Other / unclassified	TTLL8	TTLL8_HUMAN	Protein monoglycylase TTLL8 (EC 6.3.2.-) (Tubulin--tyrosine ligase-like protein 8)				a6pvc2 ttll8 ttll8_human protein monoglycylase ttll8 (ec 6.3.2.-) (tubulin--tyrosine ligase-like protein 8)   	False
A6PVL3	Other / unclassified	Other / unclassified	KNCN	KNCN_HUMAN	Kinocilin				a6pvl3 kncn kncn_human kinocilin   	False
A6PVS8	Other / unclassified	Other / unclassified	LRRIQ3	LRIQ3_HUMAN	Leucine-rich repeat and IQ domain-containing protein 3; ; Leucine-rich repeat and IQ domain-containing protein 3 (Leucine-rich repeat-containing protein 44)	Name: LRRIQ3; Synonyms: LRRC44;			a6pvs8 lrriq3 lriq3_human leucine-rich repeat and iq domain-containing protein 3; ; leucine-rich repeat and iq domain-containing protein 3 (leucine-rich repeat-containing protein 44) name: lrriq3; synonyms: lrrc44;  	False
A6PVY3	Other / unclassified	Other / unclassified	FAM177B	F177B_HUMAN	Protein FAM177B; ; Protein FAM177B	Name: FAM177B;			a6pvy3 fam177b f177b_human protein fam177b; ; protein fam177b name: fam177b;  	True
A6XGL0	Other / unclassified	Other / unclassified	YJEFN3	YJEN3_HUMAN	YjeF N-terminal domain-containing protein 3; ; YjeF N-terminal domain-containing protein 3 (YjeF_N3) (hYjeF_N3) (ApoA-I-binding protein 2)	Name: YJEFN3; Synonyms: AIBP2;			a6xgl0 yjefn3 yjen3_human yjef n-terminal domain-containing protein 3; ; yjef n-terminal domain-containing protein 3 (yjef_n3) (hyjef_n3) (apoa-i-binding protein 2) name: yjefn3; synonyms: aibp2;  	False
A6ZKI3	Other / unclassified	Other / unclassified	RTL8C	RTL8C_HUMAN	Retrotransposon Gag-like protein 8C; ; Retrotransposon Gag-like protein 8C (Mammalian retrotransposon derived protein 8C)	Name: RTL8C; Synonyms: CXX1; FAM127A, MAR8, MAR8C, MART8;			a6zki3 rtl8c rtl8c_human retrotransposon gag-like protein 8c; ; retrotransposon gag-like protein 8c (mammalian retrotransposon derived protein 8c) name: rtl8c; synonyms: cxx1; fam127a, mar8, mar8c, mart8;  	False
A7E2U8	Other / unclassified	Other / unclassified	CFAP96	CFA96_HUMAN	Cilia-and flagella-associated protein 96				a7e2u8 cfap96 cfa96_human cilia-and flagella-associated protein 96   	False
A7XYQ1	Other / unclassified	Other / unclassified	SOBP	SOBP_HUMAN	Sine oculis-binding protein homolog (Jackson circler protein 1)				a7xyq1 sobp sobp_human sine oculis-binding protein homolog (jackson circler protein 1)   	False
A8K0Z3	Other / unclassified	Other / unclassified	WASHC1	WASH1_HUMAN	WASH complex subunit 1; ; WASH complex subunit 1 (CXYorf1-like protein on chromosome 9) (Protein FAM39E) (WAS protein family homolog 1)	Name: WASHC1; Synonyms: FAM39E, WASH1;			a8k0z3 washc1 wash1_human wash complex subunit 1; ; wash complex subunit 1 (cxyorf1-like protein on chromosome 9) (protein fam39e) (was protein family homolog 1) name: washc1; synonyms: fam39e, wash1;  	False
A8K2U0	Other / unclassified	Other / unclassified	A2ML1	A2ML1_HUMAN	Alpha-2-macroglobulin-like protein 1 precursor; ; Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9)	Name: A2ML1; Synonyms: CPAMD9;			a8k2u0 a2ml1 a2ml1_human alpha-2-macroglobulin-like protein 1 precursor; ; alpha-2-macroglobulin-like protein 1 (c3 and pzp-like alpha-2-macroglobulin domain-containing protein 9) name: a2ml1; synonyms: cpamd9;  	False
A8K855	Other / unclassified	Other / unclassified	EFCAB7	EFCB7_HUMAN	EF-hand calcium-binding domain-containing protein 7; ; EF-hand calcium-binding domain-containing protein 7	Name: EFCAB7; Synonyms: KIAA1799;			a8k855 efcab7 efcb7_human ef-hand calcium-binding domain-containing protein 7; ; ef-hand calcium-binding domain-containing protein 7 name: efcab7; synonyms: kiaa1799;  	False
A8K8P3	Other / unclassified	Other / unclassified	SFI1	SFI1_HUMAN	Protein SFI1 homolog; ; Protein SFI1 homolog (hSFI1)	Name: SFI1; Synonyms: KIAA0542;			a8k8p3 sfi1 sfi1_human protein sfi1 homolog; ; protein sfi1 homolog (hsfi1) name: sfi1; synonyms: kiaa0542;  	False
A8MQ03	Other / unclassified	Other / unclassified	CYSRT1	CRTP1_HUMAN	Cysteine-rich tail protein 1				a8mq03 cysrt1 crtp1_human cysteine-rich tail protein 1   	False
A8MSI8	Other / unclassified	Other / unclassified	LYRM9	LYRM9_HUMAN	LYR motif-containing protein 9				a8msi8 lyrm9 lyrm9_human lyr motif-containing protein 9   	False
A8MT33	Other / unclassified	Other / unclassified	SYCE1L	SYC1L_HUMAN	Synaptonemal complex central element protein 1-like (Meiosis-related protein)				a8mt33 syce1l syc1l_human synaptonemal complex central element protein 1-like (meiosis-related protein)   	False
A8MT70	Other / unclassified	Other / unclassified	ZBBX	ZBBX_HUMAN	Zinc finger B-box domain-containing protein 1				a8mt70 zbbx zbbx_human zinc finger b-box domain-containing protein 1   	False
A8MTJ3	Other / unclassified	Other / unclassified	GNAT3	GNAT3_HUMAN	Guanine nucleotide-binding protein G(t) subunit alpha-3; ; Guanine nucleotide-binding protein G(t) subunit alpha-3 (Gustducin alpha-3 chain)	Name: GNAT3;			a8mtj3 gnat3 gnat3_human guanine nucleotide-binding protein g(t) subunit alpha-3; ; guanine nucleotide-binding protein g(t) subunit alpha-3 (gustducin alpha-3 chain) name: gnat3;  	False
A8MTL0	Other / unclassified	Other / unclassified	IQCF5	IQCF5_HUMAN	IQ domain-containing protein F5				a8mtl0 iqcf5 iqcf5_human iq domain-containing protein f5   	False
A8MTL9	Other / unclassified	Other / unclassified	HMSD	HMSD_HUMAN	Serpin-like protein HMSD (Minor histocompatibility protein HMSD) (Minor histocompatibility serpin domain-containing protein)				a8mtl9 hmsd hmsd_human serpin-like protein hmsd (minor histocompatibility protein hmsd) (minor histocompatibility serpin domain-containing protein)   	False
A8MTT3	Other / unclassified	Other / unclassified	CEBPZOS	CEBOS_HUMAN	Protein CEBPZOS (CEBPZ antisense RNA 1) (CEBPZ opposite strand)				a8mtt3 cebpzos cebos_human protein cebpzos (cebpz antisense rna 1) (cebpz opposite strand)   	False
A8MU46	Other / unclassified	Other / unclassified	SMTNL1	SMTL1_HUMAN	Smoothelin-like protein 1				a8mu46 smtnl1 smtl1_human smoothelin-like protein 1   	False
A8MUM7	Other / unclassified	Other / unclassified	LGALS16	LEG16_HUMAN	Galectin-16				a8mum7 lgals16 leg16_human galectin-16   	False
A8MUP6	Other / unclassified	Other / unclassified	GSG1L2	GS1L2_HUMAN	Germ cell-specific gene 1-like protein 2 (GSG1-like protein 2)				a8mup6 gsg1l2 gs1l2_human germ cell-specific gene 1-like protein 2 (gsg1-like protein 2)   	False
A8MV23	Other / unclassified	Other / unclassified	SERPINE3	SERP3_HUMAN	Serpin E3				a8mv23 serpine3 serp3_human serpin e3   	False
A8MV81	Other / unclassified	Other / unclassified	HIGD1C	HIG1C_HUMAN	HIG1 domain family member 1C				a8mv81 higd1c hig1c_human hig1 domain family member 1c   	False
A8MVW0	Other / unclassified	Other / unclassified	FAM171A2	F1712_HUMAN	Protein FAM171A2 precursor; ; Protein FAM171A2	Name: FAM171A2;			a8mvw0 fam171a2 f1712_human protein fam171a2 precursor; ; protein fam171a2 name: fam171a2;  	False
A8MVX0	Other / unclassified	Other / unclassified	ARHGEF33	ARG33_HUMAN	Rho guanine nucleotide exchange factor 33				a8mvx0 arhgef33 arg33_human rho guanine nucleotide exchange factor 33   	False
A8MW99	Other / unclassified	Other / unclassified	MEI4	MEI4_HUMAN	Meiosis-specific protein MEI4				a8mw99 mei4 mei4_human meiosis-specific protein mei4   	False
A8MWA6	Other / unclassified	Other / unclassified	FAM90A22	F90AM_HUMAN	Protein FAM90A22				a8mwa6 fam90a22 f90am_human protein fam90a22   	False
A8MWE9	Other / unclassified	Other / unclassified	EFCAB8	EFCB8_HUMAN	EF-hand calcium-binding domain-containing protein 8				a8mwe9 efcab8 efcb8_human ef-hand calcium-binding domain-containing protein 8   	False
A8MX19	Other / unclassified	Other / unclassified	FAM90A12	F90AC_HUMAN	Protein FAM90A12 (Protein FAM90A12P)				a8mx19 fam90a12 f90ac_human protein fam90a12 (protein fam90a12p)   	False
A8MX76	Other / unclassified	Other / unclassified	CAPN14	CAN14_HUMAN	Calpain-14 (EC 3.4.22.-) (Calcium-activated neutral proteinase 14) (CANP 14)				a8mx76 capn14 can14_human calpain-14 (ec 3.4.22.-) (calcium-activated neutral proteinase 14) (canp 14)   	False
A8MXD5	Other / unclassified	Other / unclassified	GRXCR1	GRCR1_HUMAN	Glutaredoxin domain-containing cysteine-rich protein 1				a8mxd5 grxcr1 grcr1_human glutaredoxin domain-containing cysteine-rich protein 1   	False
A8MXJ8	Other / unclassified	Other / unclassified	FAM90A5	F90A5_HUMAN	Protein FAM90A5				a8mxj8 fam90a5 f90a5_human protein fam90a5   	False
A8MXQ7	Other / unclassified	Other / unclassified	IQANK1	IQAK1_HUMAN	IQ motif and ankyrin repeat domain-containing protein 1				a8mxq7 iqank1 iqak1_human iq motif and ankyrin repeat domain-containing protein 1   	False
A8MXT2	Other / unclassified	Other / unclassified	MAGEB17	MAGBH_HUMAN	Melanoma-associated antigen B17				a8mxt2 mageb17 magbh_human melanoma-associated antigen b17   	False
A8MXV6	Other / unclassified	Other / unclassified	CDRT15L2	CD15L_HUMAN	CMT1A duplicated region transcript 15 protein-like protein; ; CMT1A duplicated region transcript 15 protein-like protein	Name: CDRT15L2;			a8mxv6 cdrt15l2 cd15l_human cmt1a duplicated region transcript 15 protein-like protein; ; cmt1a duplicated region transcript 15 protein-like protein name: cdrt15l2;  	False
A8MXZ1	Other / unclassified	Other / unclassified	FAM90A23	F90AN_HUMAN	Protein FAM90A23				a8mxz1 fam90a23 f90an_human protein fam90a23   	False
A8MY62	Other / unclassified	Other / unclassified	LACTBL1	BLML_HUMAN	Beta-lactamase-like protein 1				a8my62 lactbl1 blml_human beta-lactamase-like protein 1   	False
A8MYV0	Other / unclassified	Other / unclassified	DCDC2C	DCD2C_HUMAN	Doublecortin domain-containing protein 2C				a8myv0 dcdc2c dcd2c_human doublecortin domain-containing protein 2c   	False
A8MYZ5	Other / unclassified	Other / unclassified	IQCF6	IQCF6_HUMAN	IQ domain-containing protein F6				a8myz5 iqcf6 iqcf6_human iq domain-containing protein f6   	False
A8MZ26	Other / unclassified	Other / unclassified	EFCAB9	EFCB9_HUMAN	EF-hand calcium-binding domain-containing protein 9				a8mz26 efcab9 efcb9_human ef-hand calcium-binding domain-containing protein 9   	False
A8MZ36	Other / unclassified	Other / unclassified	EVPLL	EVPLL_HUMAN	Envoplakin-like protein				a8mz36 evpll evpll_human envoplakin-like protein   	False
A8MZF0	Other / unclassified	Other / unclassified	PRR33	PRR33_HUMAN	Proline-rich protein 33				a8mzf0 prr33 prr33_human proline-rich protein 33   	False
A9QM74	Other / unclassified	Other / unclassified	KPNA7	IMA8_HUMAN	Importin subunit alpha-8; ; Importin subunit alpha-8 (Karyopherin subunit alpha-7)	Name: KPNA7;			a9qm74 kpna7 ima8_human importin subunit alpha-8; ; importin subunit alpha-8 (karyopherin subunit alpha-7) name: kpna7;  	False
B0FP48	Other / unclassified	Other / unclassified	UPK3BL1	UPK3L_HUMAN	Uroplakin-3b-like protein 1 precursor; ; Uroplakin-3b-like protein 1	Name: UPK3BL1; Synonyms: UPLP;			b0fp48 upk3bl1 upk3l_human uroplakin-3b-like protein 1 precursor; ; uroplakin-3b-like protein 1 name: upk3bl1; synonyms: uplp;  	False
B1AH63	Other / unclassified	Other / unclassified	MPPED1						b1ah63 mpped1     	True
B1AHF6	Other / unclassified	Other / unclassified	PRR5						b1ahf6 prr5     	True
B1AKI9	Other / unclassified	Other / unclassified	ISM1	ISM1_HUMAN	Isthmin-1				b1aki9 ism1 ism1_human isthmin-1   	False
B1AL46	Other / unclassified	Other / unclassified	NUTM2E	NTM2E_HUMAN	NUT family member 2E				b1al46 nutm2e ntm2e_human nut family member 2e   	False
B1ANS9	Other / unclassified	Other / unclassified	WDR64	WDR64_HUMAN	WD repeat-containing protein 64				b1ans9 wdr64 wdr64_human wd repeat-containing protein 64   	False
B1ATL7	Other / unclassified	Other / unclassified	PRR32	PRR32_HUMAN	Proline-rich protein 32				b1atl7 prr32 prr32_human proline-rich protein 32   	False
B2CW77	Other / unclassified	Other / unclassified	KLLN	KILIN_HUMAN	Killin				b2cw77 klln kilin_human killin   	False
B2RBV5	Other / unclassified	Other / unclassified	MRFAP1L2	MR1L2_HUMAN	MORF4 family associated protein 1 like 2 (MORF4 family-associated protein 1-like protein UPP) (Unnamed protein product) (UPP)				b2rbv5 mrfap1l2 mr1l2_human morf4 family associated protein 1 like 2 (morf4 family-associated protein 1-like protein upp) (unnamed protein product) (upp)   	False
B2RNN3	Other / unclassified	Other / unclassified	C1QTNF9B	C1T9B_HUMAN	Complement C1q and tumor necrosis factor-related protein 9B (C1q/TNF-related protein 9B) (CTRP9B) (Complement C1q and tumor necrosis factor-related protein 9-like)				b2rnn3 c1qtnf9b c1t9b_human complement c1q and tumor necrosis factor-related protein 9b (c1q/tnf-related protein 9b) (ctrp9b) (complement c1q and tumor necrosis factor-related protein 9-like)   	False
B2RPK0	Other / unclassified	Other / unclassified	HMGB1P1	HGB1A_HUMAN	High mobility group protein B1-like 1 (High mobility group protein 1-like 1) (HMG-1L1)				b2rpk0 hmgb1p1 hgb1a_human high mobility group protein b1-like 1 (high mobility group protein 1-like 1) (hmg-1l1)   	False
B2RU33	Other / unclassified	Other / unclassified	POTEC	POTEC_HUMAN	POTE ankyrin domain family member C (ANKRD26-like family B member 2) (Prostate, ovary, testis-expressed protein on chromosome 18) (POTE-18)				b2ru33 potec potec_human pote ankyrin domain family member c (ankrd26-like family b member 2) (prostate, ovary, testis-expressed protein on chromosome 18) (pote-18)   	False
B2RUY7	Other / unclassified	Other / unclassified	VWC2L	VWC2L_HUMAN	von Willebrand factor C domain-containing protein 2-like (VWC2-like protein) (Brorin-like)				b2ruy7 vwc2l vwc2l_human von willebrand factor c domain-containing protein 2-like (vwc2-like protein) (brorin-like)   	False
B2RV13	Other / unclassified	Other / unclassified	CFAP97D1	CF97D_HUMAN	Sperm axonemal maintenance protein CFAP97D1 (CFAP97 domain-containing protein 1)				b2rv13 cfap97d1 cf97d_human sperm axonemal maintenance protein cfap97d1 (cfap97 domain-containing protein 1)   	False
B2RXH4	Other / unclassified	Other / unclassified	BTBD18	BTBDI_HUMAN	BTB/POZ domain-containing protein 18				b2rxh4 btbd18 btbdi_human btb/poz domain-containing protein 18   	False
B3EWG3	Other / unclassified	Other / unclassified	FAM25A	FM25A_HUMAN	Protein FAM25A				b3ewg3 fam25a fm25a_human protein fam25a   	False
B3EWG5	Other / unclassified	Other / unclassified	FAM25C	FM25C_HUMAN	Protein FAM25C				b3ewg5 fam25c fm25c_human protein fam25c   	False
B3EWG6	Other / unclassified	Other / unclassified	FAM25G	FM25G_HUMAN	Protein FAM25G				b3ewg6 fam25g fm25g_human protein fam25g   	False
B3KU38	Other / unclassified	Other / unclassified	IQCJ-SCHIP1	IQIP1_HUMAN	IQCJ-SCHIP1 readthrough transcript protein; ; IQCJ-SCHIP1 readthrough transcript protein	Name: IQCJ-SCHIP1;			b3ku38 iqcj-schip1 iqip1_human iqcj-schip1 readthrough transcript protein; ; iqcj-schip1 readthrough transcript protein name: iqcj-schip1;  	False
B4DH59	Other / unclassified	Other / unclassified	NBPF26	NBPFP_HUMAN	NBPF family member NBPF26 (Neuroblastoma breakpoint family member 26)				b4dh59 nbpf26 nbpfp_human nbpf family member nbpf26 (neuroblastoma breakpoint family member 26)   	False
B4DR61	Other / unclassified	Other / unclassified	SEC61A1						b4dr61 sec61a1     	True
B4DS77	Other / unclassified	Other / unclassified	SHISA9	SHSA9_HUMAN	Protein shisa-9 precursor; ; Protein shisa-9	Name: SHISA9;			b4ds77 shisa9 shsa9_human protein shisa-9 precursor; ; protein shisa-9 name: shisa9;  	False
B4E2M5	Other / unclassified	Other / unclassified	ANKRD66	ANR66_HUMAN	Ankyrin repeat domain-containing protein 66				b4e2m5 ankrd66 anr66_human ankyrin repeat domain-containing protein 66   	False
B4E2N0	Other / unclassified	Other / unclassified	LZIC						b4e2n0 lzic     	True
B5MCN3	Other / unclassified	Other / unclassified	SEC14L6	S14L6_HUMAN	SEC14-like protein 6		CRAL/TRIO, N-terminal domain superfamily ; CRAL-TRIO lipid binding domain superfamily ; CRAL/TRIO, N-terminal domain ; CRAL-TRIO lipid binding domain ; GOLD domain ; GOLD domain superfamily IPR036273 ; IPR036865 ; IPR011074 ; IPR001251 ; IPR009038 ; IPR036598 homologous_superfamily ; domain		b5mcn3 sec14l6 s14l6_human sec14-like protein 6  cral/trio, n-terminal domain superfamily ; cral-trio lipid binding domain superfamily ; cral/trio, n-terminal domain ; cral-trio lipid binding domain ; gold domain ; gold domain superfamily ipr036273 ; ipr036865 ; ipr011074 ; ipr001251 ; ipr009038 ; ipr036598 homologous_superfamily ; domain 	True
B5MDA0	Other / unclassified	Other / unclassified	WDR73						b5mda0 wdr73     	True
B5TJY2	Other / unclassified	Other / unclassified	FERMT2						b5tjy2 fermt2     	True
B6SEH8	Other / unclassified	Other / unclassified	ERVV-1	ERVV1_HUMAN	Endogenous retrovirus group V member 1 Env polyprotein (HERV-V_19q13.41 provirus ancestral Env polyprotein 1)				b6seh8 ervv-1 ervv1_human endogenous retrovirus group v member 1 env polyprotein (herv-v_19q13.41 provirus ancestral env polyprotein 1)   	False
B6SEH9	Other / unclassified	Other / unclassified	ERVV-2	ERVV2_HUMAN	Endogenous retrovirus group V member 2 Env polyprotein (HERV-V_19q13.41 provirus ancestral Env polyprotein 2)				b6seh9 ervv-2 ervv2_human endogenous retrovirus group v member 2 env polyprotein (herv-v_19q13.41 provirus ancestral env polyprotein 2)   	False
B7Z1M9	Other / unclassified	Other / unclassified	C2CD4D	C2D4D_HUMAN	C2 calcium-dependent domain-containing protein 4D				b7z1m9 c2cd4d c2d4d_human c2 calcium-dependent domain-containing protein 4d   	False
B8ZZ34	Other / unclassified	Other / unclassified	SHISA8	SHSA8_HUMAN	Protein shisa-8 (Shisa family member 8)		Shisa, N-terminal domain IPR053891 domain		b8zz34 shisa8 shsa8_human protein shisa-8 (shisa family member 8)  shisa, n-terminal domain ipr053891 domain 	True
B8ZZB5	Other / unclassified	Other / unclassified	SH2D7						b8zzb5 sh2d7     	True
B9A6I9	Other / unclassified	Other / unclassified	EVI5L						b9a6i9 evi5l     	True
C0HM98	Other / unclassified	Other / unclassified	CTBP1-DT	DDUP_HUMAN	DNA damage up-regulated protein (DDUP)				c0hm98 ctbp1-dt ddup_human dna damage up-regulated protein (ddup)   	False
C0HMD7	Other / unclassified	Other / unclassified	InSet4-G	INS4G_HUMAN	Protein InSETG-4				c0hmd7 inset4-g ins4g_human protein insetg-4   	False
C4P0B0	Other / unclassified	Other / unclassified	DISC1						c4p0b0 disc1     	True
C9J1S8	Other / unclassified	Other / unclassified	TRIM49D1; TRIM49D2	TR49D_HUMAN	Tripartite motif-containing protein 49D (Tripartite motif-containing protein 49-like protein) (Tripartite motif-containing protein 49D1) (Tripartite motif-containing protein 49D2)				c9j1s8 trim49d1; trim49d2 tr49d_human tripartite motif-containing protein 49d (tripartite motif-containing protein 49-like protein) (tripartite motif-containing protein 49d1) (tripartite motif-containing protein 49d2)   	False
C9J3V5	Other / unclassified	Other / unclassified	TEX22	TEX22_HUMAN	Testis-expressed protein 22				c9j3v5 tex22 tex22_human testis-expressed protein 22   	False
C9J7I0	Other / unclassified	Other / unclassified	UMAD1	UMAD1_HUMAN	UBAP1-MVB12-associated (UMA)-domain containing protein 1 (RPA3 antisense RNA 1) (RPA3 opposite strand)				c9j7i0 umad1 umad1_human ubap1-mvb12-associated (uma)-domain containing protein 1 (rpa3 antisense rna 1) (rpa3 opposite strand)   	False
C9JDP6	Other / unclassified	Other / unclassified	CLDN25	CLD25_HUMAN	Claudin-25				c9jdp6 cldn25 cld25_human claudin-25   	False
C9JE40	Other / unclassified	Other / unclassified	PATL2	PATL2_HUMAN	Protein PAT1 homolog 2 (PAT1-like protein 2) (Protein PAT1 homolog a) (Pat1a) (hPat1a)				c9je40 patl2 patl2_human protein pat1 homolog 2 (pat1-like protein 2) (protein pat1 homolog a) (pat1a) (hpat1a)   	False
C9JFL3	Other / unclassified	Other / unclassified	PHGR1	PHGR1_HUMAN	Proline, histidine and glycine-rich protein 1				c9jfl3 phgr1 phgr1_human proline, histidine and glycine-rich protein 1   	False
C9JJ37	Other / unclassified	Other / unclassified	BTBD19	BTBDJ_HUMAN	BTB/POZ domain-containing protein 19; ; BTB/POZ domain-containing protein 19	Name: BTBD19;			c9jj37 btbd19 btbdj_human btb/poz domain-containing protein 19; ; btb/poz domain-containing protein 19 name: btbd19;  	False
C9JL84	Other / unclassified	Other / unclassified	HHLA1	HHLA1_HUMAN	HERV-H LTR-associating protein 1				c9jl84 hhla1 hhla1_human herv-h ltr-associating protein 1   	False
C9JPG0	Other / unclassified	Other / unclassified	SCRN1						c9jpg0 scrn1     	True
C9JR72	Other / unclassified	Other / unclassified	KBTBD13	KBTBD_HUMAN	Kelch repeat and BTB domain-containing protein 13				c9jr72 kbtbd13 kbtbd_human kelch repeat and btb domain-containing protein 13   	False
C9JTQ0	Other / unclassified	Other / unclassified	ANKRD63	ANR63_HUMAN	Ankyrin repeat domain-containing protein 63				c9jtq0 ankrd63 anr63_human ankyrin repeat domain-containing protein 63   	False
C9JW99	Other / unclassified	Other / unclassified	VWA5B2						c9jw99 vwa5b2     	True
C9K0D3	Other / unclassified	Other / unclassified	MLF1						c9k0d3 mlf1     	True
D3DTV9	Other / unclassified	Other / unclassified	PRAC2	PRAC2_HUMAN	Protein PRAC2 (Prostate, rectum and colon expressed gene protein 2)				d3dtv9 prac2 prac2_human protein prac2 (prostate, rectum and colon expressed gene protein 2)   	False
D6REC4	Other / unclassified	Other / unclassified	CFAP99	CFA99_HUMAN	Cilia- and flagella-associated protein 99				d6rec4 cfap99 cfa99_human cilia- and flagella-associated protein 99   	False
D6RG30	Other / unclassified	Other / unclassified	ASTE1				XPG, N-terminal ; PIN-like domain superfamily ; Asteroid, C-terminal domain IPR006085 ; IPR029060 ; IPR060554 domain ; homologous_superfamily		d6rg30 aste1    xpg, n-terminal ; pin-like domain superfamily ; asteroid, c-terminal domain ipr006085 ; ipr029060 ; ipr060554 domain ; homologous_superfamily 	True
