canonical_UniProtAC	functional_class_broad	functional_class_subclass	substrate_genename	UniProtID	protein_name	genename	interpro_annotation_text	interpro_domain_classes	annotation_text	is_arg_methyl_protein
P0DPK4	Other / unclassified	Other / unclassified	NOTCH2NLC	NT2NC_HUMAN	Notch homolog 2 N-terminal-like protein C				p0dpk4 notch2nlc nt2nc_human notch homolog 2 n-terminal-like protein c   	False
P0DPK5	Chromatin / transcription	Other / unclassified	H3Y2	H3Y2_HUMAN	Histone H3.X (Histone H3.Y2)				p0dpk5 h3y2 h3y2_human histone h3.x (histone h3.y2)   	False
P0DPP9	Other / unclassified	Other / unclassified	ETDB	ETDB_HUMAN	Embryonic testis differentiation protein homolog B				p0dpp9 etdb etdb_human embryonic testis differentiation protein homolog b   	False
P0DPQ3	Other / unclassified	Other / unclassified	PRR20G	PR20G_HUMAN	Proline-rich protein 20G				p0dpq3 prr20g pr20g_human proline-rich protein 20g   	False
P0DSN7	Membrane / receptor / extracellular	Other / unclassified	IGKV1D-37	KVD37_HUMAN	Probable non-functional immunoglobulin kappa variable 1D-37				p0dsn7 igkv1d-37 kvd37_human probable non-functional immunoglobulin kappa variable 1d-37   	False
P0DSO1	Other / unclassified	Other / unclassified	FAM246C	F246C_HUMAN	Protein FAM246C				p0dso1 fam246c f246c_human protein fam246c   	False
P0DTA3	Other / unclassified	Other / unclassified	SPDYE11	SPD11_HUMAN	Speedy protein E11				p0dta3 spdye11 spd11_human speedy protein e11   	False
P0DTE1	Membrane / receptor / extracellular	Other / unclassified	IGHV3-38-3	HV383_HUMAN	Probable non-functional immunoglobulin heavy variable 3-38-3				p0dte1 ighv3-38-3 hv383_human probable non-functional immunoglobulin heavy variable 3-38-3   	False
P0DTE2	Membrane / receptor / extracellular	Other / unclassified	IGHV8-51-1	HV511_HUMAN	Probable non-functional immunoglobulin heavy variable 8-51-1				p0dte2 ighv8-51-1 hv511_human probable non-functional immunoglobulin heavy variable 8-51-1   	False
P0DTE7	Other / unclassified	Other / unclassified	AMY1B	AMY1B_HUMAN	Alpha-amylase 1B precursor; ; Alpha-amylase 1B (EC 3.2.1.1)	Name: AMY1B; Synonyms: AMY1;			p0dte7 amy1b amy1b_human alpha-amylase 1b precursor; ; alpha-amylase 1b (ec 3.2.1.1) name: amy1b; synonyms: amy1;  	False
P0DTE8	Other / unclassified	Other / unclassified	AMY1C	AMY1C_HUMAN	Alpha-amylase 1C precursor; ; Alpha-amylase 1C (EC 3.2.1.1)	Name: AMY1C; Synonyms: AMY1;			p0dte8 amy1c amy1c_human alpha-amylase 1c precursor; ; alpha-amylase 1c (ec 3.2.1.1) name: amy1c; synonyms: amy1;  	False
P0DTF9	Other / unclassified	Other / unclassified	PTTG1IP2	PTIP2_HUMAN	PTTG1IP family member 2				p0dtf9 pttg1ip2 ptip2_human pttg1ip family member 2   	False
P0DTL4	Membrane / receptor / extracellular	Other / unclassified	LY6S	LY6S_HUMAN	Lymphocyte antigen 6S				p0dtl4 ly6s ly6s_human lymphocyte antigen 6s   	False
P0DTL6	Other / unclassified	Other / unclassified	ZFTRAF1	ZTRF1_HUMAN	Zinc finger TRAF-type-containing protein 1 (Cysteine and histidine-rich protein 1)				p0dtl6 zftraf1 ztrf1_human zinc finger traf-type-containing protein 1 (cysteine and histidine-rich protein 1)   	False
P0DTW3	Membrane / receptor / extracellular	Other / unclassified	IGHV1-38-4	HV384_HUMAN	Probable non-functional immunoglobulin heavy variable 1-38-4				p0dtw3 ighv1-38-4 hv384_human probable non-functional immunoglobulin heavy variable 1-38-4   	False
P0DUB6	Other / unclassified	Other / unclassified	AMY1A	AMY1A_HUMAN	Alpha-amylase 1A precursor; ; Alpha-amylase 1A (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase 1) (Salivary alpha-amylase)	Name: AMY1A; Synonyms: AMY1;			p0dub6 amy1a amy1a_human alpha-amylase 1a precursor; ; alpha-amylase 1a (ec 3.2.1.1) (1,4-alpha-d-glucan glucanohydrolase 1) (salivary alpha-amylase) name: amy1a; synonyms: amy1;  	False
P0DUD1	Other / unclassified	Other / unclassified	SPDYE8	SPD8_HUMAN	Speedy protein E8				p0dud1 spdye8 spd8_human speedy protein e8   	False
P0DUD2	Other / unclassified	Other / unclassified	SPDYE17	SPD17_HUMAN	Speedy protein E17				p0dud2 spdye17 spd17_human speedy protein e17   	False
P0DUD3	Other / unclassified	Other / unclassified	SPDYE14	SPD14_HUMAN	Speedy protein E14				p0dud3 spdye14 spd14_human speedy protein e14   	False
P0DUD4	Other / unclassified	Other / unclassified	SPDYE15	SPD15_HUMAN	Speedy protein E15				p0dud4 spdye15 spd15_human speedy protein e15   	False
P0DUQ1	Other / unclassified	Other / unclassified	PRAMEF15	PRA15_HUMAN	PRAME family member 15				p0duq1 pramef15 pra15_human prame family member 15   	False
P0DUQ2	Other / unclassified	Other / unclassified	PRAMEF9	PRAM9_HUMAN	PRAME family member 9				p0duq2 pramef9 pram9_human prame family member 9   	False
P0DUX0	Other / unclassified	Other / unclassified	SPDYE10	SPD10_HUMAN	Speedy protein E10				p0dux0 spdye10 spd10_human speedy protein e10   	False
P0DUX1	Other / unclassified	Other / unclassified	SPDYE12	SPD12_HUMAN	Speedy protein E12				p0dux1 spdye12 spd12_human speedy protein e12   	False
P0DV60	Other / unclassified	Other / unclassified	LCE7A	LCE7A_HUMAN	Late cornified envelope protein 7A				p0dv60 lce7a lce7a_human late cornified envelope protein 7a   	False
P0DV73	Other / unclassified	Other / unclassified	FAM90A16	F90AG_HUMAN	Protein FAM90A16				p0dv73 fam90a16 f90ag_human protein fam90a16   	False
P0DV74	Other / unclassified	Other / unclassified	FAM90A17	F90AH_HUMAN	Protein FAM90A17				p0dv74 fam90a17 f90ah_human protein fam90a17   	False
P0DV75	Other / unclassified	Other / unclassified	FAM90A18	F90AI_HUMAN	Protein FAM90A18				p0dv75 fam90a18 f90ai_human protein fam90a18   	False
P0DV76	Other / unclassified	Other / unclassified	FAM90A19	F90AJ_HUMAN	Protein FAM90A19				p0dv76 fam90a19 f90aj_human protein fam90a19   	False
P0DV79	Other / unclassified	Other / unclassified	SPDYE18	SPD18_HUMAN	Speedy protein E18				p0dv79 spdye18 spd18_human speedy protein e18   	False
P0DW81	Other / unclassified	Other / unclassified	MARCHF6-DT	PACMP_HUMAN	Poly-ADP-ribosylation-amplifying and CtIP-maintaining micropeptide (PAR-amplifying and CtIP-maintaining micropeptide)				p0dw81 marchf6-dt pacmp_human poly-adp-ribosylation-amplifying and ctip-maintaining micropeptide (par-amplifying and ctip-maintaining micropeptide)   	False
P0DW85	Chromatin / transcription	Other / unclassified	H2BN1	H2BN1_HUMAN	Histone H2B.N (H2B.N) (H2B.N variant histone 1)				p0dw85 h2bn1 h2bn1_human histone h2b.n (h2b.n) (h2b.n variant histone 1)   	False
P0DX04	Other / unclassified	Other / unclassified	TMSB15C	TB15C_HUMAN	Thymosin beta-15C				p0dx04 tmsb15c tb15c_human thymosin beta-15c   	False
P0DXC1	Other / unclassified	Other / unclassified	SRSP	SRSP_HUMAN	Splicing regulatory small protein				p0dxc1 srsp srsp_human splicing regulatory small protein   	False
P0DY26	Membrane / receptor / extracellular	Other / unclassified	DEFB109D	D109D_HUMAN	Beta-defensin 109D				p0dy26 defb109d d109d_human beta-defensin 109d   	False
P0DY27	Membrane / receptor / extracellular	Other / unclassified	DEFB109C	D109C_HUMAN	Beta-defensin 109C				p0dy27 defb109c d109c_human beta-defensin 109c   	False
P10082	Other / unclassified	Other / unclassified	PYY	PYY_HUMAN	Peptide YY (PYY) (PYY-I) (Peptide tyrosine tyrosine) [Cleaved into: Peptide YY(3-36) (PYY-II)]				p10082 pyy pyy_human peptide yy (pyy) (pyy-i) (peptide tyrosine tyrosine) [cleaved into: peptide yy(3-36) (pyy-ii)]   	False
P10092	Other / unclassified	Other / unclassified	CALCB	CALCB_HUMAN	Calcitonin gene-related peptide 2 precursor; ; Calcitonin gene-related peptide 2 (CGRP2) (Beta-type CGRP) (Beta-CGRP) (Calcitonin gene-related peptide II) (CGRP-II)	Name: CALCB; Synonyms: CALC2;			p10092 calcb calcb_human calcitonin gene-related peptide 2 precursor; ; calcitonin gene-related peptide 2 (cgrp2) (beta-type cgrp) (beta-cgrp) (calcitonin gene-related peptide ii) (cgrp-ii) name: calcb; synonyms: calc2;  	False
P10114	Other / unclassified	Other / unclassified	RAP2A	RAP2A_HUMAN	Ras-related protein Rap-2a precursor; ; Ras-related protein Rap-2a (EC 3.6.5.2) (RbBP-30)	Name: RAP2A;			p10114 rap2a rap2a_human ras-related protein rap-2a precursor; ; ras-related protein rap-2a (ec 3.6.5.2) (rbbp-30) name: rap2a;  	False
P10124	DNA repair / genome maintenance	Other / unclassified	SRGN	SRGN_HUMAN	Serglycin precursor; ; Serglycin (Hematopoietic proteoglycan core protein) (Platelet proteoglycan core protein) (P.PG) (Secretory granule proteoglycan core protein)	Name: SRGN; Synonyms: PRG, PRG1;			p10124 srgn srgn_human serglycin precursor; ; serglycin (hematopoietic proteoglycan core protein) (platelet proteoglycan core protein) (p.pg) (secretory granule proteoglycan core protein) name: srgn; synonyms: prg, prg1;  	False
P10145	Other / unclassified	Other / unclassified	CXCL8	IL8_HUMAN	Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8) (Emoctakin) (Granulocyte chemotactic protein 1) (GCP-1) (Monocyte-derived neutrophil chemotactic factor) (MDNCF) (Monocyte-derived neutrophil-activating peptide) (MONAP) (Neutrophil-activating protein 1) (NAP-1) (Protein 3-10C) (T-cell chemotactic factor) [Cleaved into: MDNCF-a (GCP/IL-8 protein IV) (IL8/NAP1 form I); Interleukin-8 ((Ala-IL-8)77) (GCP/IL-8 protein II) (IL-8(1-77)) (IL8/NAP1 form II) (MDNCF-b); IL-8(5-77); IL-8(6-77) ((Ser-IL-8)72) (GCP/IL-8 protein I) (IL8/NAP1 form III) (Lymphocyte-derived neutrophil-activating factor) (LYNAP) (MDNCF-c) (Neutrophil-activating factor) (NAF); IL-8(7-77) (GCP/IL-8 protein V) (IL8/NAP1 form IV); IL-8(8-77) (GCP/IL-8 protein VI) (IL8/NAP1 form V); IL-8(9-77) (GCP/IL-8 protein III) (IL8/NAP1 form VI)]				p10145 cxcl8 il8_human interleukin-8 (il-8) (c-x-c motif chemokine 8) (chemokine (c-x-c motif) ligand 8) (emoctakin) (granulocyte chemotactic protein 1) (gcp-1) (monocyte-derived neutrophil chemotactic factor) (mdncf) (monocyte-derived neutrophil-activating peptide) (monap) (neutrophil-activating protein 1) (nap-1) (protein 3-10c) (t-cell chemotactic factor) [cleaved into: mdncf-a (gcp/il-8 protein iv) (il8/nap1 form i); interleukin-8 ((ala-il-8)77) (gcp/il-8 protein ii) (il-8(1-77)) (il8/nap1 form ii) (mdncf-b); il-8(5-77); il-8(6-77) ((ser-il-8)72) (gcp/il-8 protein i) (il8/nap1 form iii) (lymphocyte-derived neutrophil-activating factor) (lynap) (mdncf-c) (neutrophil-activating factor) (naf); il-8(7-77) (gcp/il-8 protein v) (il8/nap1 form iv); il-8(8-77) (gcp/il-8 protein vi) (il8/nap1 form v); il-8(9-77) (gcp/il-8 protein iii) (il8/nap1 form vi)]   	False
P10147	Other / unclassified	Other / unclassified	CCL3	CCL3_HUMAN	C-C motif chemokine 3 (G0/G1 switch regulatory protein 19-1) (Macrophage inflammatory protein 1-alpha) (MIP-1-alpha) (PAT 464.1) (SIS-beta) (Small-inducible cytokine A3) (Tonsillar lymphocyte LD78 alpha protein) [Cleaved into: MIP-1-alpha(4-69) (LD78-alpha(4-69))]				p10147 ccl3 ccl3_human c-c motif chemokine 3 (g0/g1 switch regulatory protein 19-1) (macrophage inflammatory protein 1-alpha) (mip-1-alpha) (pat 464.1) (sis-beta) (small-inducible cytokine a3) (tonsillar lymphocyte ld78 alpha protein) [cleaved into: mip-1-alpha(4-69) (ld78-alpha(4-69))]   	False
P10155	RNA-binding / RNP	Other / unclassified	RO60 ; TROVE2	RO60_HUMAN	RNA-binding protein RO60; ; RNA-binding protein RO60 (60 kDa SS-A/Ro ribonucleoprotein) (60 kDa Ro protein) (60 kDa ribonucleoprotein Ro) (RoRNP) (Ro 60 kDa autoantigen) (Ro60 autoantigen) (Sjoegren syndrome antigen A2) (Sjoegren syndrome type A antigen) (SS-A) (TROVE domain family member 2)	Name: RO60; Synonyms: SSA2; TROVE2;			p10155 ro60 ; trove2 ro60_human rna-binding protein ro60; ; rna-binding protein ro60 (60 kda ss-a/ro ribonucleoprotein) (60 kda ro protein) (60 kda ribonucleoprotein ro) (rornp) (ro 60 kda autoantigen) (ro60 autoantigen) (sjoegren syndrome antigen a2) (sjoegren syndrome type a antigen) (ss-a) (trove domain family member 2) name: ro60; synonyms: ssa2; trove2;  	True
P10163	Other / unclassified	Other / unclassified	PRB4	PRB4_HUMAN	Basic salivary proline-rich protein 4 precursor; ; Basic salivary proline-rich protein 4 (Salivary proline-rich protein Po) (Parotid o protein) (Salivary proline-rich protein II-1) [Cleaved into: Protein N1; Glycosylated protein A; Peptide P-D (Proline-rich peptide IB-5)]	Name: PRB4;			p10163 prb4 prb4_human basic salivary proline-rich protein 4 precursor; ; basic salivary proline-rich protein 4 (salivary proline-rich protein po) (parotid o protein) (salivary proline-rich protein ii-1) [cleaved into: protein n1; glycosylated protein a; peptide p-d (proline-rich peptide ib-5)] name: prb4;  	False
P10243	Other / unclassified	Other / unclassified	MYBL1	MYBA_HUMAN	Myb-related protein A; ; Myb-related protein A (A-Myb) (Myb-like protein 1)	Name: MYBL1; Synonyms: AMYB;			p10243 mybl1 myba_human myb-related protein a; ; myb-related protein a (a-myb) (myb-like protein 1) name: mybl1; synonyms: amyb;  	False
P10244	Other / unclassified	Other / unclassified	MYBL2	MYBB_HUMAN	Myb-related protein B; ; Myb-related protein B (B-Myb) (Myb-like protein 2)	Name: MYBL2; Synonyms: BMYB;	SANT/Myb domain ; Myb domain ; Homedomain-like superfamily ; C-myb, C-terminal IPR001005 ; IPR017930 ; IPR009057 ; IPR015395 domain ; homologous_superfamily		p10244 mybl2 mybb_human myb-related protein b; ; myb-related protein b (b-myb) (myb-like protein 2) name: mybl2; synonyms: bmyb; sant/myb domain ; myb domain ; homedomain-like superfamily ; c-myb, c-terminal ipr001005 ; ipr017930 ; ipr009057 ; ipr015395 domain ; homologous_superfamily 	True
P10265	Signaling / enzymes	Other / unclassified	ERVK-10	VPK10_HUMAN	Endogenous retrovirus group K member 10 Pro protein (HERV-K10 Pro protein) (HERV-K107 Pro protein) (HERV-K_5q33.3 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)				p10265 ervk-10 vpk10_human endogenous retrovirus group k member 10 pro protein (herv-k10 pro protein) (herv-k107 pro protein) (herv-k_5q33.3 provirus ancestral pro protein) (ec 3.4.23.50) (protease) (proteinase) (pr)   	False
P10266	RNA-binding / RNP	Other / unclassified	ERVK-10	POK10_HUMAN	Endogenous retrovirus group K member 10 Pol protein (HERV-K10 Pol protein) (HERV-K107 Pol protein) (HERV-K_5q33.3 provirus ancestral Pol protein) [Includes: Reverse transcriptase (RT) (EC 2.7.7.49); Ribonuclease H (RNase H) (EC 3.1.26.4); Integrase (IN)]				p10266 ervk-10 pok10_human endogenous retrovirus group k member 10 pol protein (herv-k10 pol protein) (herv-k107 pol protein) (herv-k_5q33.3 provirus ancestral pol protein) [includes: reverse transcriptase (rt) (ec 2.7.7.49); ribonuclease h (rnase h) (ec 3.1.26.4); integrase (in)]   	False
P10321	Membrane / receptor / extracellular	Other / unclassified	HLA-C	HLAC_HUMAN	HLA class I histocompatibility antigen, C alpha chain precursor; ; HLA class I histocompatibility antigen, C alpha chain (HLA-C) (HLA-Cw) (Human leukocyte antigen C)	Name: HLA-C; Synonyms: HLAC;	MHC class I-like antigen recognition-like superfamily ; MHC class I-like antigen recognition-like ; MHC classes I/II-like antigen recognition protein ; MHC class I alpha chain, alpha1 alpha2 domains ; Immunoglobulin-like fold ; Immunoglobulin-like domain superfamily ; Immunoglobulin-like domain ; Immunoglobulin C1-set ; MHC class I, alpha chain, C-terminal IPR037055 ; IPR011161 ; IPR011162 ; IPR001039 ; IPR013783 ; IPR036179 ; IPR007110 ; IPR003597 ; IPR010579 homologous_superfamily ; domain		p10321 hla-c hlac_human hla class i histocompatibility antigen, c alpha chain precursor; ; hla class i histocompatibility antigen, c alpha chain (hla-c) (hla-cw) (human leukocyte antigen c) name: hla-c; synonyms: hlac; mhc class i-like antigen recognition-like superfamily ; mhc class i-like antigen recognition-like ; mhc classes i/ii-like antigen recognition protein ; mhc class i alpha chain, alpha1 alpha2 domains ; immunoglobulin-like fold ; immunoglobulin-like domain superfamily ; immunoglobulin-like domain ; immunoglobulin c1-set ; mhc class i, alpha chain, c-terminal ipr037055 ; ipr011161 ; ipr011162 ; ipr001039 ; ipr013783 ; ipr036179 ; ipr007110 ; ipr003597 ; ipr010579 homologous_superfamily ; domain 	True
P10323	Other / unclassified	Other / unclassified	ACR	ACRO_HUMAN	Acrosin (EC 3.4.21.10) [Cleaved into: Acrosin light chain; Acrosin heavy chain]				p10323 acr acro_human acrosin (ec 3.4.21.10) [cleaved into: acrosin light chain; acrosin heavy chain]   	False
P10415	Other / unclassified	Other / unclassified	BCL2	BCL2_HUMAN	Apoptosis regulator Bcl-2; ; Apoptosis regulator Bcl-2	Name: BCL2;			p10415 bcl2 bcl2_human apoptosis regulator bcl-2; ; apoptosis regulator bcl-2 name: bcl2;  	False
P10600	Other / unclassified	Other / unclassified	TGFB3	TGFB3_HUMAN	Transforming growth factor beta-3 proprotein precursor; ; Transforming growth factor beta-3 proprotein [Cleaved into: Latency-associated peptide (LAP); Transforming growth factor beta-3 (TGF-beta-3)]	Name: TGFB3;			p10600 tgfb3 tgfb3_human transforming growth factor beta-3 proprotein precursor; ; transforming growth factor beta-3 proprotein [cleaved into: latency-associated peptide (lap); transforming growth factor beta-3 (tgf-beta-3)] name: tgfb3;  	False
P10632	Other / unclassified	Other / unclassified	CYP2C8	CP2C8_HUMAN	Cytochrome P450 2C8; ; Cytochrome P450 2C8 (EC 1.14.14.1) (CYPIIC8) (Cytochrome P450 IIC2) (Cytochrome P450 MP-12) (Cytochrome P450 MP-20) (Cytochrome P450 form 1) (S-mephenytoin 4-hydroxylase)	Name: CYP2C8;			p10632 cyp2c8 cp2c8_human cytochrome p450 2c8; ; cytochrome p450 2c8 (ec 1.14.14.1) (cypiic8) (cytochrome p450 iic2) (cytochrome p450 mp-12) (cytochrome p450 mp-20) (cytochrome p450 form 1) (s-mephenytoin 4-hydroxylase) name: cyp2c8;  	False
P10635	Other / unclassified	Other / unclassified	CYP2D6	CP2D6_HUMAN	Cytochrome P450 2D6; ; Cytochrome P450 2D6 (EC 1.14.14.-) (CYPIID6) (Cholesterol 25-hydroxylase) (Cytochrome P450-DB1) (Debrisoquine 4-hydroxylase)	Name: CYP2D6; Synonyms: CYP2DL1;			p10635 cyp2d6 cp2d6_human cytochrome p450 2d6; ; cytochrome p450 2d6 (ec 1.14.14.-) (cypiid6) (cholesterol 25-hydroxylase) (cytochrome p450-db1) (debrisoquine 4-hydroxylase) name: cyp2d6; synonyms: cyp2dl1;  	False
P10643	Other / unclassified	Other / unclassified	C7	CO7_HUMAN	Complement component C7 precursor; ; Complement component C7	Name: C7;			p10643 c7 co7_human complement component c7 precursor; ; complement component c7 name: c7;  	False
P10645	Other / unclassified	Other / unclassified	CHGA	CMGA_HUMAN	Chromogranin-A precursor; ; Chromogranin-A (CgA) (Pituitary secretory protein I) (SP-I) [Cleaved into: Vasostatin-1 (Vasostatin I); Vasostatin-2 (Vasostatin II); EA-92; ES-43; Pancreastatin; SS-18; WA-8; WE-14; LF-19; Catestatin (SL21); AL-11; GV-19; GR-44; ER-37; GE-25; Serpinin-RRG; Serpinin; p-Glu serpinin precursor]	Name: CHGA;			p10645 chga cmga_human chromogranin-a precursor; ; chromogranin-a (cga) (pituitary secretory protein i) (sp-i) [cleaved into: vasostatin-1 (vasostatin i); vasostatin-2 (vasostatin ii); ea-92; es-43; pancreastatin; ss-18; wa-8; we-14; lf-19; catestatin (sl21); al-11; gv-19; gr-44; er-37; ge-25; serpinin-rrg; serpinin; p-glu serpinin precursor] name: chga;  	False
P10646	Other / unclassified	Other / unclassified	TFPI	TFPI1_HUMAN	Tissue factor pathway inhibitor precursor; ; Tissue factor pathway inhibitor (TFPI) (Extrinsic pathway inhibitor) (EPI) (Lipoprotein-associated coagulation inhibitor) (LACI)	Name: TFPI; Synonyms: LACI, TFPI1;			p10646 tfpi tfpi1_human tissue factor pathway inhibitor precursor; ; tissue factor pathway inhibitor (tfpi) (extrinsic pathway inhibitor) (epi) (lipoprotein-associated coagulation inhibitor) (laci) name: tfpi; synonyms: laci, tfpi1;  	False
P10720	Other / unclassified	Other / unclassified	PF4V1	PF4V_HUMAN	Platelet factor 4 variant (C-X-C motif chemokine 4 variant) (CXCL4L1) (PF4alt) (PF4var1) [Cleaved into: Platelet factor 4 variant(4-74); Platelet factor 4 variant(5-74); Platelet factor 4 variant(6-74)]				p10720 pf4v1 pf4v_human platelet factor 4 variant (c-x-c motif chemokine 4 variant) (cxcl4l1) (pf4alt) (pf4var1) [cleaved into: platelet factor 4 variant(4-74); platelet factor 4 variant(5-74); platelet factor 4 variant(6-74)]   	False
P10746	Other / unclassified	Other / unclassified	UROS	HEM4_HUMAN	Uroporphyrinogen-III synthase (UROIIIS) (UROS) (EC 4.2.1.75) (Hydroxymethylbilane hydrolyase [cyclizing]) (Uroporphyrinogen-III cosynthase)				p10746 uros hem4_human uroporphyrinogen-iii synthase (uroiiis) (uros) (ec 4.2.1.75) (hydroxymethylbilane hydrolyase [cyclizing]) (uroporphyrinogen-iii cosynthase)   	False
P10747	Membrane / receptor / extracellular	Other / unclassified	CD28	CD28_HUMAN	T-cell-specific surface glycoprotein CD28 precursor; ; T-cell-specific surface glycoprotein CD28 (TP44) (CD antigen CD28)	Name: CD28;			p10747 cd28 cd28_human t-cell-specific surface glycoprotein cd28 precursor; ; t-cell-specific surface glycoprotein cd28 (tp44) (cd antigen cd28) name: cd28;  	False
P10767	Other / unclassified	Other / unclassified	FGF6	FGF6_HUMAN	Fibroblast growth factor 6 (FGF-6) (Heparin secretory-transforming protein 2) (HST-2) (HSTF-2) (Heparin-binding growth factor 6) (HBGF-6)				p10767 fgf6 fgf6_human fibroblast growth factor 6 (fgf-6) (heparin secretory-transforming protein 2) (hst-2) (hstf-2) (heparin-binding growth factor 6) (hbgf-6)   	False
P10909	Membrane / receptor / extracellular	Other / unclassified	CLU	CLUS_HUMAN	Clusterin precursor; ; Clusterin (Aging-associated gene 4 protein) (Apolipoprotein J) (Apo-J) (Complement cytolysis inhibitor) (CLI) (Complement-associated protein SP-40,40) (Ku70-binding protein 1) (NA1/NA2) (Sulfated glycoprotein 2) (SGP-2) (Testosterone-repressed prostate message 2) (TRPM-2) [Cleaved into: Clusterin beta chain (ApoJalpha) (Complement cytolysis inhibitor a chain) (SP-40,40 beta-chain); Clusterin alpha chain (ApoJbeta) (Complement cytolysis inhibitor b chain) (SP-40,40 alpha-chain)]	Name: CLU; Synonyms: APOJ; CLI, KUB1; ORFNames: AAG4;			p10909 clu clus_human clusterin precursor; ; clusterin (aging-associated gene 4 protein) (apolipoprotein j) (apo-j) (complement cytolysis inhibitor) (cli) (complement-associated protein sp-40,40) (ku70-binding protein 1) (na1/na2) (sulfated glycoprotein 2) (sgp-2) (testosterone-repressed prostate message 2) (trpm-2) [cleaved into: clusterin beta chain (apojalpha) (complement cytolysis inhibitor a chain) (sp-40,40 beta-chain); clusterin alpha chain (apojbeta) (complement cytolysis inhibitor b chain) (sp-40,40 alpha-chain)] name: clu; synonyms: apoj; cli, kub1; orfnames: aag4;  	False
P10911	Other / unclassified	Other / unclassified	MCF2	MCF2_HUMAN	Proto-oncogene DBL; ; Proto-oncogene DBL (Proto-oncogene MCF-2) [Cleaved into: MCF2-transforming protein; DBL-transforming protein]	Name: MCF2; Synonyms: DBL;			p10911 mcf2 mcf2_human proto-oncogene dbl; ; proto-oncogene dbl (proto-oncogene mcf-2) [cleaved into: mcf2-transforming protein; dbl-transforming protein] name: mcf2; synonyms: dbl;  	False
P10914	Membrane / receptor / extracellular	Other / unclassified	IRF1	IRF1_HUMAN	Interferon regulatory factor 1; ; Interferon regulatory factor 1 (IRF-1)	Name: IRF1;			p10914 irf1 irf1_human interferon regulatory factor 1; ; interferon regulatory factor 1 (irf-1) name: irf1;  	False
P10966	Membrane / receptor / extracellular	Other / unclassified	CD8B	CD8B_HUMAN	T-cell surface glycoprotein CD8 beta chain (CD antigen CD8b)				p10966 cd8b cd8b_human t-cell surface glycoprotein cd8 beta chain (cd antigen cd8b)   	False
P10997	Other / unclassified	Other / unclassified	IAPP	IAPP_HUMAN	Islet amyloid polypeptide (IAPP) (Amylin) (Diabetes-associated peptide) (DAP) (Insulinoma amyloid peptide)				p10997 iapp iapp_human islet amyloid polypeptide (iapp) (amylin) (diabetes-associated peptide) (dap) (insulinoma amyloid peptide)   	False
P11049	Other / unclassified	Other / unclassified	CD37	CD37_HUMAN	Leukocyte antigen CD37; ; Leukocyte antigen CD37 (Tetraspanin-26) (Tspan-26) (CD antigen CD37)	Name: CD37; Synonyms: TSPAN26;			p11049 cd37 cd37_human leukocyte antigen cd37; ; leukocyte antigen cd37 (tetraspanin-26) (tspan-26) (cd antigen cd37) name: cd37; synonyms: tspan26;  	False
P11150	Other / unclassified	Other / unclassified	LIPC	LIPC_HUMAN	Hepatic triacylglycerol lipase (HL) (Hepatic lipase) (EC 3.1.1.3) (Lipase member C) (Lysophospholipase) (EC 3.1.1.5) (Phospholipase A1) (EC 3.1.1.32)				p11150 lipc lipc_human hepatic triacylglycerol lipase (hl) (hepatic lipase) (ec 3.1.1.3) (lipase member c) (lysophospholipase) (ec 3.1.1.5) (phospholipase a1) (ec 3.1.1.32)   	False
P11216	Other / unclassified	Other / unclassified	PYGB	PYGB_HUMAN	Glycogen phosphorylase, brain form; ; Glycogen phosphorylase, brain form (EC 2.4.1.1)	Name: PYGB;			p11216 pygb pygb_human glycogen phosphorylase, brain form; ; glycogen phosphorylase, brain form (ec 2.4.1.1) name: pygb;  	True
P11226	Other / unclassified	Other / unclassified	MBL2	MBL2_HUMAN	Mannose-binding protein C (MBP-C) (Collectin-1) (MBP1) (Mannan-binding protein) (Mannose-binding lectin)				p11226 mbl2 mbl2_human mannose-binding protein c (mbp-c) (collectin-1) (mbp1) (mannan-binding protein) (mannose-binding lectin)   	False
P11233	Other / unclassified	Other / unclassified	RALA	RALA_HUMAN	Ras-related protein Ral-A precursor; ; Ras-related protein Ral-A (EC 3.6.5.2)	Name: RALA; Synonyms: RAL;			p11233 rala rala_human ras-related protein ral-a precursor; ; ras-related protein ral-a (ec 3.6.5.2) name: rala; synonyms: ral;  	False
P11234	Other / unclassified	Other / unclassified	RALB	RALB_HUMAN	Ras-related protein Ral-B precursor; ; Ras-related protein Ral-B (EC 3.6.5.2)	Name: RALB;			p11234 ralb ralb_human ras-related protein ral-b precursor; ; ras-related protein ral-b (ec 3.6.5.2) name: ralb;  	False
P11274	Other / unclassified	Other / unclassified	BCR	BCR_HUMAN	Breakpoint cluster region protein; ; Breakpoint cluster region protein (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-26)	Name: BCR; Synonyms: BCR1, D22S11;			p11274 bcr bcr_human breakpoint cluster region protein; ; breakpoint cluster region protein (ec 2.7.11.1) (renal carcinoma antigen ny-ren-26) name: bcr; synonyms: bcr1, d22s11;  	True
